assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,13.0,0.0,9.1,1.0,0.0,2.7,17.4,79.0,15.0,0.0,0.0,0.0,238.0,0.0,1.0,0.0,45354.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,55.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,238.0,0.0,2.0,0.0,62611.0,4.0,1.0,0.0,0.0,942.0,3557.0,2615.0,55.0,0.0,0.0,0.0
0.0,0.0,22.0,0.0,3.1,1.0,0.0,2.8,24.6,90.0,20.0,0.0,0.0,0.0,238.0,0.0,3.0,0.0,57352.0,1.0,3.0,0.0,2.0,-8921.0,1272.0,10193.0,55.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,238.0,0.0,4.0,0.0,56385.0,2.0,1.0,0.0,0.0,-3406.0,1571.0,4977.0,55.0,0.0,0.0,0.0
0.0,0.0,30.0,1.0,25.3,0.0,0.0,4.3,17.6,90.0,2.0,0.0,0.0,0.0,238.0,0.0,5.0,0.0,52320.0,0.0,4.0,0.0,6.0,-4745.0,439.0,5184.0,54.0,1.0,0.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,238.0,0.0,6.0,0.0,53191.0,3.0,1.0,0.0,0.0,-302.0,2287.0,2589.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,238.0,0.0,7.0,0.0,51155.0,0.0,2.0,0.0,0.0,-2829.0,748.0,3577.0,54.0,0.0,0.0,0.0
0.0,0.0,14.0,0.0,1.8,1.0,0.0,1.4,12.0,90.0,6.0,0.0,0.0,0.0,238.0,0.0,8.0,0.0,49840.0,1.0,1.0,0.0,2.0,-2135.0,841.0,2976.0,54.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,238.0,0.0,9.0,0.0,49881.0,1.0,1.0,0.0,0.0,-495.0,849.0,1344.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,238.0,0.0,10.0,0.0,48827.0,4.0,0.0,0.0,0.0,-1499.0,511.0,2010.0,53.0,0.0,0.0,0.0
