assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,-5.0,0.0,4.8,0.0,0.0,0.2,0.0,24.0,9.0,0.0,0.0,0.0,252.0,0.0,1.0,0.0,226601.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,55.0,1.0,1.0,0.0
0.0,0.0,9.0,1.0,15.1,0.0,0.0,2.5,9.0,72.0,8.0,0.0,0.0,0.0,252.0,0.0,2.0,0.0,214978.0,0.0,0.0,1.0,3.0,-33475.0,5514.0,38989.0,55.0,0.0,0.0,3.0
0.0,0.0,12.0,0.0,18.2,1.0,0.0,3.0,11.8,90.0,18.0,0.0,0.0,0.0,252.0,0.0,3.0,0.0,204410.0,3.0,1.0,0.0,2.0,-18120.0,8586.0,26706.0,54.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,252.0,0.0,4.0,0.0,189709.0,1.0,2.0,0.0,0.0,-20560.0,8906.0,29466.0,54.0,1.0,0.0,0.0
0.0,0.0,29.0,0.0,29.7,1.0,1.0,8.5,40.4,24.0,7.0,0.0,0.0,0.0,252.0,0.0,5.0,0.0,162630.0,4.0,1.0,15.0,6.0,-28517.0,1549.0,30066.0,53.0,0.0,0.0,6.0
0.0,0.0,11.0,0.0,7.3,0.0,0.0,1.8,7.4,59.0,4.0,0.0,0.0,0.0,252.0,0.0,6.0,0.0,172179.0,0.0,3.0,3.0,1.0,5524.0,16276.0,10752.0,53.0,1.0,0.0,1.0
0.0,0.0,19.0,1.0,7.8,0.0,0.0,1.9,11.4,70.0,3.0,0.0,0.0,0.0,252.0,0.0,7.0,0.0,173839.0,1.0,0.0,0.0,3.0,-558.0,10224.0,10782.0,53.0,0.0,0.0,3.0
0.0,0.0,6.0,0.0,16.8,2.0,0.0,3.0,4.8,69.0,16.0,0.0,0.0,0.0,252.0,1.0,8.0,0.0,173641.0,2.0,3.0,8.0,-1.0,-2626.0,6897.0,9523.0,53.0,1.0,0.0,-1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,252.0,0.0,9.0,0.0,140212.0,0.0,0.0,0.0,0.0,-33771.0,562.0,34333.0,53.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,252.0,0.0,10.0,0.0,128068.0,4.0,1.0,0.0,0.0,-12419.0,415.0,12834.0,52.0,0.0,0.0,0.0
0.0,1.0,22.0,0.0,16.3,1.0,0.0,3.8,16.2,90.0,17.0,0.0,0.0,0.0,252.0,0.0,11.0,0.0,123782.0,1.0,1.0,5.0,3.0,-4719.0,1193.0,5912.0,52.0,1.0,0.0,3.0
0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.5,2.6,11.0,11.0,0.0,0.0,0.0,252.0,0.0,12.0,0.0,123022.0,1.0,1.0,0.0,0.0,-1559.0,1994.0,3553.0,52.0,0.0,1.0,0.0
0.0,1.0,28.0,0.0,13.3,1.0,0.0,4.2,22.0,90.0,2.0,0.0,0.0,0.0,252.0,0.0,13.0,0.0,120984.0,1.0,3.0,7.0,3.0,-2351.0,962.0,3313.0,52.0,1.0,0.0,3.0
0.0,0.0,11.0,0.0,3.7,1.0,0.0,2.0,7.8,90.0,20.0,0.0,0.0,0.0,252.0,0.0,14.0,0.0,120340.0,5.0,1.0,8.0,2.0,-1060.0,1303.0,2363.0,52.0,0.0,0.0,2.0
0.0,0.0,15.0,0.0,29.3,1.0,0.0,5.3,14.8,90.0,14.0,0.0,0.0,0.0,252.0,0.0,15.0,0.0,119164.0,1.0,3.0,9.0,2.0,-1624.0,1356.0,2980.0,52.0,1.0,0.0,2.0
0.0,0.0,18.0,0.0,5.1,2.0,0.0,1.8,12.4,90.0,6.0,0.0,0.0,0.0,252.0,0.0,16.0,0.0,118464.0,1.0,2.0,0.0,2.0,-982.0,928.0,1910.0,52.0,0.0,0.0,2.0
0.0,0.0,11.0,0.0,12.8,2.0,0.0,1.7,4.4,90.0,10.0,0.0,0.0,0.0,252.0,0.0,17.0,0.0,118369.0,1.0,2.0,0.0,2.0,-328.0,1639.0,1967.0,52.0,0.0,0.0,2.0
0.0,0.0,13.0,1.0,31.0,0.0,0.0,4.7,13.2,90.0,19.0,0.0,0.0,0.0,252.0,0.0,18.0,0.0,118726.0,0.0,1.0,3.0,3.0,-197.0,2233.0,2430.0,52.0,1.0,0.0,3.0
0.0,0.0,19.0,1.0,19.5,0.0,0.0,7.5,21.0,90.0,5.0,0.0,0.0,0.0,252.0,0.0,19.0,0.0,120465.0,0.0,2.0,34.0,3.0,1294.0,3070.0,1776.0,52.0,1.0,0.0,3.0
1.0,0.0,24.0,0.0,35.8,3.0,0.0,6.3,26.8,90.0,2.0,0.0,0.0,0.0,252.0,0.0,20.0,0.0,120784.0,3.0,3.0,0.0,5.0,39.0,2194.0,2155.0,52.0,0.0,0.0,5.0
0.0,0.0,15.0,1.0,7.1,0.0,0.0,4.2,19.4,90.0,16.0,0.0,0.0,0.0,252.0,0.0,21.0,0.0,126731.0,4.0,0.0,15.0,3.0,4506.0,9201.0,4695.0,52.0,0.0,0.0,3.0
0.0,0.0,7.0,0.0,35.2,1.0,0.0,4.7,12.2,64.0,3.0,0.0,0.0,0.0,252.0,1.0,22.0,0.0,127239.0,1.0,2.0,0.0,-1.0,-177.0,3290.0,3467.0,52.0,1.0,0.0,-1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,252.0,0.0,23.0,0.0,116557.0,2.0,1.0,0.0,0.0,-10928.0,550.0,11478.0,52.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,252.0,0.0,24.0,0.0,113523.0,1.0,3.0,0.0,0.0,-3094.0,91.0,3185.0,52.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,252.0,0.0,25.0,0.0,110446.0,0.0,2.0,0.0,0.0,-3158.0,169.0,3327.0,52.0,1.0,0.0,0.0
