assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,969.0,0.0,77.0,0.0,4968.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,969.0,0.0,78.0,0.0,4744.0,0.0,0.0,0.0,0.0,-698.0,48.0,746.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,969.0,0.0,79.0,0.0,4161.0,0.0,0.0,0.0,0.0,-696.0,59.0,755.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,969.0,0.0,80.0,0.0,3781.0,3.0,2.0,0.0,0.0,-439.0,26.0,465.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,969.0,0.0,81.0,0.0,3468.0,1.0,4.0,0.0,0.0,-353.0,17.0,370.0,43.0,0.0,0.0,0.0
0.0,0.0,11.0,0.0,4.4,5.0,0.0,3.2,27.2,90.0,13.0,0.0,0.0,0.0,969.0,0.0,82.0,0.0,3305.0,5.0,0.0,0.0,0.0,-188.0,48.0,236.0,43.0,1.0,0.0,0.0
0.0,0.0,4.0,0.0,12.5,2.0,0.0,2.6,5.4,90.0,4.0,0.0,0.0,0.0,969.0,0.0,83.0,0.0,3199.0,2.0,1.0,8.0,0.0,-126.0,42.0,168.0,43.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,969.0,0.0,84.0,0.0,3119.0,0.0,1.0,0.0,0.0,-105.0,24.0,129.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,969.0,0.0,85.0,0.0,3012.0,2.0,4.0,0.0,0.0,-120.0,30.0,150.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,969.0,0.0,86.0,0.0,2964.0,1.0,4.0,0.0,0.0,-63.0,26.0,89.0,42.0,0.0,0.0,0.0
