assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,13.0,0.0,2.8,3.0,0.0,1.4,9.6,90.0,3.0,0.0,0.0,0.0,763.0,0.0,42.0,0.0,6049.0,1.0,3.0,2.0,2.0,5262.0,6285.0,1023.0,50.0,0.0,0.0,2.0
0.0,0.0,16.0,1.0,0.7,0.0,0.0,1.2,11.4,90.0,20.0,0.0,0.0,0.0,763.0,0.0,43.0,0.0,7611.0,0.0,0.0,0.0,3.0,1067.0,1803.0,736.0,50.0,1.0,0.0,3.0
0.0,0.0,8.0,0.0,11.8,2.0,0.0,3.3,18.8,90.0,1.0,0.0,0.0,0.0,763.0,0.0,44.0,0.0,8647.0,0.0,2.0,2.0,1.0,525.0,1480.0,955.0,50.0,0.0,1.0,1.0
1.0,1.0,33.0,0.0,14.5,2.0,0.0,5.0,35.4,90.0,18.0,0.0,0.0,0.0,763.0,0.0,45.0,0.0,9966.0,2.0,2.0,0.0,6.0,958.0,1837.0,879.0,50.0,1.0,0.0,6.0
1.0,2.0,24.0,0.0,2.5,1.0,0.0,2.3,18.0,90.0,9.0,0.0,0.0,0.0,763.0,0.0,46.0,0.0,15381.0,1.0,1.0,2.0,7.0,4760.0,5862.0,1102.0,50.0,0.0,0.0,7.0
0.0,0.0,12.0,0.0,11.7,1.0,0.0,2.0,5.8,90.0,14.0,0.0,0.0,0.0,763.0,0.0,47.0,0.0,22241.0,0.0,1.0,2.0,2.0,6343.0,7685.0,1342.0,50.0,0.0,0.0,2.0
0.0,0.0,6.0,0.0,3.9,3.0,0.0,4.2,13.4,80.0,11.0,0.0,0.0,0.0,763.0,0.0,48.0,0.0,22598.0,3.0,2.0,25.0,2.0,-149.0,3072.0,3221.0,50.0,1.0,0.0,2.0
0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.8,7.8,58.0,8.0,0.0,0.0,0.0,763.0,0.0,49.0,0.0,22282.0,0.0,1.0,0.0,1.0,-630.0,1252.0,1882.0,50.0,0.0,0.0,1.0
0.0,0.0,5.0,0.0,1.3,3.0,0.0,0.7,5.6,45.0,5.0,0.0,0.0,0.0,763.0,0.0,50.0,0.0,20172.0,4.0,0.0,0.0,1.0,-2256.0,246.0,2502.0,50.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,763.0,0.0,51.0,0.0,17988.0,1.0,1.0,0.0,0.0,-2234.0,83.0,2317.0,50.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,0.5,0.0,0.0,0.9,0.4,6.0,13.0,0.0,0.0,0.0,763.0,0.0,52.0,0.0,16050.0,2.0,2.0,8.0,1.0,-1971.0,80.0,2051.0,50.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,763.0,0.0,53.0,0.0,14544.0,0.0,0.0,0.0,0.0,-1532.0,87.0,1619.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,763.0,0.0,54.0,0.0,13122.0,0.0,1.0,0.0,0.0,-1460.0,54.0,1514.0,50.0,0.0,0.0,0.0
0.0,0.0,18.0,1.0,40.8,0.0,0.0,7.1,30.0,78.0,10.0,0.0,0.0,0.0,763.0,0.0,55.0,0.0,12104.0,0.0,0.0,0.0,3.0,-1034.0,11.0,1045.0,50.0,0.0,0.0,3.0
0.0,0.0,11.0,0.0,20.6,2.0,0.0,3.0,9.0,71.0,12.0,0.0,0.0,0.0,763.0,0.0,56.0,0.0,11659.0,2.0,1.0,0.0,2.0,-468.0,86.0,554.0,50.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,763.0,0.0,57.0,0.0,11180.0,1.0,3.0,0.0,0.0,-515.0,72.0,587.0,50.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,1.9,0.0,0.0,0.7,5.2,21.0,7.0,0.0,0.0,0.0,763.0,0.0,58.0,0.0,10709.0,0.0,0.0,0.0,1.0,-488.0,24.0,512.0,49.0,1.0,0.0,1.0
0.0,0.0,2.0,0.0,10.8,1.0,0.0,1.4,3.0,18.0,1.0,0.0,0.0,0.0,763.0,0.0,59.0,0.0,10138.0,1.0,1.0,0.0,1.0,-586.0,33.0,619.0,49.0,1.0,0.0,1.0
0.0,0.0,10.0,0.0,12.8,2.0,0.0,2.7,14.2,90.0,20.0,0.0,0.0,0.0,763.0,0.0,60.0,0.0,9859.0,1.0,2.0,0.0,1.0,-288.0,28.0,316.0,49.0,0.0,1.0,1.0
0.0,0.0,7.0,1.0,3.6,0.0,0.0,1.2,8.0,90.0,3.0,0.0,0.0,0.0,763.0,0.0,61.0,0.0,9397.0,0.0,2.0,0.0,3.0,-498.0,60.0,558.0,49.0,1.0,0.0,3.0
1.0,1.0,19.0,0.0,14.8,1.0,0.0,5.4,27.4,90.0,7.0,0.0,0.0,0.0,763.0,0.0,62.0,0.0,9232.0,1.0,1.0,12.0,6.0,-199.0,78.0,277.0,48.0,0.0,0.0,6.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,11.0,0.0,0.0,0.0,763.0,0.0,63.0,0.0,10044.0,0.0,3.0,0.0,1.0,684.0,1030.0,346.0,48.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,763.0,0.0,64.0,0.0,9745.0,3.0,2.0,0.0,0.0,-337.0,193.0,530.0,48.0,1.0,0.0,0.0
0.0,0.0,13.0,0.0,18.6,3.0,0.0,3.2,12.6,90.0,5.0,0.0,0.0,0.0,763.0,0.0,65.0,0.0,9223.0,0.0,3.0,1.0,2.0,-555.0,41.0,596.0,48.0,0.0,0.0,2.0
0.0,0.0,10.0,0.0,4.9,2.0,0.0,1.8,12.2,90.0,8.0,0.0,0.0,0.0,763.0,0.0,66.0,0.0,9300.0,2.0,1.0,1.0,2.0,11.0,225.0,214.0,48.0,1.0,0.0,2.0
0.0,0.0,16.0,0.0,19.0,1.0,0.0,5.5,16.4,80.0,18.0,0.0,0.0,0.0,763.0,0.0,67.0,0.0,9256.0,0.0,1.0,20.0,2.0,-67.0,74.0,141.0,48.0,0.0,0.0,2.0
0.0,0.0,2.0,0.0,15.9,1.0,0.0,3.0,6.0,58.0,9.0,0.0,0.0,0.0,763.0,0.0,68.0,0.0,8881.0,4.0,1.0,8.0,1.0,-32.0,127.0,159.0,48.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,763.0,0.0,69.0,0.0,9021.0,1.0,2.0,0.0,0.0,-22.0,131.0,153.0,48.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,763.0,0.0,70.0,0.0,8672.0,2.0,1.0,0.0,0.0,-227.0,22.0,249.0,48.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,1.3,0.0,0.0,0.0,0.0,7.0,16.0,0.0,0.0,0.0,763.0,0.0,71.0,0.0,8534.0,1.0,1.0,0.0,1.0,-155.0,24.0,179.0,48.0,1.0,0.0,1.0
0.0,0.0,3.0,0.0,0.3,0.0,0.0,0.1,0.2,13.0,12.0,0.0,0.0,0.0,763.0,0.0,72.0,0.0,8411.0,1.0,0.0,0.0,1.0,-114.0,20.0,134.0,47.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,763.0,0.0,73.0,0.0,8380.0,2.0,2.0,0.0,0.0,-49.0,24.0,73.0,47.0,1.0,0.0,0.0
0.0,0.0,2.0,0.0,0.3,0.0,0.0,0.1,0.2,13.0,13.0,0.0,0.0,0.0,763.0,0.0,74.0,0.0,8335.0,1.0,0.0,0.0,1.0,-59.0,7.0,66.0,47.0,0.0,0.0,1.0
0.0,0.0,2.0,0.0,0.3,0.0,0.0,0.9,1.2,3.0,17.0,0.0,0.0,0.0,763.0,0.0,75.0,0.0,8269.0,0.0,1.0,7.0,1.0,-64.0,7.0,71.0,47.0,1.0,0.0,1.0
0.0,0.0,0.0,1.0,5.3,0.0,0.0,0.5,0.0,61.0,6.0,0.0,0.0,0.0,763.0,0.0,76.0,0.0,8248.0,0.0,2.0,1.0,3.0,-34.0,27.0,61.0,47.0,0.0,0.0,3.0
