assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,2.0,0.0,2.3,0.0,0.0,1.1,1.8,45.0,3.0,0.0,0.0,0.0,762.0,0.0,63.0,0.0,7158.0,1.0,1.0,7.0,1.0,7042.0,7881.0,839.0,65.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0,4.8,2.0,0.0,3.1,0.0,74.0,19.0,0.0,0.0,0.0,762.0,0.0,64.0,0.0,7133.0,3.0,2.0,27.0,2.0,-92.0,2069.0,2161.0,65.0,0.0,0.0,2.0
0.0,0.0,6.0,0.0,4.0,2.0,0.0,3.8,8.6,90.0,10.0,0.0,0.0,0.0,762.0,0.0,65.0,0.0,6804.0,2.0,0.0,25.0,2.0,-398.0,1537.0,1935.0,65.0,1.0,0.0,2.0
1.0,0.0,18.0,0.0,32.3,1.0,0.0,10.1,31.2,90.0,4.0,0.0,0.0,0.0,762.0,0.0,66.0,0.0,6568.0,1.0,1.0,37.0,5.0,-332.0,1332.0,1664.0,65.0,0.0,0.0,5.0
0.0,0.0,6.0,1.0,17.3,0.0,0.0,8.7,5.2,78.0,15.0,0.0,0.0,0.0,762.0,0.0,67.0,0.0,7795.0,0.0,0.0,64.0,2.0,1153.0,1793.0,640.0,65.0,1.0,0.0,2.0
0.0,0.0,4.0,0.0,3.5,3.0,0.0,2.6,3.4,65.0,13.0,0.0,0.0,0.0,762.0,0.0,68.0,0.0,6386.0,0.0,3.0,19.0,2.0,-1240.0,327.0,1567.0,65.0,0.0,0.0,2.0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,20.0,0.0,0.0,0.0,762.0,0.0,70.0,0.0,4727.0,0.0,3.0,0.0,1.0,-660.0,347.0,1007.0,63.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,762.0,0.0,71.0,0.0,3703.0,2.0,3.0,0.0,0.0,-1026.0,60.0,1086.0,62.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,762.0,0.0,72.0,0.0,3157.0,0.0,0.0,0.0,0.0,-540.0,64.0,604.0,61.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,762.0,0.0,74.0,0.0,2569.0,1.0,2.0,0.0,0.0,-191.0,24.0,215.0,60.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,762.0,0.0,75.0,0.0,2463.0,1.0,0.0,0.0,0.0,-124.0,39.0,163.0,59.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,762.0,0.0,76.0,0.0,2389.0,1.0,0.0,0.0,0.0,-91.0,49.0,140.0,59.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,762.0,0.0,77.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,762.0,0.0,78.0,0.0,187.0,1.0,2.0,0.0,0.0,-38.0,16.0,54.0,55.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,762.0,0.0,79.0,0.0,170.0,2.0,1.0,0.0,0.0,-26.0,14.0,40.0,55.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,762.0,0.0,80.0,0.0,178.0,2.0,0.0,0.0,0.0,-15.0,6.0,21.0,55.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,762.0,0.0,81.0,0.0,212.0,2.0,2.0,0.0,0.0,-12.0,9.0,21.0,55.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,762.0,0.0,82.0,0.0,259.0,0.0,3.0,0.0,0.0,-1.0,12.0,13.0,55.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,762.0,0.0,83.0,0.0,269.0,0.0,2.0,0.0,0.0,-13.0,4.0,17.0,55.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,762.0,0.0,84.0,0.0,281.0,3.0,0.0,0.0,0.0,-5.0,6.0,11.0,55.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,762.0,0.0,85.0,0.0,292.0,0.0,0.0,0.0,0.0,-8.0,6.0,14.0,55.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,762.0,0.0,86.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,55.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,762.0,0.0,87.0,0.0,288.0,1.0,6.0,0.0,0.0,-6.0,2.0,8.0,55.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,762.0,0.0,88.0,0.0,286.0,1.0,1.0,0.0,0.0,-2.0,5.0,7.0,55.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,762.0,0.0,89.0,0.0,289.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0,55.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,762.0,0.0,90.0,0.0,288.0,2.0,2.0,0.0,0.0,-2.0,5.0,7.0,55.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,762.0,0.0,91.0,0.0,289.0,1.0,3.0,0.0,0.0,-1.0,3.0,4.0,55.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,762.0,0.0,92.0,0.0,288.0,0.0,1.0,0.0,0.0,-1.0,0.0,1.0,55.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,762.0,0.0,93.0,0.0,286.0,2.0,3.0,0.0,0.0,-3.0,1.0,4.0,55.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,762.0,0.0,94.0,0.0,281.0,3.0,1.0,0.0,0.0,-6.0,1.0,7.0,55.0,0.0,0.0,0.0
