assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,3.0,0.0,5.6,0.0,0.0,2.1,8.4,31.0,3.0,0.0,0.0,0.0,257.0,0.0,1.0,0.0,283252.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,75.0,0.0,0.0,1.0
0.0,0.0,11.0,0.0,46.1,2.0,0.0,10.0,14.8,90.0,7.0,0.0,0.0,0.0,257.0,0.0,2.0,0.0,269655.0,2.0,0.0,39.0,2.0,-22479.0,10062.0,32541.0,75.0,1.0,0.0,2.0
0.0,0.0,4.0,0.0,0.2,2.0,0.0,3.3,4.8,58.0,8.0,0.0,0.0,0.0,257.0,0.0,3.0,0.0,224586.0,1.0,2.0,28.0,1.0,-47162.0,2826.0,49988.0,74.0,0.0,0.0,1.0
0.0,1.0,24.0,0.0,6.6,2.0,1.0,8.6,35.4,88.0,4.0,0.0,0.0,0.0,257.0,0.0,4.0,0.0,173347.0,2.0,2.0,44.0,8.0,-52050.0,767.0,52817.0,73.0,1.0,0.0,8.0
0.0,0.0,5.0,0.0,9.0,1.0,0.0,3.0,0.0,90.0,13.0,0.0,0.0,0.0,257.0,0.0,5.0,0.0,164357.0,0.0,1.0,21.0,2.0,-9844.0,2517.0,12361.0,73.0,0.0,0.0,2.0
1.0,1.0,28.0,0.0,48.8,3.0,0.0,10.8,38.8,90.0,10.0,0.0,0.0,0.0,257.0,0.0,6.0,0.0,143705.0,3.0,1.0,20.0,6.0,-21170.0,974.0,22144.0,72.0,1.0,0.0,6.0
0.0,0.0,11.0,0.0,20.9,2.0,0.0,4.1,13.2,90.0,9.0,0.0,0.0,0.0,257.0,0.0,7.0,0.0,136903.0,2.0,1.0,7.0,2.0,-7333.0,1392.0,8725.0,72.0,1.0,0.0,2.0
0.0,2.0,32.0,0.0,39.8,3.0,1.0,10.2,39.2,90.0,1.0,0.0,0.0,0.0,257.0,0.0,8.0,0.0,129543.0,2.0,3.0,23.0,9.0,-7931.0,1161.0,9092.0,72.0,0.0,0.0,9.0
0.0,0.0,5.0,1.0,29.7,0.0,0.0,8.8,16.2,90.0,18.0,0.0,0.0,0.0,257.0,0.0,9.0,0.0,139604.0,0.0,0.0,42.0,2.0,9092.0,11873.0,2781.0,72.0,1.0,1.0,2.0
1.0,0.0,23.0,0.0,82.8,3.0,0.0,16.1,36.4,90.0,14.0,0.0,0.0,0.0,257.0,0.0,10.0,0.0,140592.0,1.0,3.0,42.0,5.0,344.0,5449.0,5105.0,72.0,0.0,0.0,5.0
1.0,0.0,18.0,0.0,19.4,3.0,0.0,4.8,18.2,90.0,11.0,0.0,0.0,0.0,257.0,0.0,11.0,0.0,137107.0,3.0,1.0,10.0,5.0,-3947.0,4031.0,7978.0,72.0,1.0,0.0,5.0
0.0,2.0,25.0,0.0,25.8,1.0,1.0,12.9,49.8,90.0,6.0,0.0,0.0,0.0,257.0,0.0,12.0,0.0,133119.0,1.0,1.0,53.0,9.0,-4652.0,3134.0,7786.0,72.0,0.0,0.0,9.0
1.0,0.0,31.0,0.0,33.3,4.0,1.0,13.3,51.8,90.0,5.0,0.0,0.0,0.0,257.0,0.0,13.0,0.0,170181.0,4.0,5.0,48.0,10.0,35232.0,37325.0,2093.0,72.0,1.0,0.0,10.0
0.0,0.0,7.0,0.0,6.4,5.0,0.0,1.5,1.0,90.0,17.0,0.0,0.0,0.0,257.0,0.0,14.0,0.0,302962.0,0.0,5.0,8.0,2.0,129396.0,133984.0,4588.0,74.0,0.0,0.0,2.0
1.0,2.0,53.0,1.0,82.3,0.0,1.0,17.7,63.2,90.0,15.0,0.0,0.0,0.0,257.0,0.0,15.0,0.0,338600.0,0.0,3.0,31.0,13.0,32641.0,53114.0,20473.0,74.0,1.0,0.0,13.0
0.0,0.0,20.0,0.0,63.6,3.0,0.0,8.9,18.2,90.0,19.0,0.0,0.0,0.0,257.0,0.0,16.0,0.0,410050.0,1.0,3.0,7.0,2.0,68577.0,75009.0,6432.0,75.0,0.0,0.0,2.0
0.0,0.0,7.0,0.0,36.7,3.0,0.0,6.3,6.2,90.0,12.0,0.0,0.0,0.0,257.0,0.0,17.0,0.0,435292.0,0.0,3.0,20.0,2.0,22257.0,41566.0,19309.0,75.0,0.0,0.0,2.0
0.0,0.0,11.0,0.0,51.3,4.0,0.0,9.8,16.6,90.0,20.0,0.0,0.0,0.0,257.0,0.0,18.0,0.0,429258.0,4.0,1.0,30.0,2.0,-9564.0,24537.0,34101.0,75.0,1.0,0.0,2.0
0.0,0.0,8.0,0.0,32.2,3.0,0.0,7.7,11.2,90.0,2.0,0.0,0.0,0.0,257.0,0.0,19.0,0.0,393275.0,3.0,0.0,34.0,2.0,-36947.0,14855.0,51802.0,75.0,1.0,0.0,2.0
1.0,2.0,24.0,0.0,50.8,1.0,0.0,8.9,34.4,90.0,5.0,0.0,0.0,0.0,257.0,0.0,20.0,0.0,303680.0,2.0,1.0,4.0,7.0,-90013.0,3485.0,93498.0,74.0,0.0,0.0,7.0
0.0,0.0,13.0,0.0,14.6,4.0,0.0,5.3,10.4,90.0,1.0,0.0,0.0,0.0,257.0,0.0,21.0,0.0,260342.0,4.0,0.0,28.0,2.0,-44831.0,14863.0,59694.0,73.0,1.0,0.0,2.0
0.0,0.0,28.0,0.0,33.4,2.0,1.0,9.3,41.4,90.0,9.0,0.0,0.0,0.0,257.0,0.0,22.0,0.0,220709.0,3.0,2.0,18.0,7.0,-40119.0,2948.0,43067.0,72.0,0.0,0.0,7.0
1.0,3.0,39.0,0.0,46.5,1.0,1.0,17.0,60.6,90.0,13.0,0.0,0.0,0.0,257.0,0.0,23.0,0.0,247569.0,1.0,2.0,63.0,13.0,25260.0,33657.0,8397.0,72.0,1.0,0.0,13.0
0.0,0.0,18.0,0.0,18.8,2.0,1.0,7.5,42.0,90.0,10.0,0.0,0.0,0.0,257.0,0.0,24.0,0.0,292996.0,1.0,2.0,14.0,6.0,43872.0,51615.0,7743.0,73.0,0.0,1.0,6.0
1.0,0.0,16.0,1.0,30.7,0.0,0.0,8.3,16.6,90.0,8.0,0.0,0.0,0.0,257.0,0.0,25.0,0.0,520889.0,0.0,2.0,36.0,6.0,223319.0,229065.0,5746.0,75.0,1.0,0.0,6.0
1.0,0.0,17.0,0.0,26.4,3.0,0.0,6.2,26.6,90.0,4.0,0.0,0.0,0.0,257.0,0.0,26.0,0.0,559624.0,1.0,3.0,9.0,5.0,34246.0,60784.0,26538.0,75.0,0.0,0.0,5.0
1.0,0.0,19.0,0.0,60.8,2.0,0.0,12.6,31.4,90.0,3.0,0.0,0.0,0.0,257.0,0.0,27.0,0.0,661637.0,2.0,3.0,34.0,5.0,99081.0,118751.0,19670.0,76.0,1.0,0.0,5.0
1.0,2.0,32.0,0.0,63.8,2.0,0.0,14.2,36.8,90.0,7.0,0.0,0.0,0.0,257.0,0.0,28.0,0.0,815999.0,1.0,2.0,41.0,7.0,150936.0,159010.0,8074.0,77.0,0.0,0.0,7.0
0.0,0.0,7.0,0.0,30.6,2.0,0.0,7.4,6.8,90.0,2.0,0.0,0.0,0.0,257.0,0.0,29.0,0.0,830165.0,0.0,2.0,37.0,2.0,12825.0,38950.0,26125.0,78.0,0.0,0.0,2.0
0.0,0.0,9.0,1.0,36.5,0.0,0.0,12.2,9.8,90.0,12.0,0.0,0.0,0.0,257.0,0.0,30.0,0.0,855509.0,0.0,0.0,76.0,3.0,23072.0,46635.0,23563.0,78.0,1.0,0.0,3.0
0.0,0.0,9.0,0.0,19.5,3.0,0.0,2.8,6.4,90.0,17.0,0.0,0.0,0.0,257.0,0.0,31.0,0.0,803840.0,3.0,1.0,2.0,2.0,-52138.0,10734.0,62872.0,78.0,1.0,0.0,2.0
0.0,0.0,6.0,0.0,34.6,1.0,0.0,5.5,9.0,90.0,20.0,0.0,0.0,0.0,257.0,0.0,32.0,0.0,742750.0,0.0,1.0,11.0,2.0,-61651.0,14393.0,76044.0,77.0,0.0,0.0,2.0
0.0,0.0,6.0,0.0,9.7,1.0,0.0,8.8,12.6,90.0,18.0,0.0,0.0,0.0,257.0,0.0,33.0,0.0,630593.0,0.0,1.0,66.0,2.0,-112833.0,8818.0,121651.0,76.0,0.0,0.0,2.0
1.0,0.0,17.0,1.0,33.6,0.0,0.0,8.7,21.4,90.0,14.0,0.0,0.0,0.0,257.0,0.0,34.0,0.0,542553.0,0.0,2.0,32.0,6.0,-88717.0,9114.0,97831.0,75.0,1.0,0.0,6.0
0.0,3.0,41.0,0.0,42.8,1.0,1.0,11.7,37.4,90.0,11.0,0.0,0.0,0.0,257.0,0.0,35.0,0.0,493433.0,1.0,1.0,37.0,10.0,-49577.0,6111.0,55688.0,74.0,0.0,0.0,10.0
0.0,0.0,19.0,1.0,48.0,0.0,0.0,7.6,17.2,90.0,6.0,0.0,0.0,0.0,257.0,0.0,36.0,0.0,491547.0,0.0,1.0,11.0,3.0,-2607.0,24954.0,27561.0,74.0,1.0,0.0,3.0
