assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,267.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,267.0,0.0,2.0,0.0,272.0,0.0,1.0,0.0,0.0,39.0,60.0,21.0,45.0,1.0,0.0,0.0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,267.0,0.0,3.0,0.0,478.0,1.0,1.0,0.0,1.0,48.0,104.0,56.0,45.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,267.0,0.0,4.0,0.0,563.0,4.0,0.0,0.0,0.0,-8.0,66.0,74.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,267.0,0.0,5.0,0.0,591.0,0.0,1.0,0.0,0.0,-3.0,32.0,35.0,45.0,1.0,0.0,0.0
0.0,0.0,3.0,0.0,0.4,0.0,0.0,0.1,0.8,5.0,12.0,0.0,0.0,0.0,267.0,0.0,6.0,0.0,595.0,2.0,1.0,0.0,1.0,-28.0,27.0,55.0,45.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,267.0,0.0,7.0,0.0,627.0,0.0,2.0,0.0,0.0,4.0,34.0,30.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,267.0,0.0,8.0,0.0,666.0,1.0,1.0,0.0,0.0,5.0,28.0,23.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,267.0,0.0,9.0,0.0,676.0,0.0,0.0,0.0,0.0,-6.0,16.0,22.0,45.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,0.3,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,267.0,0.0,10.0,0.0,678.0,1.0,1.0,0.0,1.0,-9.0,12.0,21.0,45.0,1.0,0.0,1.0
