assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,269.0,0.0,1.0,0.0,1534.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,269.0,0.0,2.0,0.0,1442.0,0.0,1.0,0.0,0.0,-277.0,23.0,300.0,75.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,269.0,0.0,3.0,0.0,1338.0,1.0,1.0,0.0,0.0,-199.0,31.0,230.0,74.0,1.0,0.0,0.0
1.0,3.0,58.0,1.0,40.2,0.0,2.0,17.8,89.8,90.0,14.0,0.0,0.0,0.0,269.0,0.0,4.0,0.0,1294.0,4.0,0.0,48.0,19.0,-118.0,29.0,147.0,74.0,0.0,0.0,19.0
0.0,0.0,11.0,1.0,84.4,0.0,0.0,18.4,18.4,90.0,15.0,0.0,0.0,0.0,269.0,0.0,5.0,0.0,25194.0,0.0,1.0,81.0,3.0,21282.0,23815.0,2533.0,74.0,1.0,0.0,3.0
0.0,3.0,54.0,0.0,34.0,1.0,2.0,19.8,82.0,90.0,12.0,0.0,0.0,0.0,269.0,0.0,6.0,0.0,44821.0,2.0,1.0,82.0,15.0,16541.0,23624.0,7083.0,74.0,0.0,0.0,15.0
1.0,0.0,9.0,1.0,31.1,0.0,0.0,10.0,19.2,89.0,10.0,0.0,0.0,0.0,269.0,0.0,7.0,0.0,199595.0,0.0,2.0,50.0,6.0,145454.0,154150.0,8696.0,75.0,1.0,0.0,6.0
0.0,0.0,5.0,0.0,12.1,1.0,0.0,2.9,4.8,19.0,19.0,0.0,0.0,0.0,269.0,0.0,8.0,0.0,545569.0,1.0,1.0,12.0,1.0,328594.0,334925.0,6331.0,77.0,0.0,0.0,1.0
0.0,0.0,3.0,1.0,11.3,0.0,0.0,3.3,0.0,61.0,2.0,0.0,0.0,0.0,269.0,0.0,9.0,0.0,514774.0,0.0,0.0,22.0,3.0,-37010.0,37252.0,74262.0,77.0,0.0,0.0,3.0
0.0,0.0,4.0,0.0,29.3,1.0,0.0,6.0,9.4,90.0,8.0,0.0,0.0,0.0,269.0,0.0,10.0,0.0,469659.0,1.0,1.0,21.0,1.0,-49083.0,25297.0,74380.0,76.0,1.0,1.0,1.0
0.0,0.0,8.0,0.0,4.3,1.0,0.0,1.0,1.2,88.0,1.0,0.0,0.0,0.0,269.0,0.0,11.0,0.0,316273.0,1.0,1.0,4.0,2.0,-155117.0,10214.0,165331.0,74.0,0.0,0.0,2.0
2.0,0.0,19.0,0.0,1.0,0.0,0.0,0.2,0.0,19.0,20.0,0.0,0.0,0.0,269.0,0.0,12.0,0.0,264111.0,2.0,3.0,2.0,7.0,-54541.0,15593.0,70134.0,73.0,1.0,0.0,7.0
0.0,0.0,2.0,0.0,4.2,2.0,0.0,0.5,0.0,64.0,4.0,0.0,0.0,0.0,269.0,0.0,13.0,0.0,240305.0,1.0,2.0,3.0,2.0,-24991.0,8949.0,33940.0,72.0,0.0,0.0,2.0
1.0,0.0,32.0,1.0,18.8,0.0,1.0,12.0,50.8,70.0,16.0,0.0,0.0,0.0,269.0,0.0,14.0,0.0,257985.0,0.0,5.0,50.0,11.0,16402.0,38328.0,21926.0,72.0,1.0,0.0,11.0
0.0,0.0,0.0,0.0,2.3,1.0,0.0,3.1,0.6,56.0,11.0,0.0,0.0,0.0,269.0,0.0,15.0,0.0,307098.0,0.0,1.0,28.0,1.0,45645.0,61245.0,15600.0,73.0,0.0,0.0,1.0
0.0,0.0,2.0,0.0,11.8,0.0,0.0,1.8,2.2,17.0,7.0,0.0,0.0,0.0,269.0,0.0,16.0,0.0,327715.0,0.0,3.0,4.0,1.0,19067.0,36097.0,17030.0,73.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0,13.4,0.0,0.0,4.1,4.8,18.0,3.0,0.0,0.0,0.0,269.0,0.0,17.0,0.0,287276.0,1.0,2.0,23.0,1.0,-41521.0,11969.0,53490.0,73.0,1.0,0.0,1.0
0.0,0.0,19.0,0.0,1.7,0.0,1.0,6.7,33.4,17.0,13.0,0.0,0.0,0.0,269.0,0.0,18.0,0.0,233005.0,4.0,1.0,32.0,6.0,-55378.0,4153.0,59531.0,71.0,0.0,0.0,6.0
0.0,0.0,4.0,0.0,24.7,1.0,0.0,6.5,5.2,90.0,18.0,0.0,0.0,0.0,269.0,0.0,19.0,0.0,224969.0,4.0,1.0,35.0,2.0,-8906.0,10398.0,19304.0,71.0,0.0,0.0,2.0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,269.0,0.0,20.0,0.0,205115.0,0.0,2.0,0.0,1.0,-20378.0,4499.0,24877.0,70.0,1.0,0.0,1.0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,269.0,0.0,21.0,0.0,178678.0,0.0,4.0,0.0,1.0,-27699.0,10014.0,37713.0,69.0,1.0,0.0,1.0
0.0,0.0,18.0,0.0,0.8,2.0,1.0,5.4,36.2,45.0,10.0,0.0,0.0,0.0,269.0,0.0,22.0,0.0,152048.0,2.0,2.0,17.0,6.0,-27121.0,1393.0,28514.0,68.0,0.0,0.0,6.0
0.0,0.0,10.0,1.0,32.2,0.0,0.0,7.8,9.8,72.0,15.0,0.0,0.0,0.0,269.0,0.0,23.0,0.0,158455.0,0.0,0.0,36.0,3.0,5035.0,11537.0,6502.0,68.0,0.0,0.0,3.0
