assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,7.0,0.0,0.8,1.0,0.0,0.5,4.0,66.0,4.0,0.0,0.0,0.0,273.0,0.0,1.0,0.0,5094.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,50.0,0.0,0.0,2.0
0.0,0.0,12.0,1.0,1.0,0.0,0.0,1.3,12.4,79.0,2.0,0.0,0.0,0.0,273.0,0.0,2.0,0.0,5559.0,0.0,1.0,0.0,3.0,-140.0,325.0,465.0,50.0,1.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,273.0,0.0,3.0,0.0,5306.0,1.0,3.0,0.0,0.0,-523.0,342.0,865.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,273.0,0.0,4.0,0.0,4499.0,4.0,2.0,0.0,0.0,-883.0,107.0,990.0,49.0,1.0,0.0,0.0
0.0,0.0,22.0,0.0,28.5,4.0,0.0,5.1,20.0,90.0,19.0,0.0,0.0,0.0,273.0,0.0,5.0,0.0,4152.0,2.0,4.0,2.0,2.0,-392.0,31.0,423.0,49.0,0.0,0.0,2.0
0.0,0.0,4.0,0.0,1.0,2.0,0.0,0.6,5.4,70.0,13.0,0.0,0.0,0.0,273.0,0.0,6.0,0.0,3886.0,3.0,0.0,0.0,2.0,-300.0,55.0,355.0,48.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,273.0,0.0,7.0,0.0,3627.0,1.0,1.0,0.0,0.0,-285.0,30.0,315.0,48.0,1.0,0.0,0.0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.8,0.0,3.0,5.0,0.0,0.0,0.0,273.0,0.0,8.0,0.0,3363.0,1.0,0.0,8.0,1.0,-269.0,20.0,289.0,48.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,273.0,0.0,9.0,0.0,3271.0,0.0,1.0,0.0,0.0,-105.0,16.0,121.0,48.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,273.0,0.0,10.0,0.0,3196.0,0.0,2.0,0.0,0.0,-88.0,9.0,97.0,48.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,273.0,0.0,11.0,0.0,3108.0,1.0,1.0,0.0,0.0,-98.0,12.0,110.0,48.0,1.0,0.0,0.0
0.0,0.0,-1.0,0.0,0.3,2.0,0.0,0.0,0.0,6.0,17.0,0.0,0.0,0.0,273.0,0.0,12.0,0.0,3045.0,2.0,3.0,0.0,1.0,-76.0,14.0,90.0,48.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,273.0,0.0,13.0,0.0,2999.0,1.0,1.0,0.0,0.0,-57.0,8.0,65.0,47.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,273.0,0.0,14.0,0.0,2953.0,5.0,1.0,0.0,0.0,-54.0,3.0,57.0,47.0,1.0,0.0,0.0
0.0,0.0,14.0,0.0,0.5,2.0,0.0,3.4,33.4,90.0,9.0,0.0,0.0,0.0,273.0,0.0,15.0,0.0,2908.0,2.0,2.0,0.0,2.0,-52.0,2.0,54.0,47.0,0.0,0.0,2.0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,273.0,0.0,16.0,0.0,2900.0,0.0,1.0,0.0,1.0,-15.0,14.0,29.0,47.0,1.0,0.0,1.0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,273.0,0.0,17.0,0.0,2885.0,0.0,1.0,0.0,1.0,-20.0,6.0,26.0,47.0,1.0,0.0,1.0
1.0,0.0,20.0,0.0,10.8,1.0,0.0,3.6,24.2,90.0,16.0,0.0,0.0,0.0,273.0,0.0,18.0,0.0,2860.0,4.0,1.0,1.0,5.0,-35.0,9.0,44.0,47.0,0.0,0.0,5.0
0.0,0.0,15.0,0.0,2.7,1.0,0.0,2.5,13.8,90.0,8.0,0.0,0.0,0.0,273.0,0.0,19.0,0.0,3255.0,0.0,1.0,8.0,1.0,368.0,428.0,60.0,47.0,0.0,1.0,1.0
0.0,0.0,11.0,0.0,1.9,2.0,0.0,1.0,7.4,90.0,11.0,0.0,0.0,0.0,273.0,0.0,20.0,0.0,3180.0,2.0,0.0,1.0,1.0,-81.0,22.0,103.0,47.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,273.0,0.0,21.0,0.0,3127.0,0.0,3.0,0.0,0.0,-75.0,81.0,156.0,47.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,273.0,0.0,22.0,0.0,3045.0,3.0,1.0,0.0,0.0,-94.0,24.0,118.0,47.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,273.0,0.0,23.0,0.0,2962.0,4.0,0.0,0.0,0.0,-92.0,9.0,101.0,47.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,273.0,0.0,24.0,0.0,2904.0,3.0,1.0,0.0,0.0,-60.0,2.0,62.0,47.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,273.0,0.0,25.0,0.0,2832.0,2.0,2.0,0.0,0.0,-76.0,3.0,79.0,47.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,273.0,0.0,26.0,0.0,2806.0,1.0,1.0,0.0,0.0,-32.0,7.0,39.0,47.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,273.0,0.0,27.0,0.0,2796.0,2.0,1.0,0.0,0.0,-18.0,2.0,20.0,47.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,273.0,0.0,28.0,0.0,2791.0,2.0,3.0,0.0,0.0,-11.0,6.0,17.0,47.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,273.0,0.0,29.0,0.0,2779.0,3.0,2.0,0.0,0.0,-16.0,4.0,20.0,47.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,273.0,0.0,30.0,0.0,2773.0,1.0,2.0,0.0,0.0,-12.0,4.0,16.0,47.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,273.0,0.0,31.0,0.0,2767.0,0.0,3.0,0.0,0.0,-7.0,0.0,7.0,47.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,273.0,0.0,32.0,0.0,2766.0,0.0,1.0,0.0,0.0,-7.0,1.0,8.0,47.0,1.0,0.0,0.0
0.0,0.0,3.0,0.0,0.1,1.0,0.0,0.0,0.2,10.0,15.0,0.0,0.0,0.0,273.0,0.0,33.0,0.0,2763.0,2.0,2.0,0.0,1.0,-8.0,3.0,11.0,47.0,0.0,0.0,1.0
0.0,0.0,22.0,1.0,12.7,0.0,0.0,4.4,16.6,90.0,6.0,0.0,0.0,0.0,273.0,0.0,34.0,0.0,2755.0,0.0,0.0,15.0,3.0,-11.0,0.0,11.0,47.0,1.0,0.0,3.0
0.0,0.0,12.0,1.0,2.4,0.0,0.0,1.9,9.0,90.0,14.0,0.0,0.0,0.0,273.0,0.0,35.0,0.0,2759.0,0.0,0.0,8.0,3.0,3.0,8.0,5.0,47.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,273.0,0.0,36.0,0.0,2760.0,0.0,1.0,0.0,0.0,-1.0,3.0,4.0,47.0,1.0,0.0,0.0
0.0,0.0,10.0,0.0,0.6,4.0,0.0,1.0,9.0,90.0,9.0,0.0,0.0,0.0,273.0,0.0,37.0,0.0,2757.0,4.0,0.0,0.0,2.0,-5.0,4.0,9.0,47.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,273.0,0.0,38.0,0.0,2775.0,2.0,1.0,0.0,0.0,11.0,19.0,8.0,47.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,273.0,0.0,101.0,0.0,81.0,0.0,2.0,0.0,0.0,72.0,79.0,7.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,273.0,0.0,102.0,0.0,135.0,3.0,0.0,0.0,0.0,36.0,60.0,24.0,45.0,1.0,0.0,0.0
0.0,0.0,15.0,0.0,0.3,3.0,0.0,2.6,25.6,90.0,19.0,0.0,0.0,0.0,273.0,0.0,103.0,0.0,158.0,1.0,3.0,0.0,1.0,13.0,31.0,18.0,45.0,0.0,0.0,1.0
0.0,0.0,14.0,0.0,10.8,2.0,0.0,3.2,21.0,90.0,16.0,0.0,0.0,0.0,273.0,0.0,104.0,0.0,186.0,0.0,2.0,0.0,1.0,13.0,23.0,10.0,45.0,0.0,0.0,1.0
0.0,0.0,16.0,0.0,10.0,2.0,0.0,2.8,18.4,90.0,6.0,0.0,0.0,0.0,273.0,0.0,105.0,0.0,194.0,2.0,1.0,0.0,1.0,2.0,13.0,11.0,45.0,1.0,0.0,1.0
1.0,0.0,22.0,0.0,10.3,3.0,0.0,3.7,26.6,90.0,11.0,0.0,0.0,0.0,273.0,0.0,106.0,0.0,213.0,1.0,3.0,0.0,4.0,5.0,23.0,18.0,45.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,273.0,0.0,107.0,0.0,861.0,2.0,1.0,0.0,0.0,136.0,174.0,38.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,273.0,0.0,108.0,0.0,376.0,1.0,4.0,0.0,0.0,-25.0,37.0,62.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,273.0,0.0,110.0,0.0,364.0,0.0,2.0,0.0,0.0,-5.0,15.0,20.0,45.0,1.0,0.0,0.0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.1,1.4,1.0,2.0,0.0,0.0,0.0,273.0,0.0,111.0,0.0,352.0,1.0,0.0,0.0,1.0,-18.0,10.0,28.0,45.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,273.0,0.0,112.0,0.0,373.0,0.0,1.0,0.0,0.0,4.0,20.0,16.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,273.0,0.0,113.0,0.0,377.0,0.0,1.0,0.0,0.0,-6.0,7.0,13.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,273.0,0.0,114.0,0.0,397.0,4.0,0.0,0.0,0.0,6.0,18.0,12.0,45.0,1.0,0.0,0.0
