assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,278.0,0.0,1.0,0.0,21411.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,55.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,278.0,0.0,2.0,0.0,20658.0,4.0,1.0,0.0,0.0,-3549.0,694.0,4243.0,55.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,278.0,0.0,3.0,0.0,18914.0,1.0,3.0,0.0,0.0,-2671.0,885.0,3556.0,55.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,278.0,0.0,4.0,0.0,19204.0,2.0,1.0,0.0,0.0,-549.0,2075.0,2624.0,54.0,0.0,0.0,0.0
0.0,0.0,24.0,1.0,17.4,0.0,1.0,8.9,32.6,71.0,2.0,0.0,0.0,0.0,278.0,0.0,5.0,0.0,24783.0,0.0,4.0,39.0,8.0,4728.0,6105.0,1377.0,54.0,1.0,0.0,8.0
0.0,0.0,17.0,0.0,15.4,1.0,0.0,6.2,7.6,67.0,16.0,0.0,0.0,0.0,278.0,0.0,6.0,0.0,49397.0,3.0,1.0,39.0,2.0,22462.0,25948.0,3486.0,54.0,0.0,0.0,2.0
0.0,0.0,5.0,0.0,2.2,0.0,0.0,0.6,2.8,38.0,17.0,0.0,0.0,0.0,278.0,0.0,7.0,0.0,57069.0,0.0,2.0,1.0,1.0,6280.0,11086.0,4806.0,54.0,0.0,0.0,1.0
0.0,0.0,20.0,0.0,32.4,1.0,0.0,5.2,19.4,89.0,6.0,0.0,0.0,0.0,278.0,0.0,8.0,0.0,59658.0,1.0,1.0,0.0,2.0,877.0,6869.0,5992.0,54.0,1.0,0.0,2.0
0.0,0.0,15.0,0.0,48.4,1.0,0.0,8.6,17.4,90.0,13.0,0.0,0.0,0.0,278.0,0.0,9.0,0.0,56804.0,1.0,1.0,20.0,2.0,-3605.0,3527.0,7132.0,54.0,1.0,0.0,2.0
1.0,2.0,67.0,1.0,59.6,0.0,2.0,21.5,93.4,90.0,19.0,0.0,0.0,0.0,278.0,0.0,10.0,0.0,56516.0,4.0,0.0,62.0,18.0,-1031.0,3885.0,4916.0,54.0,0.0,0.0,18.0
0.0,0.0,13.0,1.0,10.9,0.0,0.0,3.8,4.2,74.0,12.0,0.0,0.0,0.0,278.0,0.0,11.0,0.0,541667.0,1.0,1.0,23.0,3.0,474796.0,478420.0,3624.0,57.0,1.0,0.0,3.0
