assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,279.0,0.0,1.0,0.0,3008.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,279.0,0.0,2.0,0.0,2376.0,2.0,1.0,0.0,0.0,-730.0,23.0,753.0,59.0,1.0,0.0,0.0
0.0,0.0,5.0,0.0,15.2,0.0,0.0,4.6,9.8,14.0,1.0,0.0,0.0,0.0,279.0,0.0,3.0,0.0,1957.0,3.0,1.0,21.0,1.0,-481.0,56.0,537.0,59.0,1.0,0.0,1.0
0.0,0.0,6.0,0.0,11.3,0.0,0.0,4.2,9.2,22.0,20.0,0.0,0.0,0.0,279.0,0.0,4.0,0.0,1907.0,4.0,2.0,21.0,1.0,-144.0,143.0,287.0,59.0,0.0,0.0,1.0
0.0,0.0,5.0,0.0,0.3,0.0,0.0,0.6,2.0,1.0,11.0,0.0,0.0,0.0,279.0,0.0,5.0,0.0,1729.0,1.0,3.0,4.0,1.0,-215.0,26.0,241.0,58.0,1.0,0.0,1.0
0.0,0.0,-1.0,0.0,1.5,0.0,0.0,2.8,4.0,33.0,3.0,0.0,0.0,0.0,279.0,0.0,6.0,0.0,1608.0,0.0,2.0,22.0,0.0,-169.0,71.0,240.0,58.0,0.0,1.0,0.0
0.0,0.0,16.0,0.0,1.6,1.0,1.0,6.3,34.2,33.0,2.0,0.0,0.0,0.0,279.0,0.0,7.0,0.0,1630.0,2.0,2.0,27.0,6.0,-25.0,80.0,105.0,58.0,1.0,0.0,6.0
0.0,0.0,8.0,1.0,2.2,0.0,0.0,3.2,8.4,88.0,12.0,0.0,0.0,0.0,279.0,0.0,8.0,0.0,2074.0,1.0,0.0,21.0,3.0,357.0,498.0,141.0,58.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,279.0,0.0,9.0,0.0,2491.0,0.0,0.0,0.0,0.0,349.0,591.0,242.0,58.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,279.0,0.0,10.0,0.0,2067.0,0.0,1.0,0.0,0.0,-436.0,64.0,500.0,58.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,279.0,0.0,11.0,0.0,1702.0,1.0,6.0,0.0,0.0,-375.0,13.0,388.0,58.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,279.0,0.0,12.0,0.0,1565.0,1.0,2.0,0.0,0.0,-141.0,33.0,174.0,57.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,279.0,0.0,13.0,0.0,1489.0,1.0,0.0,0.0,0.0,-81.0,13.0,94.0,57.0,1.0,0.0,0.0
