assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,280.0,0.0,4.0,0.0,8686.0,1.0,4.0,0.0,0.0,7082.0,8709.0,1627.0,85.0,0.0,0.0,0.0
0.0,3.0,53.0,1.0,7.9,0.0,2.0,16.2,74.6,90.0,3.0,0.0,0.0,0.0,280.0,0.0,5.0,0.0,8859.0,0.0,3.0,79.0,13.0,-573.0,1807.0,2380.0,85.0,1.0,0.0,13.0
0.0,0.0,8.0,0.0,17.6,4.0,0.0,3.2,4.8,90.0,11.0,0.0,0.0,0.0,280.0,0.0,6.0,0.0,69394.0,1.0,4.0,10.0,2.0,52552.0,59613.0,7061.0,85.0,0.0,0.0,2.0
0.0,0.0,1.0,1.0,11.8,0.0,0.0,4.3,0.0,77.0,13.0,0.0,0.0,0.0,280.0,0.0,7.0,0.0,79264.0,0.0,0.0,31.0,2.0,7284.0,20268.0,12984.0,85.0,1.0,0.0,2.0
0.0,0.0,1.0,0.0,0.3,1.0,0.0,0.2,0.0,24.0,4.0,0.0,0.0,0.0,280.0,0.0,8.0,0.0,74913.0,0.0,3.0,4.0,1.0,-7570.0,7657.0,15227.0,86.0,0.0,0.0,1.0
1.0,0.0,10.0,1.0,23.8,0.0,0.0,6.7,14.0,74.0,5.0,0.0,0.0,0.0,280.0,0.0,9.0,0.0,70477.0,1.0,3.0,29.0,5.0,-5626.0,9727.0,15353.0,85.0,1.0,0.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,280.0,0.0,10.0,0.0,66349.0,1.0,1.0,0.0,0.0,-5389.0,5234.0,10623.0,85.0,0.0,0.0,0.0
0.0,1.0,31.0,0.0,10.6,2.0,1.0,9.0,36.4,90.0,19.0,0.0,0.0,0.0,280.0,0.0,11.0,0.0,41899.0,2.0,1.0,43.0,7.0,-24743.0,816.0,25559.0,83.0,1.0,0.0,7.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,280.0,0.0,12.0,0.0,44698.0,1.0,2.0,0.0,0.0,1423.0,6219.0,4796.0,83.0,0.0,0.0,0.0
0.0,0.0,24.0,0.0,2.0,1.0,1.0,5.0,31.4,26.0,12.0,0.0,0.0,0.0,280.0,0.0,13.0,0.0,36304.0,2.0,2.0,17.0,5.0,-8569.0,399.0,8968.0,83.0,1.0,0.0,5.0
