assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,13.0,0.0,0.0,1.0,0.0,2.5,25.4,90.0,8.0,0.0,0.0,0.0,288.0,0.0,1.0,0.0,4169.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,50.0,1.0,0.0,2.0
0.0,0.0,19.0,1.0,0.1,0.0,0.0,5.3,35.6,90.0,16.0,0.0,0.0,0.0,288.0,0.0,2.0,0.0,4861.0,2.0,0.0,17.0,3.0,-127.0,257.0,384.0,50.0,0.0,0.0,3.0
0.0,0.0,14.0,0.0,0.0,1.0,0.0,2.2,22.2,90.0,11.0,0.0,0.0,0.0,288.0,0.0,3.0,0.0,5428.0,1.0,0.0,0.0,2.0,94.0,592.0,498.0,50.0,1.0,0.0,2.0
0.0,0.0,15.0,0.0,1.4,1.0,0.0,2.9,27.2,90.0,3.0,0.0,0.0,0.0,288.0,0.0,4.0,0.0,5714.0,1.0,1.0,0.0,2.0,-43.0,624.0,667.0,50.0,0.0,0.0,2.0
0.0,0.0,-9.0,0.0,0.1,4.0,0.0,0.0,0.0,39.0,1.0,0.0,0.0,0.0,288.0,1.0,5.0,0.0,5379.0,4.0,1.0,0.0,-2.0,-433.0,104.0,537.0,50.0,1.0,0.0,-2.0
0.0,0.0,23.0,0.0,0.3,5.0,0.0,3.7,36.8,90.0,9.0,0.0,0.0,0.0,288.0,0.0,6.0,0.0,4627.0,1.0,5.0,0.0,2.0,-801.0,63.0,864.0,49.0,0.0,0.0,2.0
0.0,0.0,18.0,0.0,13.8,2.0,0.0,3.8,24.6,90.0,4.0,0.0,0.0,0.0,288.0,0.0,7.0,0.0,4393.0,2.0,0.0,0.0,1.0,-258.0,60.0,318.0,49.0,1.0,1.0,1.0
1.0,0.0,27.0,0.0,30.7,6.0,0.0,6.9,38.4,90.0,2.0,0.0,0.0,0.0,288.0,0.0,8.0,0.0,4218.0,1.0,6.0,0.0,5.0,-217.0,60.0,277.0,49.0,0.0,0.0,5.0
0.0,0.0,13.0,0.0,5.0,2.0,0.0,1.9,9.0,90.0,14.0,0.0,0.0,0.0,288.0,0.0,9.0,0.0,4247.0,2.0,0.0,5.0,2.0,-19.0,172.0,191.0,48.0,1.0,0.0,2.0
0.0,0.0,3.0,0.0,4.4,1.0,0.0,1.1,3.8,90.0,18.0,0.0,0.0,0.0,288.0,0.0,10.0,0.0,4236.0,0.0,1.0,3.0,2.0,-62.0,126.0,188.0,48.0,0.0,0.0,2.0
