assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,293.0,0.0,1.0,0.0,979.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,293.0,0.0,2.0,0.0,850.0,0.0,1.0,0.0,0.0,-172.0,4.0,176.0,50.0,0.0,0.0,0.0
0.0,0.0,7.0,0.0,3.4,1.0,0.0,5.0,10.2,65.0,2.0,0.0,0.0,0.0,293.0,0.0,3.0,0.0,855.0,1.0,1.0,36.0,2.0,-86.0,46.0,132.0,49.0,1.0,0.0,2.0
0.0,0.0,10.0,0.0,6.1,1.0,0.0,4.6,11.6,90.0,12.0,0.0,0.0,0.0,293.0,0.0,4.0,0.0,844.0,2.0,1.0,28.0,2.0,-82.0,60.0,142.0,49.0,0.0,0.0,2.0
0.0,2.0,36.0,0.0,2.7,1.0,1.0,7.2,52.4,90.0,14.0,0.0,0.0,0.0,293.0,0.0,5.0,0.0,875.0,1.0,4.0,17.0,8.0,-8.0,54.0,62.0,49.0,1.0,1.0,8.0
1.0,2.0,41.0,0.0,23.3,2.0,1.0,10.3,58.6,90.0,15.0,0.0,0.0,0.0,293.0,0.0,6.0,0.0,3111.0,3.0,2.0,21.0,12.0,1908.0,2314.0,406.0,49.0,0.0,0.0,12.0
0.0,0.0,4.0,0.0,0.6,1.0,0.0,1.2,7.0,78.0,6.0,0.0,0.0,0.0,293.0,0.0,7.0,0.0,33685.0,1.0,1.0,4.0,2.0,28136.0,31095.0,2959.0,49.0,0.0,0.0,2.0
0.0,0.0,6.0,0.0,19.0,1.0,0.0,2.9,6.4,69.0,20.0,0.0,0.0,0.0,293.0,0.0,8.0,0.0,50636.0,1.0,0.0,4.0,2.0,14560.0,18994.0,4434.0,49.0,1.0,0.0,2.0
0.0,0.0,13.0,0.0,15.3,3.0,0.0,2.5,7.8,90.0,8.0,0.0,0.0,0.0,293.0,0.0,9.0,0.0,44449.0,1.0,3.0,2.0,2.0,-6761.0,2220.0,8981.0,49.0,0.0,0.0,2.0
0.0,3.0,41.0,0.0,3.7,4.0,2.0,11.4,72.4,85.0,9.0,0.0,0.0,0.0,293.0,0.0,10.0,0.0,41364.0,4.0,2.0,38.0,15.0,-3516.0,1858.0,5374.0,49.0,1.0,0.0,15.0
0.0,0.0,12.0,0.0,35.8,2.0,0.0,5.2,1.2,87.0,3.0,0.0,0.0,0.0,293.0,0.0,11.0,0.0,95651.0,2.0,3.0,15.0,1.0,50864.0,55191.0,4327.0,50.0,0.0,1.0,1.0
0.0,0.0,19.0,0.0,2.4,2.0,0.0,2.1,16.8,90.0,10.0,0.0,0.0,0.0,293.0,0.0,12.0,0.0,99378.0,2.0,1.0,2.0,2.0,1969.0,14394.0,12425.0,50.0,1.0,0.0,2.0
1.0,0.0,21.0,0.0,12.0,3.0,0.0,3.8,20.2,81.0,16.0,0.0,0.0,0.0,293.0,0.0,13.0,0.0,104616.0,4.0,5.0,6.0,5.0,4474.0,12364.0,7890.0,50.0,0.0,0.0,5.0
0.0,0.0,14.0,1.0,7.1,0.0,0.0,3.7,19.6,88.0,13.0,0.0,0.0,0.0,293.0,0.0,14.0,0.0,107382.0,0.0,3.0,10.0,2.0,2104.0,7250.0,5146.0,50.0,1.0,1.0,2.0
0.0,0.0,-1.0,0.0,2.3,1.0,0.0,0.4,0.0,70.0,7.0,0.0,0.0,0.0,293.0,0.0,15.0,0.0,105390.0,3.0,3.0,6.0,1.0,-2587.0,7185.0,9772.0,50.0,0.0,1.0,1.0
0.0,1.0,26.0,0.0,6.0,1.0,1.0,7.7,43.2,86.0,11.0,0.0,0.0,0.0,293.0,0.0,16.0,0.0,95856.0,2.0,1.0,28.0,8.0,-9782.0,2041.0,11823.0,50.0,1.0,0.0,8.0
0.0,0.0,7.0,0.0,5.8,1.0,0.0,1.2,0.0,90.0,4.0,0.0,0.0,0.0,293.0,0.0,17.0,0.0,104585.0,1.0,0.0,8.0,2.0,8212.0,12433.0,4221.0,50.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,293.0,0.0,18.0,0.0,114964.0,1.0,1.0,0.0,0.0,9427.0,15782.0,6355.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,293.0,0.0,19.0,0.0,97698.0,0.0,2.0,0.0,0.0,-17376.0,2236.0,19612.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,293.0,0.0,20.0,0.0,78824.0,2.0,1.0,0.0,0.0,-18925.0,1384.0,20309.0,49.0,1.0,0.0,0.0
0.0,0.0,6.0,0.0,2.5,1.0,0.0,0.2,0.0,69.0,20.0,0.0,0.0,0.0,293.0,0.0,21.0,0.0,61373.0,0.0,3.0,0.0,2.0,-17659.0,3354.0,21013.0,48.0,0.0,0.0,2.0
0.0,0.0,12.0,0.0,29.2,1.0,0.0,4.3,12.2,90.0,6.0,0.0,0.0,0.0,293.0,0.0,22.0,0.0,61016.0,1.0,0.0,2.0,2.0,-697.0,5620.0,6317.0,48.0,1.0,0.0,2.0
0.0,0.0,7.0,1.0,23.8,0.0,0.0,2.8,1.6,75.0,2.0,0.0,0.0,0.0,293.0,0.0,23.0,0.0,68144.0,2.0,0.0,3.0,3.0,6524.0,10629.0,4105.0,48.0,0.0,0.0,3.0
0.0,0.0,9.0,0.0,8.3,4.0,0.0,1.5,5.2,61.0,15.0,0.0,0.0,0.0,293.0,0.0,24.0,0.0,70253.0,4.0,0.0,1.0,2.0,1959.0,5078.0,3119.0,48.0,1.0,0.0,2.0
0.0,0.0,11.0,0.0,9.3,1.0,0.0,2.2,7.2,86.0,14.0,0.0,0.0,0.0,293.0,0.0,25.0,0.0,70374.0,0.0,1.0,5.0,2.0,-204.0,5145.0,5349.0,48.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.5,0.0,28.0,12.0,0.0,0.0,0.0,293.0,0.0,26.0,0.0,69934.0,0.0,1.0,4.0,0.0,-786.0,3540.0,4326.0,48.0,1.0,1.0,0.0
0.0,0.0,5.0,0.0,0.5,0.0,0.0,0.5,4.2,5.0,19.0,0.0,0.0,0.0,293.0,0.0,27.0,0.0,67083.0,2.0,0.0,0.0,1.0,-2985.0,2368.0,5353.0,48.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,293.0,0.0,29.0,0.0,60329.0,0.0,1.0,0.0,0.0,-1917.0,1253.0,3170.0,48.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,293.0,0.0,30.0,0.0,54708.0,2.0,1.0,0.0,0.0,-5664.0,143.0,5807.0,48.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,293.0,0.0,31.0,0.0,51938.0,1.0,3.0,0.0,0.0,-2782.0,62.0,2844.0,48.0,0.0,0.0,0.0
0.0,0.0,7.0,0.0,0.3,0.0,0.0,0.6,5.2,17.0,1.0,0.0,0.0,0.0,293.0,0.0,32.0,0.0,48665.0,0.0,3.0,0.0,1.0,-3277.0,72.0,3349.0,47.0,1.0,0.0,1.0
0.0,0.0,3.0,0.0,0.3,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,293.0,0.0,33.0,0.0,47338.0,2.0,2.0,0.0,1.0,-1343.0,841.0,2184.0,47.0,1.0,0.0,1.0
0.0,0.0,5.0,1.0,0.5,0.0,0.0,3.1,6.4,63.0,17.0,0.0,0.0,0.0,293.0,0.0,34.0,0.0,47614.0,1.0,0.0,24.0,3.0,247.0,1633.0,1386.0,47.0,1.0,0.0,3.0
0.0,0.0,9.0,0.0,16.2,1.0,0.0,3.8,5.6,70.0,3.0,0.0,0.0,0.0,293.0,0.0,35.0,0.0,46855.0,2.0,0.0,16.0,2.0,-785.0,461.0,1246.0,47.0,1.0,0.0,2.0
0.0,0.0,6.0,0.0,11.6,5.0,0.0,2.6,0.0,90.0,10.0,0.0,0.0,0.0,293.0,0.0,36.0,0.0,45735.0,0.0,5.0,16.0,2.0,-1128.0,142.0,1270.0,47.0,0.0,0.0,2.0
1.0,0.0,19.0,0.0,28.0,0.0,0.0,5.5,23.4,29.0,7.0,0.0,0.0,0.0,293.0,0.0,37.0,0.0,44923.0,0.0,4.0,4.0,4.0,-824.0,302.0,1126.0,47.0,1.0,0.0,4.0
0.0,0.0,8.0,0.0,6.7,2.0,0.0,0.9,2.0,60.0,11.0,0.0,0.0,0.0,293.0,0.0,38.0,0.0,44507.0,0.0,2.0,0.0,2.0,-430.0,368.0,798.0,47.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,293.0,0.0,39.0,0.0,219884.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0
0.0,0.0,4.0,0.0,0.5,0.0,0.0,0.4,3.0,17.0,10.0,0.0,0.0,0.0,293.0,0.0,40.0,0.0,187944.0,0.0,1.0,0.0,1.0,-32730.0,502.0,33232.0,45.0,0.0,0.0,1.0
0.0,0.0,5.0,0.0,13.4,2.0,0.0,4.7,5.2,90.0,16.0,0.0,0.0,0.0,293.0,0.0,41.0,0.0,172078.0,2.0,0.0,28.0,2.0,-16509.0,2671.0,19180.0,45.0,1.0,0.0,2.0
