assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,299.0,0.0,1.0,0.0,2891.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0
0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.1,0.0,9.0,17.0,0.0,0.0,0.0,299.0,0.0,2.0,0.0,2757.0,0.0,1.0,1.0,1.0,-289.0,26.0,315.0,50.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,299.0,0.0,3.0,0.0,2962.0,1.0,1.0,0.0,0.0,-39.0,162.0,201.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,299.0,0.0,4.0,0.0,2945.0,2.0,1.0,0.0,0.0,-191.0,104.0,295.0,50.0,0.0,0.0,0.0
0.0,0.0,20.0,0.0,0.3,0.0,1.0,8.1,43.6,45.0,14.0,0.0,0.0,0.0,299.0,0.0,5.0,0.0,2859.0,1.0,4.0,37.0,7.0,-161.0,52.0,213.0,50.0,1.0,0.0,7.0
0.0,0.0,16.0,0.0,0.3,2.0,0.0,3.1,26.2,90.0,15.0,0.0,0.0,0.0,299.0,0.0,6.0,0.0,3555.0,3.0,2.0,4.0,1.0,564.0,869.0,305.0,50.0,0.0,0.0,1.0
0.0,0.0,4.0,0.0,0.3,1.0,0.0,4.2,19.2,90.0,6.0,0.0,0.0,0.0,299.0,0.0,7.0,0.0,4026.0,1.0,1.0,22.0,1.0,303.0,527.0,224.0,50.0,0.0,1.0,1.0
0.0,0.0,14.0,0.0,0.3,1.0,0.0,1.7,14.4,90.0,20.0,0.0,0.0,0.0,299.0,0.0,8.0,0.0,4682.0,1.0,0.0,2.0,2.0,459.0,679.0,220.0,50.0,1.0,0.0,2.0
0.0,0.0,13.0,0.0,4.2,3.0,0.0,2.2,16.2,90.0,8.0,0.0,0.0,0.0,299.0,0.0,9.0,0.0,4879.0,1.0,3.0,2.0,1.0,85.0,289.0,204.0,50.0,0.0,0.0,1.0
0.0,0.0,19.0,0.0,0.2,4.0,0.0,2.4,23.6,90.0,9.0,0.0,0.0,0.0,299.0,0.0,10.0,0.0,4753.0,4.0,2.0,0.0,0.0,-178.0,94.0,272.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,299.0,0.0,11.0,0.0,4688.0,2.0,3.0,0.0,0.0,-117.0,167.0,284.0,50.0,0.0,0.0,0.0
0.0,0.0,9.0,0.0,0.1,2.0,0.0,0.6,5.8,90.0,10.0,0.0,0.0,0.0,299.0,0.0,12.0,0.0,4560.0,2.0,1.0,0.0,1.0,-236.0,100.0,336.0,50.0,1.0,0.0,1.0
0.0,0.0,28.0,0.0,0.2,5.0,1.0,11.1,58.0,90.0,16.0,0.0,0.0,0.0,299.0,0.0,13.0,0.0,4514.0,4.0,5.0,53.0,6.0,-94.0,79.0,173.0,50.0,0.0,0.0,6.0
0.0,2.0,31.0,1.0,0.4,0.0,1.0,8.3,49.8,88.0,13.0,0.0,0.0,0.0,299.0,0.0,14.0,0.0,5001.0,0.0,3.0,33.0,13.0,388.0,534.0,146.0,50.0,1.0,1.0,13.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,299.0,0.0,15.0,0.0,17563.0,3.0,3.0,0.0,0.0,10322.0,11116.0,794.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,299.0,0.0,16.0,0.0,13194.0,2.0,1.0,0.0,0.0,-4490.0,401.0,4891.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,299.0,0.0,17.0,0.0,9913.0,1.0,0.0,0.0,0.0,-3294.0,88.0,3382.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,299.0,0.0,18.0,0.0,7756.0,1.0,1.0,0.0,0.0,-2192.0,87.0,2279.0,50.0,0.0,0.0,0.0
0.0,0.0,7.0,0.0,0.1,2.0,0.0,2.2,21.8,90.0,1.0,0.0,0.0,0.0,299.0,0.0,19.0,0.0,7019.0,0.0,2.0,0.0,0.0,-746.0,56.0,802.0,50.0,0.0,1.0,0.0
0.0,0.0,13.0,0.0,0.8,2.0,0.0,2.3,21.8,90.0,16.0,0.0,0.0,0.0,299.0,0.0,20.0,0.0,7386.0,2.0,1.0,0.0,0.0,329.0,748.0,419.0,49.0,1.0,1.0,0.0
