assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,301.0,0.0,4.0,0.0,131.0,1.0,1.0,0.0,0.0,81.0,127.0,46.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,301.0,0.0,5.0,0.0,164.0,4.0,1.0,0.0,0.0,3.0,23.0,20.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,301.0,0.0,6.0,0.0,178.0,1.0,5.0,0.0,0.0,-8.0,28.0,36.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,301.0,0.0,7.0,0.0,213.0,2.0,0.0,0.0,0.0,7.0,33.0,26.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,301.0,0.0,8.0,0.0,224.0,1.0,6.0,0.0,0.0,-14.0,16.0,30.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,301.0,0.0,9.0,0.0,235.0,2.0,0.0,0.0,0.0,-2.0,11.0,13.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,301.0,0.0,10.0,0.0,246.0,0.0,1.0,0.0,0.0,-1.0,16.0,17.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,301.0,0.0,11.0,0.0,261.0,1.0,2.0,0.0,0.0,6.0,35.0,29.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,301.0,0.0,12.0,0.0,297.0,0.0,3.0,0.0,0.0,5.0,27.0,22.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,301.0,0.0,13.0,0.0,302.0,1.0,1.0,0.0,0.0,-11.0,14.0,25.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,301.0,0.0,14.0,0.0,317.0,0.0,1.0,0.0,0.0,-3.0,14.0,17.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,301.0,0.0,15.0,0.0,319.0,3.0,3.0,0.0,0.0,-7.0,22.0,29.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,301.0,0.0,16.0,0.0,324.0,0.0,3.0,0.0,0.0,2.0,14.0,12.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,301.0,0.0,17.0,0.0,328.0,0.0,1.0,0.0,0.0,-5.0,9.0,14.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,301.0,0.0,18.0,0.0,333.0,3.0,0.0,0.0,0.0,-6.0,26.0,32.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,301.0,0.0,19.0,0.0,402.0,2.0,2.0,0.0,0.0,56.0,68.0,12.0,43.0,1.0,0.0,0.0
