assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,1.0,0.0,22.5,2.0,0.0,5.8,3.2,90.0,7.0,0.0,0.0,0.0,303.0,0.0,1.0,0.0,864018.0,1.0,2.0,32.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,2.0
0.0,0.0,3.0,1.0,20.3,0.0,0.0,5.5,3.0,90.0,1.0,0.0,0.0,0.0,303.0,0.0,2.0,0.0,812594.0,0.0,0.0,32.0,2.0,-101593.0,7182.0,108775.0,100.0,1.0,0.0,2.0
0.0,2.0,29.0,0.0,5.0,1.0,1.0,7.9,36.4,90.0,16.0,0.0,0.0,0.0,303.0,0.0,3.0,0.0,642576.0,1.0,2.0,38.0,8.0,-186413.0,8175.0,194588.0,99.0,1.0,0.0,8.0
0.0,0.0,27.0,0.0,7.3,4.0,1.0,11.0,41.8,90.0,9.0,0.0,0.0,0.0,303.0,0.0,4.0,0.0,673387.0,1.0,4.0,61.0,6.0,6664.0,58078.0,51414.0,99.0,0.0,0.0,6.0
1.0,1.0,25.0,1.0,35.2,0.0,0.0,7.6,24.4,90.0,3.0,0.0,0.0,0.0,303.0,0.0,5.0,0.0,679668.0,0.0,3.0,16.0,6.0,-2219.0,31663.0,33882.0,99.0,1.0,0.0,6.0
0.0,0.0,2.0,0.0,5.2,4.0,0.0,0.8,0.4,45.0,11.0,0.0,0.0,0.0,303.0,0.0,6.0,0.0,628898.0,1.0,4.0,2.0,1.0,-58380.0,18880.0,77260.0,99.0,0.0,0.0,1.0
0.0,0.0,5.0,1.0,0.4,0.0,0.0,1.3,0.0,65.0,13.0,0.0,0.0,0.0,303.0,0.0,7.0,0.0,553050.0,0.0,0.0,14.0,2.0,-78704.0,4438.0,83142.0,98.0,1.0,0.0,2.0
0.0,0.0,6.0,0.0,3.4,3.0,0.0,3.1,1.4,90.0,4.0,0.0,0.0,0.0,303.0,0.0,8.0,0.0,495955.0,0.0,3.0,26.0,2.0,-60724.0,3106.0,63830.0,97.0,0.0,0.0,2.0
0.0,0.0,5.0,0.0,14.8,1.0,0.0,2.0,1.4,16.0,5.0,0.0,0.0,0.0,303.0,0.0,9.0,0.0,435567.0,1.0,3.0,4.0,1.0,-61783.0,3432.0,65215.0,97.0,1.0,0.0,1.0
1.0,0.0,14.0,0.0,15.1,1.0,0.0,3.7,15.4,90.0,17.0,0.0,0.0,0.0,303.0,0.0,10.0,0.0,407297.0,1.0,1.0,6.0,4.0,-29754.0,1748.0,31502.0,97.0,0.0,1.0,4.0
0.0,0.0,3.0,0.0,0.3,2.0,0.0,1.0,2.0,45.0,19.0,0.0,0.0,0.0,303.0,0.0,11.0,0.0,398908.0,2.0,1.0,8.0,1.0,-9972.0,8255.0,18227.0,97.0,1.0,0.0,1.0
1.0,0.0,12.0,0.0,13.8,2.0,0.0,2.9,0.0,90.0,18.0,0.0,0.0,0.0,303.0,0.0,12.0,0.0,386606.0,1.0,2.0,15.0,5.0,-14598.0,6172.0,20770.0,96.0,0.0,0.0,5.0
0.0,0.0,2.0,0.0,0.3,1.0,0.0,0.0,0.0,64.0,12.0,0.0,0.0,0.0,303.0,0.0,13.0,0.0,386897.0,2.0,2.0,0.0,1.0,-939.0,7404.0,8343.0,96.0,1.0,1.0,1.0
0.0,0.0,1.0,0.0,4.2,2.0,0.0,1.2,0.0,90.0,15.0,0.0,0.0,0.0,303.0,0.0,14.0,0.0,375087.0,1.0,2.0,12.0,2.0,-12798.0,2702.0,15500.0,96.0,0.0,0.0,2.0
0.0,3.0,80.0,0.0,4.4,1.0,3.0,18.2,100.2,87.0,10.0,0.0,0.0,0.0,303.0,0.0,15.0,0.0,361165.0,2.0,4.0,77.0,17.0,-14927.0,1779.0,16706.0,96.0,1.0,0.0,17.0
0.0,0.0,12.0,0.0,32.3,1.0,0.0,8.5,12.0,90.0,2.0,0.0,0.0,0.0,303.0,0.0,16.0,0.0,415520.0,0.0,1.0,41.0,2.0,51714.0,53439.0,1725.0,96.0,0.0,0.0,2.0
0.0,0.0,-8.0,0.0,1.1,2.0,0.0,1.8,0.0,27.0,14.0,0.0,0.0,0.0,303.0,1.0,17.0,0.0,415382.0,2.0,2.0,21.0,-2.0,-1813.0,12003.0,13816.0,96.0,0.0,0.0,-2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,303.0,0.0,18.0,0.0,351129.0,2.0,0.0,0.0,0.0,-64910.0,3780.0,68690.0,96.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,303.0,0.0,19.0,0.0,339984.0,0.0,1.0,0.0,0.0,-11417.0,397.0,11814.0,96.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,303.0,0.0,20.0,0.0,335641.0,0.0,0.0,0.0,0.0,-4525.0,425.0,4950.0,96.0,0.0,0.0,0.0
0.0,0.0,4.0,0.0,22.1,3.0,0.0,3.1,2.4,90.0,4.0,0.0,0.0,0.0,303.0,0.0,21.0,0.0,334000.0,3.0,0.0,6.0,2.0,-2671.0,3844.0,6515.0,96.0,1.0,0.0,2.0
0.0,0.0,3.0,0.0,12.8,3.0,0.0,2.0,1.6,90.0,13.0,0.0,0.0,0.0,303.0,0.0,22.0,0.0,332431.0,0.0,3.0,6.0,2.0,-2273.0,2277.0,4550.0,96.0,0.0,0.0,2.0
0.0,0.0,1.0,0.0,22.4,1.0,0.0,5.4,0.0,90.0,3.0,0.0,0.0,0.0,303.0,0.0,23.0,0.0,330181.0,0.0,1.0,32.0,2.0,-2882.0,1071.0,3953.0,96.0,0.0,0.0,2.0
0.0,0.0,2.0,0.0,25.3,3.0,0.0,3.4,0.0,90.0,11.0,0.0,0.0,0.0,303.0,0.0,24.0,0.0,328489.0,3.0,0.0,10.0,2.0,-1950.0,539.0,2489.0,96.0,1.0,0.0,2.0
0.0,0.0,4.0,0.0,3.2,2.0,0.0,1.8,0.0,90.0,16.0,0.0,0.0,0.0,303.0,0.0,25.0,0.0,325783.0,0.0,2.0,16.0,2.0,-3149.0,741.0,3890.0,96.0,0.0,0.0,2.0
0.0,3.0,58.0,0.0,25.9,1.0,2.0,18.3,78.0,90.0,9.0,0.0,0.0,0.0,303.0,0.0,26.0,0.0,326904.0,1.0,3.0,79.0,13.0,407.0,3457.0,3050.0,96.0,1.0,0.0,13.0
1.0,0.0,17.0,0.0,26.9,1.0,0.0,6.2,17.0,90.0,7.0,0.0,0.0,0.0,303.0,0.0,27.0,0.0,354498.0,1.0,3.0,18.0,5.0,26472.0,28727.0,2255.0,96.0,1.0,0.0,5.0
1.0,2.0,34.0,0.0,10.8,2.0,1.0,10.2,46.4,75.0,20.0,0.0,0.0,0.0,303.0,0.0,29.0,0.0,405125.0,3.0,2.0,45.0,11.0,55145.0,59022.0,3877.0,97.0,0.0,0.0,11.0
0.0,1.0,32.0,1.0,22.1,0.0,1.0,8.7,36.4,80.0,14.0,0.0,0.0,0.0,303.0,0.0,30.0,0.0,603969.0,0.0,2.0,28.0,7.0,194665.0,197382.0,2717.0,99.0,1.0,0.0,7.0
0.0,3.0,34.0,1.0,5.8,0.0,1.0,9.4,42.2,90.0,15.0,0.0,0.0,0.0,303.0,0.0,31.0,0.0,763718.0,0.0,2.0,46.0,9.0,158393.0,161842.0,3449.0,100.0,1.0,0.0,9.0
1.0,0.0,14.0,0.0,12.8,4.0,0.0,1.4,1.2,60.0,6.0,0.0,0.0,0.0,303.0,0.0,32.0,0.0,751002.0,2.0,4.0,0.0,5.0,-13798.0,45909.0,59707.0,101.0,0.0,0.0,5.0
0.0,3.0,33.0,0.0,4.9,2.0,1.0,7.0,38.2,90.0,5.0,0.0,0.0,0.0,303.0,0.0,33.0,0.0,680023.0,2.0,2.0,27.0,9.0,-72329.0,17239.0,89568.0,100.0,0.0,0.0,9.0
0.0,0.0,4.0,0.0,1.6,1.0,0.0,3.3,6.4,90.0,1.0,0.0,0.0,0.0,303.0,0.0,34.0,0.0,624759.0,0.0,1.0,25.0,2.0,-56705.0,22014.0,78719.0,99.0,0.0,0.0,2.0
0.0,3.0,34.0,1.0,11.3,0.0,1.0,7.2,35.2,90.0,19.0,0.0,0.0,0.0,303.0,0.0,35.0,0.0,612792.0,1.0,0.0,25.0,9.0,-13395.0,24441.0,37836.0,99.0,0.0,0.0,9.0
2.0,0.0,25.0,1.0,16.7,0.0,0.0,8.2,31.2,90.0,18.0,0.0,0.0,0.0,303.0,0.0,36.0,0.0,637113.0,0.0,3.0,34.0,8.0,22803.0,40427.0,17624.0,99.0,1.0,0.0,8.0
0.0,0.0,4.0,0.0,10.5,4.0,0.0,3.1,1.0,77.0,17.0,0.0,0.0,0.0,303.0,0.0,37.0,0.0,640248.0,6.0,1.0,19.0,2.0,1954.0,34347.0,32393.0,99.0,1.0,0.0,2.0
0.0,3.0,28.0,0.0,15.3,1.0,1.0,13.8,43.8,90.0,2.0,0.0,0.0,0.0,303.0,0.0,38.0,0.0,628052.0,1.0,1.0,79.0,9.0,-13059.0,30160.0,43219.0,99.0,1.0,0.0,9.0
0.0,3.0,55.0,0.0,4.9,4.0,2.0,14.1,68.4,90.0,1.0,0.0,0.0,0.0,303.0,0.0,39.0,0.0,194195.0,3.0,4.0,68.0,13.0,0.0,0.0,0.0,85.0,0.0,0.0,13.0
0.0,0.0,13.0,1.0,21.3,0.0,0.0,5.9,9.8,90.0,3.0,0.0,0.0,0.0,303.0,0.0,40.0,0.0,623169.0,0.0,2.0,28.0,2.0,222024.0,239358.0,17334.0,86.0,1.0,0.0,2.0
0.0,0.0,12.0,0.0,21.0,1.0,0.0,3.0,8.6,75.0,12.0,0.0,0.0,0.0,303.0,0.0,41.0,0.0,534928.0,0.0,2.0,0.0,2.0,-121050.0,40300.0,161350.0,86.0,0.0,0.0,2.0
0.0,1.0,26.0,0.0,1.3,2.0,1.0,6.6,32.2,90.0,5.0,0.0,0.0,0.0,303.0,0.0,42.0,0.0,511786.0,2.0,1.0,32.0,7.0,-47476.0,36272.0,83748.0,86.0,1.0,0.0,7.0
0.0,3.0,32.0,0.0,5.5,1.0,1.0,6.6,37.2,81.0,8.0,0.0,0.0,0.0,303.0,0.0,43.0,0.0,571036.0,1.0,1.0,23.0,9.0,46991.0,82498.0,35507.0,85.0,0.0,0.0,9.0
0.0,0.0,17.0,0.0,11.4,3.0,1.0,16.8,44.2,90.0,10.0,0.0,1.0,0.0,303.0,0.0,44.0,0.0,536636.0,3.0,2.0,112.0,3.0,-40218.0,65017.0,105235.0,85.0,1.0,1.0,3.0
0.0,0.0,3.0,1.0,11.1,0.0,0.0,3.0,0.0,90.0,2.0,0.0,0.0,0.0,303.0,0.0,45.0,0.0,597139.0,0.0,0.0,19.0,2.0,52586.0,136453.0,83867.0,85.0,0.0,0.0,2.0
0.0,0.0,4.0,0.0,2.0,1.0,0.0,3.7,0.0,90.0,19.0,0.0,0.0,0.0,303.0,0.0,46.0,0.0,848103.0,1.0,1.0,36.0,2.0,235481.0,294953.0,59472.0,86.0,1.0,0.0,2.0
0.0,0.0,6.0,0.0,25.8,1.0,0.0,7.2,16.6,90.0,16.0,0.0,0.0,0.0,303.0,0.0,47.0,0.0,795367.0,2.0,1.0,30.0,2.0,-56698.0,44409.0,101107.0,86.0,0.0,0.0,2.0
0.0,2.0,29.0,1.0,18.2,0.0,1.0,8.8,38.4,89.0,7.0,0.0,0.0,0.0,303.0,0.0,48.0,0.0,765322.0,0.0,2.0,31.0,8.0,-34925.0,72259.0,107184.0,86.0,1.0,0.0,8.0
0.0,0.0,8.0,0.0,12.5,2.0,0.0,6.6,3.4,90.0,15.0,0.0,0.0,0.0,303.0,0.0,49.0,0.0,829521.0,2.0,2.0,50.0,2.0,57464.0,103375.0,45911.0,86.0,0.0,0.0,2.0
0.0,0.0,4.0,0.0,1.6,2.0,0.0,0.8,4.4,90.0,11.0,0.0,0.0,0.0,303.0,0.0,50.0,0.0,753675.0,2.0,0.0,2.0,2.0,-81135.0,31429.0,112564.0,86.0,1.0,0.0,2.0
1.0,0.0,15.0,0.0,15.3,1.0,0.0,2.8,2.4,90.0,20.0,0.0,0.0,0.0,303.0,0.0,51.0,0.0,755088.0,1.0,1.0,10.0,5.0,-2914.0,56419.0,59333.0,85.0,0.0,0.0,5.0
0.0,2.0,28.0,0.0,0.9,1.0,1.0,6.6,30.8,87.0,17.0,0.0,0.0,0.0,303.0,0.0,52.0,0.0,742984.0,1.0,2.0,34.0,8.0,-15497.0,41914.0,57411.0,85.0,1.0,0.0,8.0
0.0,0.0,5.0,1.0,3.2,0.0,0.0,2.7,6.4,90.0,4.0,0.0,0.0,0.0,303.0,0.0,53.0,0.0,896134.0,0.0,1.0,17.0,2.0,147080.0,164270.0,17190.0,86.0,1.0,0.0,2.0
0.0,0.0,3.0,0.0,13.2,2.0,0.0,2.8,7.0,89.0,13.0,0.0,0.0,0.0,303.0,0.0,54.0,0.0,925691.0,3.0,2.0,8.0,2.0,22156.0,83332.0,61176.0,86.0,0.0,0.0,2.0
1.0,0.0,19.0,0.0,25.2,1.0,0.0,6.8,24.2,71.0,14.0,0.0,0.0,0.0,303.0,0.0,55.0,0.0,919737.0,4.0,1.0,19.0,5.0,-8865.0,63398.0,72263.0,86.0,0.0,0.0,5.0
0.0,0.0,3.0,0.0,11.8,2.0,0.0,5.7,4.4,84.0,6.0,0.0,0.0,0.0,303.0,0.0,56.0,0.0,1012181.0,3.0,0.0,41.0,2.0,87816.0,122874.0,35058.0,87.0,1.0,0.0,2.0
0.0,2.0,28.0,0.0,4.3,2.0,1.0,6.1,33.2,90.0,12.0,0.0,0.0,0.0,303.0,0.0,57.0,0.0,885009.0,2.0,2.0,23.0,8.0,-130659.0,25302.0,155961.0,86.0,1.0,0.0,8.0
0.0,0.0,1.0,0.0,2.6,2.0,0.0,1.4,3.4,90.0,18.0,0.0,0.0,0.0,303.0,0.0,58.0,0.0,899771.0,1.0,2.0,8.0,2.0,10618.0,55209.0,44591.0,86.0,0.0,0.0,2.0
0.0,3.0,31.0,0.0,21.6,1.0,1.0,10.1,38.2,73.0,10.0,0.0,0.0,0.0,303.0,0.0,59.0,0.0,838147.0,1.0,2.0,41.0,9.0,-65769.0,38222.0,103991.0,86.0,0.0,0.0,9.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,303.0,0.0,60.0,0.0,972230.0,0.0,3.0,0.0,0.0,130645.0,176205.0,45560.0,86.0,1.0,0.0,0.0
0.0,0.0,11.0,1.0,45.8,0.0,0.0,8.3,10.2,81.0,5.0,0.0,0.0,0.0,303.0,0.0,61.0,0.0,849620.0,0.0,0.0,27.0,2.0,-126324.0,52468.0,178792.0,86.0,0.0,0.0,2.0
0.0,3.0,31.0,1.0,13.8,0.0,1.0,9.8,42.6,88.0,18.0,0.0,0.0,0.0,303.0,0.0,62.0,0.0,913322.0,0.0,2.0,42.0,9.0,58942.0,118322.0,59380.0,85.0,1.0,0.0,9.0
0.0,1.0,27.0,0.0,7.7,2.0,1.0,6.7,32.4,90.0,7.0,0.0,0.0,0.0,303.0,0.0,63.0,0.0,977323.0,1.0,2.0,27.0,7.0,57373.0,104616.0,47243.0,85.0,0.0,0.0,7.0
0.0,0.0,24.0,0.0,11.8,1.0,1.0,7.8,36.2,90.0,16.0,0.0,0.0,0.0,303.0,0.0,64.0,0.0,1022144.0,1.0,1.0,30.0,6.0,41827.0,75667.0,33840.0,86.0,1.0,0.0,6.0
0.0,0.0,24.0,0.0,1.0,5.0,1.0,7.2,35.0,90.0,11.0,0.0,0.0,0.0,303.0,0.0,65.0,0.0,1008454.0,1.0,5.0,36.0,5.0,-18675.0,57082.0,75757.0,86.0,0.0,1.0,5.0
0.0,0.0,10.0,0.0,12.6,1.0,0.0,2.3,4.0,90.0,15.0,0.0,0.0,0.0,303.0,0.0,66.0,0.0,1128951.0,1.0,1.0,6.0,2.0,111753.0,148690.0,36937.0,87.0,1.0,0.0,2.0
0.0,0.0,2.0,0.0,27.8,1.0,0.0,6.6,0.4,90.0,2.0,0.0,0.0,0.0,303.0,0.0,67.0,0.0,1132800.0,1.0,1.0,38.0,2.0,1017.0,43050.0,42033.0,87.0,1.0,0.0,2.0
0.0,0.0,25.0,0.0,3.3,1.0,1.0,8.0,34.4,90.0,19.0,0.0,0.0,0.0,303.0,0.0,68.0,0.0,1066821.0,4.0,1.0,42.0,5.0,-28499.0,28456.0,56955.0,87.0,0.0,1.0,5.0
0.0,0.0,27.0,1.0,6.2,0.0,1.0,7.5,30.2,90.0,3.0,0.0,0.0,0.0,303.0,0.0,70.0,0.0,1293935.0,2.0,0.0,39.0,6.0,194197.0,222684.0,28487.0,88.0,0.0,0.0,6.0
0.0,2.0,30.0,0.0,2.6,2.0,1.0,8.1,33.4,90.0,13.0,0.0,0.0,0.0,303.0,0.0,71.0,0.0,1384832.0,2.0,1.0,45.0,8.0,89558.0,127269.0,37711.0,89.0,1.0,0.0,8.0
0.0,0.0,5.0,1.0,11.6,0.0,0.0,4.0,7.0,90.0,14.0,0.0,0.0,0.0,303.0,0.0,72.0,0.0,1639200.0,0.0,0.0,21.0,2.0,219480.0,246580.0,27100.0,90.0,1.0,0.0,2.0
0.0,0.0,2.0,0.0,1.6,5.0,0.0,4.0,0.0,90.0,6.0,0.0,0.0,0.0,303.0,0.0,74.0,0.0,1379594.0,0.0,5.0,39.0,2.0,-2922.0,50815.0,53737.0,89.0,0.0,0.0,2.0
