assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,780.0,0.0,39.0,0.0,4672.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,780.0,0.0,40.0,0.0,4706.0,0.0,1.0,0.0,0.0,-599.0,171.0,770.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,780.0,0.0,41.0,0.0,4077.0,2.0,0.0,0.0,0.0,-801.0,139.0,940.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,780.0,0.0,42.0,0.0,4111.0,0.0,1.0,0.0,0.0,-258.0,642.0,900.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,780.0,0.0,43.0,0.0,6328.0,1.0,0.0,0.0,0.0,1313.0,3120.0,1807.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,780.0,0.0,44.0,0.0,8458.0,0.0,5.0,0.0,0.0,1255.0,3899.0,2644.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,780.0,0.0,45.0,0.0,9526.0,0.0,4.0,0.0,0.0,610.0,2588.0,1978.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,780.0,0.0,46.0,0.0,9586.0,1.0,2.0,0.0,0.0,-211.0,1282.0,1493.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,780.0,0.0,47.0,0.0,9495.0,0.0,1.0,0.0,0.0,-178.0,537.0,715.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,780.0,0.0,48.0,0.0,8998.0,2.0,2.0,0.0,0.0,-552.0,249.0,801.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,780.0,0.0,49.0,0.0,8738.0,0.0,1.0,0.0,0.0,-297.0,131.0,428.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,780.0,0.0,50.0,0.0,8526.0,2.0,2.0,0.0,0.0,-272.0,184.0,456.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,780.0,0.0,51.0,0.0,8295.0,1.0,2.0,0.0,0.0,-255.0,75.0,330.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,780.0,0.0,52.0,0.0,8100.0,0.0,0.0,0.0,0.0,-209.0,37.0,246.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,780.0,0.0,53.0,0.0,7895.0,0.0,0.0,0.0,0.0,-215.0,22.0,237.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,780.0,0.0,54.0,0.0,7707.0,2.0,2.0,0.0,0.0,-207.0,36.0,243.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,780.0,0.0,55.0,0.0,7579.0,1.0,2.0,0.0,0.0,-137.0,17.0,154.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,780.0,0.0,56.0,0.0,7457.0,3.0,0.0,0.0,0.0,-132.0,26.0,158.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,780.0,0.0,57.0,0.0,7267.0,1.0,1.0,0.0,0.0,-212.0,19.0,231.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,780.0,0.0,58.0,0.0,7132.0,3.0,2.0,0.0,0.0,-142.0,14.0,156.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,780.0,0.0,59.0,0.0,6994.0,0.0,0.0,0.0,0.0,-152.0,22.0,174.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,780.0,0.0,60.0,0.0,6939.0,2.0,1.0,0.0,0.0,-65.0,78.0,143.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,780.0,0.0,61.0,0.0,6836.0,0.0,1.0,0.0,0.0,-142.0,109.0,251.0,43.0,1.0,0.0,0.0
