assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,12.0,0.0,42.0,0.0,0.0,7.8,19.4,27.0,3.0,0.0,0.0,0.0,312.0,0.0,1.0,0.0,7099.0,1.0,0.0,17.0,1.0,0.0,0.0,0.0,55.0,0.0,0.0,1.0
0.0,0.0,5.0,0.0,4.6,2.0,0.0,1.7,6.2,36.0,7.0,0.0,0.0,0.0,312.0,0.0,2.0,0.0,8161.0,2.0,0.0,6.0,1.0,-51.0,1017.0,1068.0,55.0,1.0,0.0,1.0
0.0,0.0,10.0,0.0,14.2,0.0,0.0,3.5,12.4,32.0,8.0,0.0,0.0,0.0,312.0,0.0,3.0,0.0,7300.0,1.0,2.0,8.0,1.0,-1206.0,404.0,1610.0,55.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,312.0,0.0,4.0,0.0,6105.0,2.0,2.0,0.0,0.0,-1366.0,141.0,1507.0,54.0,1.0,0.0,0.0
0.0,0.0,3.0,0.0,4.1,0.0,0.0,1.4,4.2,25.0,13.0,0.0,0.0,0.0,312.0,0.0,5.0,0.0,5277.0,0.0,1.0,6.0,1.0,-881.0,64.0,945.0,53.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,312.0,0.0,6.0,0.0,4583.0,3.0,1.0,0.0,0.0,-736.0,48.0,784.0,52.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,312.0,0.0,7.0,0.0,4259.0,2.0,1.0,0.0,0.0,-352.0,32.0,384.0,52.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,312.0,0.0,8.0,0.0,3759.0,2.0,3.0,0.0,0.0,-507.0,8.0,515.0,51.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,312.0,0.0,9.0,0.0,3510.0,0.0,0.0,0.0,0.0,-258.0,5.0,263.0,51.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,312.0,0.0,10.0,0.0,3337.0,1.0,3.0,0.0,0.0,-175.0,8.0,183.0,51.0,0.0,0.0,0.0
