assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,2.0,34.0,1.0,39.2,0.0,1.0,13.7,51.6,70.0,1.0,0.0,0.0,0.0,786.0,0.0,40.0,0.0,4740.0,0.0,1.0,46.0,10.0,3613.0,3873.0,260.0,60.0,1.0,0.0,10.0
0.0,0.0,6.0,0.0,1.4,1.0,0.0,1.9,4.0,61.0,19.0,0.0,0.0,0.0,786.0,0.0,41.0,0.0,402219.0,1.0,1.0,14.0,2.0,332993.0,362771.0,29778.0,60.0,0.0,0.0,2.0
0.0,0.0,2.0,0.0,12.1,2.0,0.0,4.3,5.6,74.0,12.0,0.0,0.0,0.0,786.0,0.0,42.0,0.0,461240.0,2.0,2.0,25.0,2.0,26738.0,95122.0,68384.0,60.0,1.0,0.0,2.0
0.0,0.0,5.0,0.0,4.5,1.0,0.0,0.7,2.4,61.0,13.0,0.0,0.0,0.0,786.0,0.0,43.0,0.0,486463.0,1.0,2.0,0.0,2.0,15488.0,67440.0,51952.0,60.0,0.0,0.0,2.0
0.0,0.0,6.0,0.0,1.7,2.0,0.0,0.5,3.4,60.0,5.0,0.0,0.0,0.0,786.0,0.0,44.0,0.0,420693.0,4.0,0.0,0.0,2.0,-70016.0,15952.0,85968.0,60.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,786.0,0.0,45.0,0.0,371765.0,1.0,2.0,0.0,0.0,-51201.0,13239.0,64440.0,59.0,1.0,0.0,0.0
1.0,0.0,8.0,0.0,11.3,3.0,0.0,2.8,15.0,45.0,11.0,0.0,0.0,0.0,786.0,0.0,46.0,0.0,273536.0,2.0,7.0,2.0,4.0,-98807.0,2676.0,101483.0,58.0,0.0,0.0,4.0
0.0,0.0,9.0,0.0,28.2,2.0,0.0,6.8,10.4,79.0,2.0,0.0,0.0,0.0,786.0,0.0,47.0,0.0,265407.0,2.0,1.0,29.0,2.0,-8968.0,9362.0,18330.0,58.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,786.0,0.0,48.0,0.0,237151.0,1.0,0.0,0.0,0.0,-28976.0,3439.0,32415.0,58.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,786.0,0.0,49.0,0.0,213350.0,2.0,2.0,0.0,0.0,-24161.0,1423.0,25584.0,57.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,786.0,0.0,50.0,0.0,190238.0,2.0,2.0,0.0,0.0,-23408.0,715.0,24123.0,56.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,15.8,1.0,0.0,2.8,0.6,16.0,6.0,0.0,0.0,0.0,786.0,0.0,51.0,0.0,175641.0,1.0,2.0,12.0,1.0,-14766.0,482.0,15248.0,56.0,0.0,0.0,1.0
0.0,0.0,5.0,0.0,0.0,2.0,0.0,1.2,5.0,16.0,10.0,0.0,0.0,0.0,786.0,0.0,52.0,0.0,165301.0,3.0,0.0,7.0,1.0,-10420.0,269.0,10689.0,55.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,786.0,0.0,53.0,0.0,157572.0,1.0,2.0,0.0,0.0,-7845.0,483.0,8328.0,55.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,786.0,0.0,54.0,0.0,146010.0,1.0,5.0,0.0,0.0,-11671.0,203.0,11874.0,55.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,786.0,0.0,55.0,0.0,138536.0,0.0,1.0,0.0,0.0,-7485.0,22.0,7507.0,55.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,786.0,0.0,56.0,0.0,132263.0,3.0,0.0,0.0,0.0,-6282.0,15.0,6297.0,55.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,786.0,0.0,57.0,0.0,126399.0,1.0,3.0,0.0,0.0,-5884.0,25.0,5909.0,55.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,786.0,0.0,58.0,0.0,123227.0,1.0,1.0,0.0,0.0,-3178.0,25.0,3203.0,55.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,786.0,0.0,59.0,0.0,119388.0,0.0,5.0,0.0,0.0,-3847.0,16.0,3863.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,786.0,0.0,60.0,0.0,118048.0,1.0,0.0,0.0,0.0,-1342.0,14.0,1356.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,786.0,0.0,61.0,0.0,114281.0,0.0,3.0,0.0,0.0,-3778.0,27.0,3805.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,786.0,0.0,62.0,0.0,112217.0,0.0,2.0,0.0,0.0,-2074.0,13.0,2087.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,786.0,0.0,63.0,0.0,110594.0,0.0,0.0,0.0,0.0,-1631.0,44.0,1675.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,786.0,0.0,64.0,0.0,109779.0,1.0,2.0,0.0,0.0,-822.0,21.0,843.0,54.0,0.0,0.0,0.0
0.0,0.0,5.0,0.0,11.6,0.0,0.0,4.7,4.6,28.0,3.0,0.0,0.0,0.0,786.0,0.0,65.0,0.0,108864.0,1.0,1.0,31.0,1.0,-942.0,115.0,1057.0,54.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,786.0,0.0,66.0,0.0,108520.0,1.0,1.0,0.0,0.0,-462.0,248.0,710.0,54.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,1.3,0.0,0.0,0.5,0.8,26.0,14.0,0.0,0.0,0.0,786.0,0.0,67.0,0.0,108323.0,0.0,0.0,3.0,1.0,-237.0,110.0,347.0,54.0,0.0,0.0,1.0
0.0,0.0,3.0,0.0,0.3,2.0,0.0,0.3,1.0,62.0,11.0,0.0,0.0,0.0,786.0,0.0,68.0,0.0,118419.0,2.0,0.0,2.0,2.0,-245.0,100.0,345.0,54.0,1.0,0.0,2.0
0.0,0.0,5.0,0.0,0.3,1.0,0.0,0.6,6.0,11.0,7.0,0.0,0.0,0.0,786.0,0.0,69.0,0.0,121099.0,2.0,1.0,0.0,1.0,617.0,929.0,312.0,54.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,786.0,0.0,70.0,0.0,118515.0,0.0,3.0,0.0,0.0,-679.0,98.0,777.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,786.0,0.0,71.0,0.0,118279.0,2.0,1.0,0.0,0.0,-289.0,68.0,357.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,786.0,0.0,72.0,0.0,118049.0,1.0,1.0,0.0,0.0,-234.0,64.0,298.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,786.0,0.0,73.0,0.0,118007.0,1.0,1.0,0.0,0.0,-102.0,75.0,177.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,786.0,0.0,74.0,0.0,117893.0,0.0,0.0,0.0,0.0,-123.0,35.0,158.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,786.0,0.0,75.0,0.0,117762.0,2.0,1.0,0.0,0.0,-141.0,30.0,171.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,786.0,0.0,76.0,0.0,117541.0,2.0,1.0,0.0,0.0,-214.0,31.0,245.0,54.0,0.0,0.0,0.0
