assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,322.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.2,0.0,10.0,12.0,0.0,0.0,0.0,322.0,0.0,2.0,0.0,405.0,2.0,1.0,2.0,1.0,60.0,109.0,49.0,45.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,322.0,0.0,3.0,0.0,594.0,1.0,1.0,0.0,0.0,37.0,128.0,91.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,322.0,0.0,4.0,0.0,645.0,3.0,0.0,0.0,0.0,-6.0,71.0,77.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,322.0,0.0,5.0,0.0,637.0,0.0,1.0,0.0,0.0,-28.0,25.0,53.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,322.0,0.0,6.0,0.0,600.0,3.0,2.0,0.0,0.0,-48.0,27.0,75.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,322.0,0.0,7.0,0.0,606.0,1.0,1.0,0.0,0.0,-6.0,20.0,26.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,322.0,0.0,8.0,0.0,614.0,0.0,2.0,0.0,0.0,-8.0,7.0,15.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,322.0,0.0,9.0,0.0,607.0,0.0,1.0,0.0,0.0,-13.0,10.0,23.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,322.0,0.0,10.0,0.0,605.0,4.0,1.0,0.0,0.0,-7.0,7.0,14.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,322.0,0.0,11.0,0.0,608.0,2.0,1.0,0.0,0.0,-9.0,4.0,13.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,322.0,0.0,12.0,0.0,613.0,0.0,3.0,0.0,0.0,-14.0,6.0,20.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,322.0,0.0,13.0,0.0,613.0,0.0,2.0,0.0,0.0,-10.0,4.0,14.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,322.0,0.0,14.0,0.0,623.0,1.0,2.0,0.0,0.0,1.0,7.0,6.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,322.0,0.0,15.0,0.0,622.0,0.0,3.0,0.0,0.0,-4.0,11.0,15.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,322.0,0.0,16.0,0.0,622.0,1.0,0.0,0.0,0.0,-2.0,7.0,9.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,322.0,0.0,17.0,0.0,618.0,0.0,1.0,0.0,0.0,-8.0,5.0,13.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,322.0,0.0,18.0,0.0,623.0,1.0,3.0,0.0,0.0,-4.0,5.0,9.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,322.0,0.0,19.0,0.0,629.0,1.0,4.0,0.0,0.0,1.0,9.0,8.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,322.0,0.0,20.0,0.0,629.0,2.0,2.0,0.0,0.0,-5.0,6.0,11.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,322.0,0.0,21.0,0.0,645.0,3.0,1.0,0.0,0.0,-2.0,15.0,17.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,322.0,0.0,22.0,0.0,648.0,0.0,2.0,0.0,0.0,-5.0,6.0,11.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,322.0,0.0,23.0,0.0,657.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,44.0,1.0,0.0,0.0
