assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,325.0,0.0,1.0,0.0,4480.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,325.0,0.0,2.0,0.0,4496.0,2.0,1.0,0.0,0.0,-645.0,80.0,725.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,325.0,0.0,3.0,0.0,4471.0,0.0,1.0,0.0,0.0,-417.0,121.0,538.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,325.0,0.0,4.0,0.0,4326.0,3.0,0.0,0.0,0.0,-371.0,95.0,466.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,325.0,0.0,5.0,0.0,4216.0,1.0,3.0,0.0,0.0,-176.0,47.0,223.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,325.0,0.0,6.0,0.0,4125.0,0.0,1.0,0.0,0.0,-188.0,72.0,260.0,48.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,325.0,0.0,7.0,0.0,4127.0,1.0,1.0,0.0,0.0,-86.0,54.0,140.0,48.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,325.0,0.0,8.0,0.0,4122.0,1.0,1.0,0.0,0.0,-125.0,20.0,145.0,48.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,325.0,0.0,9.0,0.0,4081.0,1.0,2.0,0.0,0.0,-73.0,54.0,127.0,48.0,0.0,0.0,0.0
0.0,0.0,26.0,1.0,0.0,0.0,0.0,2.2,21.6,90.0,20.0,0.0,0.0,0.0,325.0,0.0,10.0,3.0,4027.0,0.0,2.0,0.0,7.0,-70.0,21.0,91.0,48.0,1.0,0.0,7.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,325.0,0.0,11.0,0.0,4329.0,0.0,5.0,0.0,0.0,198.0,309.0,111.0,48.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,325.0,0.0,12.0,0.0,4344.0,1.0,1.0,0.0,0.0,-55.0,120.0,175.0,48.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,325.0,0.0,13.0,0.0,4297.0,0.0,1.0,0.0,0.0,-75.0,41.0,116.0,48.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,325.0,0.0,14.0,0.0,4285.0,1.0,1.0,0.0,0.0,-47.0,51.0,98.0,48.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,325.0,0.0,15.0,0.0,4302.0,2.0,3.0,0.0,0.0,-35.0,50.0,85.0,48.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,325.0,0.0,16.0,0.0,4270.0,1.0,2.0,0.0,0.0,-53.0,18.0,71.0,48.0,1.0,0.0,0.0
0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.9,8.6,27.0,9.0,0.0,0.0,0.0,325.0,0.0,17.0,1.0,4252.0,1.0,0.0,0.0,1.0,-34.0,18.0,52.0,47.0,1.0,0.0,1.0
1.0,3.0,36.0,1.0,10.0,0.0,0.0,4.3,33.2,90.0,8.0,0.0,0.0,0.0,325.0,0.0,18.0,2.0,4315.0,2.0,0.0,0.0,12.0,3.0,84.0,81.0,47.0,0.0,0.0,12.0
0.0,0.0,15.0,0.0,0.0,2.0,0.0,2.0,20.2,90.0,7.0,0.0,0.0,0.0,325.0,0.0,19.0,2.0,8708.0,2.0,2.0,0.0,1.0,4084.0,4311.0,227.0,47.0,0.0,0.0,1.0
0.0,0.0,25.0,1.0,0.0,0.0,0.0,2.2,21.8,90.0,13.0,0.0,0.0,0.0,325.0,0.0,20.0,3.0,8445.0,0.0,3.0,0.0,7.0,-352.0,685.0,1037.0,47.0,1.0,0.0,7.0
0.0,1.0,31.0,1.0,0.0,0.0,0.0,3.0,30.4,90.0,10.0,0.0,0.0,0.0,325.0,0.0,21.0,4.0,11091.0,0.0,4.0,0.0,8.0,1965.0,3457.0,1492.0,47.0,1.0,0.0,8.0
0.0,0.0,27.0,1.0,0.0,0.0,0.0,1.9,18.6,90.0,5.0,0.0,0.0,0.0,325.0,0.0,22.0,2.0,20059.0,1.0,0.0,0.0,6.0,7578.0,8912.0,1334.0,47.0,0.0,0.0,6.0
0.0,1.0,20.0,0.0,0.0,1.0,0.0,4.1,41.0,90.0,14.0,0.0,0.0,0.0,325.0,0.0,23.0,5.0,29146.0,1.0,1.0,0.0,4.0,7257.0,8564.0,1307.0,47.0,0.0,0.0,4.0
