assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,-2.0,0.0,0.8,0.0,0.0,0.9,0.0,28.0,2.0,0.0,0.0,0.0,341.0,0.0,2.0,0.0,647.0,0.0,1.0,12.0,1.0,330.0,419.0,89.0,70.0,1.0,0.0,1.0
0.0,0.0,3.0,0.0,0.6,1.0,0.0,0.1,0.2,13.0,10.0,0.0,0.0,0.0,341.0,0.0,3.0,0.0,1313.0,1.0,3.0,0.0,1.0,288.0,613.0,325.0,70.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.9,2.0,22.0,18.0,0.0,0.0,0.0,341.0,0.0,4.0,0.0,1743.0,4.0,2.0,6.0,1.0,91.0,591.0,500.0,70.0,1.0,0.0,1.0
0.0,0.0,2.0,0.0,2.0,1.0,0.0,4.7,1.4,45.0,19.0,0.0,0.0,0.0,341.0,0.0,5.0,0.0,1596.0,2.0,4.0,44.0,1.0,-295.0,101.0,396.0,70.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,341.0,0.0,6.0,0.0,1556.0,3.0,0.0,0.0,0.0,-125.0,136.0,261.0,69.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,341.0,0.0,7.0,0.0,1509.0,1.0,1.0,0.0,0.0,-102.0,102.0,204.0,69.0,1.0,0.0,0.0
0.0,0.0,2.0,0.0,11.1,0.0,0.0,1.1,0.2,5.0,5.0,0.0,0.0,0.0,341.0,0.0,8.0,0.0,1533.0,1.0,0.0,0.0,1.0,-94.0,60.0,154.0,68.0,0.0,0.0,1.0
0.0,0.0,2.0,0.0,3.7,0.0,0.0,0.7,0.0,22.0,15.0,0.0,0.0,0.0,341.0,0.0,9.0,0.0,1591.0,0.0,1.0,4.0,1.0,-2.0,87.0,89.0,68.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,341.0,0.0,10.0,0.0,1591.0,0.0,2.0,0.0,0.0,-44.0,44.0,88.0,68.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,341.0,0.0,11.0,0.0,1576.0,1.0,1.0,0.0,0.0,-56.0,62.0,118.0,68.0,1.0,0.0,0.0
