assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,355.0,0.0,1.0,0.0,3222.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0
0.0,0.0,6.0,0.0,9.8,2.0,0.0,0.3,0.0,79.0,11.0,0.0,0.0,0.0,355.0,0.0,2.0,0.0,2996.0,0.0,2.0,1.0,2.0,-541.0,61.0,602.0,50.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,355.0,0.0,3.0,0.0,3458.0,1.0,1.0,0.0,0.0,108.0,524.0,416.0,49.0,1.0,0.0,0.0
0.0,0.0,16.0,0.0,13.5,1.0,0.0,3.2,16.0,64.0,1.0,0.0,0.0,0.0,355.0,0.0,4.0,0.0,3104.0,1.0,2.0,2.0,2.0,-468.0,95.0,563.0,49.0,0.0,0.0,2.0
0.0,0.0,2.0,0.0,6.2,0.0,0.0,0.8,2.2,53.0,16.0,0.0,0.0,0.0,355.0,0.0,5.0,0.0,2994.0,0.0,1.0,0.0,1.0,-172.0,81.0,253.0,48.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,355.0,0.0,6.0,0.0,2846.0,3.0,0.0,0.0,0.0,-211.0,98.0,309.0,48.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,355.0,0.0,7.0,0.0,2738.0,0.0,0.0,0.0,0.0,-135.0,53.0,188.0,48.0,0.0,0.0,0.0
0.0,0.0,14.0,0.0,17.8,1.0,0.0,4.2,6.4,90.0,3.0,0.0,0.0,0.0,355.0,0.0,8.0,0.0,2685.0,1.0,3.0,18.0,2.0,-95.0,64.0,159.0,47.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,1.2,1.0,0.0,0.2,0.0,66.0,10.0,0.0,0.0,0.0,355.0,0.0,9.0,0.0,2637.0,1.0,1.0,5.0,1.0,-74.0,48.0,122.0,47.0,0.0,1.0,1.0
0.0,0.0,4.0,0.0,4.5,2.0,0.0,0.8,1.8,60.0,4.0,0.0,0.0,0.0,355.0,0.0,10.0,0.0,2640.0,2.0,0.0,2.0,2.0,-34.0,64.0,98.0,47.0,1.0,0.0,2.0
0.0,0.0,9.0,0.0,7.7,2.0,0.0,4.4,9.8,76.0,7.0,0.0,0.0,0.0,355.0,0.0,11.0,0.0,2711.0,1.0,2.0,26.0,1.0,40.0,145.0,105.0,47.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,355.0,0.0,12.0,0.0,2737.0,0.0,0.0,0.0,0.0,-8.0,107.0,115.0,47.0,1.0,0.0,0.0
0.0,0.0,4.0,0.0,10.3,0.0,0.0,1.5,4.6,12.0,6.0,0.0,0.0,0.0,355.0,0.0,13.0,0.0,2694.0,0.0,1.0,0.0,1.0,-58.0,33.0,91.0,47.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,355.0,0.0,14.0,0.0,2731.0,0.0,3.0,0.0,0.0,15.0,106.0,91.0,47.0,0.0,0.0,0.0
