assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,1.0,31.0,1.0,9.3,0.0,1.0,7.9,52.6,90.0,10.0,0.0,0.0,0.0,992.0,0.0,77.0,0.0,396333.0,3.0,0.0,17.0,9.0,0.0,0.0,0.0,50.0,0.0,0.0,9.0
0.0,0.0,14.0,0.0,11.9,2.0,0.0,3.3,14.4,90.0,1.0,0.0,0.0,0.0,992.0,0.0,78.0,0.0,679528.0,2.0,3.0,7.0,2.0,163399.0,190932.0,27533.0,51.0,1.0,0.0,2.0
0.0,0.0,15.0,0.0,32.5,1.0,0.0,7.0,35.8,90.0,15.0,0.0,0.0,0.0,992.0,0.0,79.0,0.0,762023.0,2.0,1.0,2.0,2.0,58328.0,135296.0,76968.0,51.0,0.0,0.0,2.0
0.0,0.0,15.0,1.0,11.7,0.0,0.0,3.0,9.4,90.0,2.0,0.0,0.0,0.0,992.0,0.0,80.0,0.0,811451.0,0.0,2.0,9.0,3.0,28366.0,96814.0,68448.0,51.0,1.0,0.0,3.0
0.0,0.0,10.0,0.0,6.5,1.0,0.0,1.4,7.8,90.0,5.0,0.0,0.0,0.0,992.0,0.0,81.0,0.0,821557.0,1.0,4.0,0.0,2.0,-2975.0,78125.0,81100.0,52.0,1.0,0.0,2.0
0.0,0.0,16.0,1.0,50.7,0.0,0.0,8.0,29.6,90.0,19.0,0.0,0.0,0.0,992.0,0.0,82.0,0.0,741628.0,0.0,0.0,0.0,3.0,-82484.0,20488.0,102972.0,52.0,0.0,0.0,3.0
0.0,0.0,15.0,0.0,17.7,1.0,0.0,3.6,18.0,90.0,12.0,0.0,0.0,0.0,992.0,0.0,83.0,0.0,691911.0,1.0,1.0,0.0,2.0,-53507.0,14489.0,67996.0,51.0,1.0,0.0,2.0
0.0,0.0,11.0,1.0,17.2,0.0,0.0,3.7,19.6,90.0,16.0,0.0,0.0,0.0,992.0,0.0,84.0,0.0,670942.0,3.0,0.0,0.0,3.0,-25645.0,18862.0,44507.0,51.0,0.0,0.0,3.0
0.0,0.0,20.0,0.0,31.6,2.0,0.0,5.0,18.4,90.0,14.0,0.0,0.0,0.0,992.0,0.0,85.0,0.0,641562.0,2.0,2.0,0.0,2.0,-33591.0,20983.0,54574.0,51.0,1.0,0.0,2.0
0.0,0.0,18.0,1.0,31.3,0.0,0.0,4.9,17.2,77.0,4.0,0.0,0.0,0.0,992.0,0.0,86.0,0.0,617645.0,4.0,0.0,0.0,3.0,-26171.0,14215.0,40386.0,51.0,0.0,0.0,3.0
0.0,0.0,15.0,0.0,9.6,1.0,0.0,2.2,10.6,79.0,7.0,0.0,0.0,0.0,992.0,0.0,87.0,0.0,573861.0,1.0,3.0,2.0,2.0,-45165.0,10995.0,56160.0,50.0,1.0,0.0,2.0
