assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,990.0,0.0,91.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,990.0,0.0,92.0,0.0,147.0,2.0,0.0,0.0,0.0,91.0,103.0,12.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,990.0,0.0,93.0,0.0,387.0,0.0,1.0,0.0,0.0,138.0,186.0,48.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,990.0,0.0,94.0,0.0,476.0,1.0,0.0,0.0,0.0,43.0,114.0,71.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,990.0,0.0,95.0,0.0,624.0,1.0,2.0,0.0,0.0,57.0,123.0,66.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,990.0,0.0,96.0,0.0,765.0,1.0,0.0,0.0,0.0,78.0,131.0,53.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,990.0,0.0,97.0,0.0,889.0,1.0,0.0,0.0,0.0,57.0,132.0,75.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,990.0,0.0,98.0,0.0,1046.0,2.0,1.0,0.0,0.0,45.0,164.0,119.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,990.0,0.0,99.0,0.0,1129.0,3.0,4.0,0.0,0.0,24.0,128.0,104.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,990.0,0.0,100.0,0.0,1279.0,1.0,1.0,0.0,0.0,65.0,154.0,89.0,40.0,0.0,0.0,0.0
