assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
1.0,0.0,27.0,1.0,19.6,0.0,0.0,9.2,32.4,83.0,6.0,0.0,0.0,0.0,363.0,0.0,13.0,0.0,0.0,0.0,1.0,40.0,6.0,0.0,0.0,0.0,45.0,1.0,0.0,6.0
0.0,0.0,4.0,0.0,1.1,1.0,0.0,0.7,0.2,32.0,5.0,0.0,0.0,0.0,363.0,0.0,14.0,0.0,7519.0,0.0,3.0,6.0,1.0,7131.0,7528.0,397.0,45.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,363.0,0.0,15.0,0.0,7438.0,0.0,1.0,0.0,0.0,-154.0,1049.0,1203.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,363.0,0.0,16.0,0.0,6580.0,0.0,0.0,0.0,0.0,-875.0,164.0,1039.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,363.0,0.0,17.0,0.0,5894.0,3.0,1.0,0.0,0.0,-709.0,169.0,878.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,363.0,0.0,18.0,0.0,6573.0,4.0,1.0,0.0,0.0,424.0,1606.0,1182.0,42.0,1.0,0.0,0.0
0.0,0.0,4.0,0.0,1.8,0.0,0.0,0.4,0.2,17.0,19.0,0.0,0.0,0.0,363.0,0.0,19.0,0.0,8983.0,2.0,1.0,2.0,1.0,2147.0,3254.0,1107.0,42.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,363.0,0.0,20.0,0.0,12322.0,0.0,3.0,0.0,0.0,3131.0,5296.0,2165.0,42.0,0.0,0.0,0.0
0.0,0.0,5.0,0.0,12.8,0.0,0.0,4.0,6.2,11.0,3.0,0.0,0.0,0.0,363.0,0.0,21.0,0.0,15047.0,0.0,1.0,21.0,1.0,2317.0,5921.0,3604.0,42.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,363.0,0.0,22.0,0.0,15392.0,0.0,3.0,0.0,0.0,125.0,2195.0,2070.0,42.0,1.0,0.0,0.0
0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.4,0.6,15.0,16.0,0.0,0.0,0.0,363.0,0.0,23.0,0.0,15623.0,1.0,2.0,12.0,1.0,12.0,1531.0,1519.0,42.0,0.0,0.0,1.0
