assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,15.0,0.0,8.3,2.0,0.0,1.8,8.6,84.0,8.0,0.0,0.0,0.0,993.0,0.0,77.0,0.0,87926.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,55.0,1.0,0.0,2.0
0.0,0.0,11.0,0.0,28.9,2.0,0.0,5.3,22.8,90.0,11.0,0.0,0.0,0.0,993.0,0.0,78.0,0.0,80655.0,0.0,2.0,1.0,2.0,-12856.0,1926.0,14782.0,55.0,0.0,0.0,2.0
1.0,1.0,26.0,0.0,25.8,1.0,0.0,5.5,29.2,90.0,13.0,0.0,0.0,0.0,993.0,0.0,79.0,0.0,67859.0,1.0,1.0,0.0,6.0,-14054.0,1408.0,15462.0,54.0,1.0,0.0,6.0
0.0,0.0,26.0,1.0,42.3,0.0,0.0,7.4,29.2,90.0,19.0,0.0,0.0,0.0,993.0,0.0,80.0,0.0,82449.0,1.0,0.0,2.0,3.0,9382.0,15782.0,6400.0,54.0,0.0,0.0,3.0
0.0,0.0,13.0,1.0,21.3,0.0,0.0,3.3,10.2,90.0,4.0,0.0,0.0,0.0,993.0,0.0,81.0,0.0,92097.0,0.0,1.0,1.0,3.0,6356.0,14271.0,7915.0,54.0,1.0,0.0,3.0
0.0,3.0,32.0,0.0,31.2,1.0,1.0,8.1,43.2,79.0,14.0,0.0,0.0,0.0,993.0,0.0,82.0,0.0,85734.0,1.0,1.0,7.0,10.0,-6054.0,3878.0,9932.0,54.0,0.0,0.0,10.0
0.0,0.0,11.0,1.0,45.8,0.0,0.0,7.8,23.2,90.0,16.0,0.0,0.0,0.0,993.0,0.0,83.0,0.0,164835.0,0.0,2.0,9.0,3.0,68921.0,75344.0,6423.0,54.0,1.0,0.0,3.0
0.0,0.0,9.0,1.0,5.8,0.0,0.0,1.7,11.4,90.0,7.0,0.0,0.0,0.0,993.0,0.0,84.0,0.0,210109.0,1.0,0.0,0.0,2.0,45296.0,56686.0,11390.0,55.0,0.0,1.0,2.0
0.0,0.0,12.0,0.0,47.8,2.0,0.0,7.1,22.6,90.0,18.0,0.0,0.0,0.0,993.0,0.0,85.0,0.0,264132.0,2.0,0.0,1.0,2.0,49057.0,68326.0,19269.0,55.0,1.0,0.0,2.0
0.0,0.0,19.0,0.0,72.3,1.0,0.0,10.8,28.8,90.0,3.0,0.0,0.0,0.0,993.0,0.0,86.0,0.0,245623.0,0.0,1.0,7.0,2.0,-15439.0,10306.0,25745.0,55.0,0.0,0.0,2.0
0.0,0.0,16.0,0.0,26.1,3.0,0.0,5.1,16.8,61.0,17.0,0.0,0.0,0.0,993.0,0.0,87.0,0.0,207599.0,3.0,2.0,8.0,2.0,-38204.0,3314.0,41518.0,55.0,1.0,0.0,2.0
0.0,0.0,10.0,0.0,26.3,1.0,0.0,4.6,15.4,90.0,1.0,0.0,0.0,0.0,993.0,0.0,88.0,0.0,185506.0,1.0,1.0,4.0,2.0,-23192.0,1988.0,25180.0,55.0,0.0,0.0,2.0
0.0,0.0,1.0,0.0,25.1,1.0,0.0,3.0,4.4,45.0,10.0,0.0,0.0,0.0,993.0,0.0,89.0,0.0,180322.0,2.0,0.0,0.0,1.0,-6682.0,6180.0,12862.0,54.0,1.0,0.0,1.0
0.0,0.0,15.0,0.0,26.3,2.0,0.0,4.2,15.0,90.0,5.0,0.0,0.0,0.0,993.0,0.0,90.0,0.0,173195.0,1.0,2.0,1.0,2.0,-7465.0,2638.0,10103.0,54.0,0.0,0.0,2.0
0.0,0.0,10.0,0.0,15.4,1.0,0.0,3.3,17.4,90.0,6.0,0.0,0.0,0.0,993.0,0.0,91.0,0.0,161117.0,1.0,2.0,0.0,1.0,-11822.0,2048.0,13870.0,54.0,1.0,1.0,1.0
0.0,0.0,9.0,0.0,25.6,0.0,0.0,3.5,9.6,14.0,15.0,0.0,0.0,0.0,993.0,0.0,92.0,0.0,155165.0,2.0,1.0,0.0,1.0,-6630.0,3179.0,9809.0,53.0,0.0,0.0,1.0
0.0,0.0,12.0,1.0,14.9,0.0,0.0,2.9,14.4,90.0,2.0,0.0,0.0,0.0,993.0,0.0,93.0,0.0,143428.0,0.0,2.0,0.0,3.0,-11700.0,1066.0,12766.0,53.0,1.0,0.0,3.0
0.0,0.0,8.0,0.0,13.9,1.0,0.0,2.4,10.2,62.0,12.0,0.0,0.0,0.0,993.0,0.0,94.0,0.0,135538.0,2.0,0.0,0.0,2.0,-8456.0,819.0,9275.0,52.0,1.0,0.0,2.0
0.0,2.0,22.0,0.0,28.3,1.0,0.0,6.1,32.6,90.0,9.0,0.0,0.0,0.0,993.0,0.0,95.0,0.0,129331.0,1.0,1.0,0.0,4.0,-6469.0,1464.0,7933.0,52.0,0.0,0.0,4.0
1.0,0.0,16.0,0.0,16.0,0.0,0.0,3.4,18.4,22.0,17.0,0.0,0.0,0.0,993.0,0.0,96.0,0.0,123216.0,3.0,1.0,0.0,4.0,-6215.0,1633.0,7848.0,52.0,0.0,0.0,4.0
0.0,0.0,12.0,0.0,2.9,2.0,0.0,2.2,19.0,90.0,7.0,0.0,0.0,0.0,993.0,0.0,97.0,0.0,125049.0,2.0,0.0,0.0,2.0,956.0,5652.0,4696.0,52.0,1.0,0.0,2.0
0.0,0.0,10.0,0.0,0.3,2.0,0.0,1.5,14.2,72.0,13.0,0.0,0.0,0.0,993.0,0.0,98.0,0.0,119618.0,0.0,3.0,0.0,2.0,-5697.0,3107.0,8804.0,51.0,0.0,0.0,2.0
2.0,2.0,34.0,0.0,32.3,2.0,0.0,8.1,44.4,80.0,11.0,0.0,0.0,0.0,993.0,0.0,99.0,0.0,117950.0,3.0,4.0,4.0,10.0,-2079.0,4800.0,6879.0,51.0,1.0,0.0,10.0
2.0,2.0,39.0,1.0,67.3,0.0,0.0,12.5,57.2,88.0,19.0,0.0,0.0,0.0,993.0,0.0,100.0,0.0,160980.0,0.0,3.0,0.0,11.0,40080.0,47600.0,7520.0,51.0,1.0,0.0,11.0
1.0,1.0,27.0,0.0,22.5,1.0,0.0,6.0,37.4,90.0,8.0,0.0,0.0,0.0,993.0,0.0,101.0,0.0,245937.0,3.0,1.0,0.0,6.0,80673.0,87835.0,7162.0,52.0,0.0,0.0,6.0
0.0,0.0,12.0,0.0,56.9,1.0,0.0,9.6,26.6,90.0,15.0,0.0,0.0,0.0,993.0,0.0,102.0,0.0,437838.0,1.0,1.0,12.0,2.0,188379.0,199620.0,11241.0,53.0,1.0,0.0,2.0
0.0,0.0,8.0,0.0,53.9,1.0,0.0,6.5,11.2,90.0,2.0,0.0,0.0,0.0,993.0,0.0,103.0,0.0,531918.0,1.0,1.0,0.0,2.0,82223.0,104021.0,21798.0,54.0,0.0,0.0,2.0
