assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,377.0,0.0,1.0,0.0,754.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,55.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,377.0,0.0,2.0,0.0,1026.0,0.0,1.0,0.0,0.0,-139.0,14.0,153.0,55.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,377.0,0.0,3.0,0.0,1158.0,1.0,1.0,0.0,0.0,-142.0,33.0,175.0,55.0,0.0,0.0,0.0
0.0,0.0,11.0,1.0,12.6,0.0,0.0,5.5,8.6,73.0,19.0,0.0,0.0,0.0,377.0,0.0,4.0,0.0,1381.0,0.0,1.0,34.0,3.0,-54.0,58.0,112.0,55.0,1.0,0.0,3.0
0.0,0.0,7.0,0.0,7.8,4.0,0.0,1.5,4.8,73.0,10.0,0.0,0.0,0.0,377.0,0.0,5.0,0.0,1506.0,0.0,4.0,2.0,2.0,-10.0,44.0,54.0,55.0,0.0,0.0,2.0
0.0,3.0,31.0,1.0,10.3,0.0,1.0,6.7,45.4,90.0,6.0,0.0,0.0,0.0,377.0,0.0,6.0,0.0,1602.0,0.0,1.0,11.0,11.0,-47.0,35.0,82.0,55.0,1.0,0.0,11.0
1.0,0.0,17.0,0.0,17.3,2.0,0.0,5.2,26.0,90.0,18.0,0.0,0.0,0.0,377.0,0.0,7.0,0.0,3845.0,2.0,2.0,9.0,4.0,1823.0,2112.0,289.0,55.0,0.0,1.0,4.0
2.0,3.0,68.0,0.0,42.4,1.0,2.0,21.5,95.8,90.0,7.0,0.0,0.0,0.0,377.0,0.0,8.0,0.0,6991.0,1.0,6.0,77.0,21.0,2634.0,3133.0,499.0,55.0,1.0,0.0,21.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,377.0,0.0,9.0,0.0,67749.0,0.0,0.0,0.0,0.0,56512.0,58939.0,2427.0,56.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,377.0,0.0,10.0,0.0,61998.0,0.0,2.0,0.0,0.0,-6255.0,9283.0,15538.0,56.0,0.0,0.0,0.0
