assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,995.0,0.0,80.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,995.0,0.0,81.0,0.0,119.0,1.0,4.0,0.0,0.0,48.0,96.0,48.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,995.0,0.0,82.0,0.0,172.0,5.0,0.0,0.0,0.0,24.0,58.0,34.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,995.0,0.0,83.0,0.0,209.0,2.0,1.0,0.0,0.0,12.0,43.0,31.0,45.0,1.0,0.0,0.0
0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.2,2.0,12.0,17.0,0.0,0.0,0.0,995.0,0.0,84.0,0.0,252.0,0.0,1.0,0.0,1.0,13.0,46.0,33.0,45.0,0.0,0.0,1.0
0.0,0.0,19.0,0.0,1.3,0.0,1.0,7.0,34.0,8.0,9.0,0.0,0.0,0.0,995.0,0.0,85.0,0.0,322.0,2.0,4.0,35.0,6.0,32.0,68.0,36.0,45.0,1.0,0.0,6.0
0.0,0.0,5.0,0.0,0.8,2.0,0.0,0.5,2.0,16.0,12.0,0.0,0.0,0.0,995.0,0.0,86.0,0.0,687.0,1.0,4.0,2.0,1.0,289.0,399.0,110.0,45.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,995.0,0.0,87.0,0.0,811.0,1.0,0.0,0.0,0.0,93.0,208.0,115.0,45.0,1.0,0.0,0.0
1.0,0.0,18.0,0.0,35.5,1.0,0.0,5.2,9.6,90.0,3.0,0.0,0.0,0.0,995.0,0.0,88.0,0.0,817.0,1.0,2.0,7.0,5.0,-24.0,93.0,117.0,45.0,1.0,0.0,5.0
0.0,0.0,3.0,0.0,10.8,1.0,0.0,1.7,4.2,66.0,8.0,0.0,0.0,0.0,995.0,0.0,89.0,0.0,1545.0,0.0,1.0,2.0,1.0,604.0,776.0,172.0,45.0,0.0,1.0,1.0
