assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.2,0.0,23.0,6.0,0.0,0.0,0.0,996.0,0.0,101.0,0.0,250.0,0.0,5.0,2.0,1.0,221.0,240.0,19.0,50.0,0.0,0.0,1.0
0.0,0.0,4.0,0.0,12.0,0.0,0.0,3.2,2.2,7.0,1.0,0.0,0.0,0.0,996.0,0.0,102.0,0.0,394.0,2.0,1.0,18.0,1.0,132.0,194.0,62.0,50.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,996.0,0.0,103.0,0.0,546.0,0.0,2.0,0.0,0.0,103.0,186.0,83.0,50.0,0.0,0.0,0.0
1.0,0.0,14.0,1.0,25.6,0.0,0.0,7.5,5.2,90.0,20.0,0.0,0.0,0.0,996.0,0.0,104.0,0.0,575.0,0.0,1.0,44.0,5.0,33.0,86.0,53.0,50.0,1.0,0.0,5.0
0.0,0.0,1.0,0.0,1.2,1.0,0.0,2.8,4.6,90.0,3.0,0.0,0.0,0.0,996.0,0.0,105.0,0.0,1443.0,0.0,1.0,22.0,2.0,815.0,932.0,117.0,50.0,0.0,0.0,2.0
0.0,0.0,4.0,0.0,10.8,1.0,0.0,1.8,3.4,29.0,2.0,0.0,0.0,0.0,996.0,0.0,106.0,0.0,1701.0,2.0,0.0,4.0,1.0,249.0,443.0,194.0,50.0,1.0,0.0,1.0
0.0,3.0,53.0,0.0,10.8,1.0,2.0,9.8,63.6,69.0,19.0,0.0,0.0,0.0,996.0,0.0,107.0,0.0,2670.0,3.0,4.0,24.0,13.0,198.0,462.0,264.0,50.0,0.0,0.0,13.0
0.0,0.0,-1.0,0.0,4.0,2.0,0.0,5.3,3.0,90.0,7.0,0.0,0.0,0.0,996.0,0.0,108.0,0.0,3617.0,0.0,2.0,46.0,2.0,1500.0,2310.0,810.0,50.0,0.0,0.0,2.0
1.0,0.0,14.0,0.0,13.7,4.0,0.0,6.0,10.8,90.0,11.0,0.0,0.0,0.0,996.0,0.0,109.0,0.0,6920.0,4.0,1.0,35.0,5.0,2628.0,3226.0,598.0,50.0,1.0,0.0,5.0
0.0,0.0,3.0,0.0,3.8,4.0,0.0,2.2,0.0,90.0,17.0,0.0,0.0,0.0,996.0,0.0,110.0,0.0,8432.0,0.0,4.0,18.0,2.0,1753.0,3724.0,1971.0,50.0,0.0,0.0,2.0
0.0,2.0,26.0,0.0,0.0,1.0,1.0,6.6,33.0,25.0,18.0,0.0,0.0,0.0,996.0,0.0,111.0,0.0,7619.0,2.0,1.0,33.0,7.0,-784.0,1261.0,2045.0,50.0,1.0,0.0,7.0
0.0,0.0,-1.0,0.0,23.2,5.0,0.0,3.3,6.2,90.0,12.0,0.0,0.0,0.0,996.0,0.0,112.0,0.0,10674.0,0.0,5.0,4.0,2.0,2665.0,3561.0,896.0,50.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,1.1,1.0,0.0,4.7,4.2,90.0,14.0,0.0,0.0,0.0,996.0,0.0,113.0,0.0,10898.0,1.0,1.0,42.0,2.0,321.0,1588.0,1267.0,50.0,1.0,0.0,2.0
0.0,0.0,4.0,0.0,3.4,1.0,0.0,2.5,5.6,90.0,16.0,0.0,0.0,0.0,996.0,0.0,114.0,0.0,10984.0,1.0,1.0,16.0,2.0,52.0,1529.0,1477.0,50.0,0.0,0.0,2.0
