assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1001.0,0.0,94.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1001.0,0.0,95.0,0.0,248.0,2.0,1.0,0.0,0.0,146.0,176.0,30.0,40.0,1.0,0.0,0.0
0.0,0.0,9.0,0.0,0.0,3.0,0.0,1.1,11.2,90.0,13.0,0.0,0.0,0.0,1001.0,0.0,96.0,0.0,374.0,3.0,1.0,0.0,1.0,69.0,128.0,59.0,40.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1001.0,0.0,97.0,0.0,1083.0,0.0,0.0,0.0,0.0,558.0,788.0,230.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1001.0,0.0,98.0,0.0,1522.0,2.0,1.0,0.0,0.0,254.0,534.0,280.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1001.0,0.0,99.0,0.0,1813.0,1.0,2.0,0.0,0.0,162.0,397.0,235.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1001.0,0.0,100.0,0.0,1998.0,1.0,1.0,0.0,0.0,87.0,338.0,251.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1001.0,0.0,101.0,0.0,2127.0,1.0,1.0,0.0,0.0,49.0,182.0,133.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1001.0,0.0,102.0,0.0,2275.0,2.0,1.0,0.0,0.0,106.0,244.0,138.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1001.0,0.0,103.0,0.0,2541.0,0.0,2.0,0.0,0.0,89.0,249.0,160.0,40.0,0.0,0.0,0.0
