assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,12.0,0.0,0.6,4.0,0.0,1.2,11.4,90.0,10.0,0.0,0.0,0.0,1194.0,0.0,115.0,0.0,7181.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,50.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1194.0,0.0,116.0,0.0,13451.0,1.0,3.0,0.0,0.0,-139.0,1186.0,1325.0,50.0,1.0,0.0,0.0
0.0,0.0,5.0,0.0,1.6,0.0,0.0,0.6,4.2,9.0,6.0,0.0,0.0,0.0,1194.0,0.0,117.0,0.0,12106.0,3.0,2.0,0.0,1.0,-1481.0,265.0,1746.0,50.0,1.0,0.0,1.0
0.0,0.0,11.0,0.0,28.8,0.0,0.0,3.8,9.6,12.0,19.0,0.0,0.0,0.0,1194.0,0.0,118.0,0.0,11509.0,0.0,2.0,0.0,1.0,-954.0,491.0,1445.0,50.0,0.0,0.0,1.0
0.0,0.0,37.0,0.0,1.1,2.0,1.0,7.7,59.2,90.0,11.0,0.0,0.0,0.0,1194.0,0.0,119.0,0.0,11129.0,2.0,3.0,17.0,6.0,-675.0,334.0,1009.0,49.0,1.0,1.0,6.0
0.0,0.0,18.0,0.0,3.0,2.0,0.0,1.1,8.2,90.0,5.0,0.0,0.0,0.0,1194.0,0.0,120.0,0.0,13931.0,0.0,2.0,0.0,2.0,2197.0,2899.0,702.0,49.0,0.0,0.0,2.0
0.0,0.0,12.0,0.0,2.0,2.0,0.0,2.0,16.4,90.0,7.0,0.0,0.0,0.0,1194.0,0.0,121.0,0.0,14241.0,0.0,2.0,2.0,2.0,133.0,1190.0,1057.0,49.0,0.0,0.0,2.0
0.0,0.0,7.0,0.0,13.9,5.0,0.0,2.4,8.8,90.0,2.0,0.0,0.0,0.0,1194.0,0.0,122.0,0.0,14988.0,5.0,1.0,1.0,2.0,496.0,1433.0,937.0,49.0,1.0,0.0,2.0
0.0,0.0,2.0,1.0,12.9,0.0,0.0,6.1,7.4,90.0,3.0,0.0,0.0,0.0,1194.0,0.0,123.0,0.0,13722.0,0.0,0.0,41.0,2.0,-1239.0,286.0,1525.0,49.0,0.0,1.0,2.0
0.0,0.0,9.0,0.0,3.6,3.0,0.0,2.4,20.4,90.0,12.0,0.0,0.0,0.0,1194.0,0.0,124.0,0.0,13520.0,3.0,1.0,0.0,2.0,-312.0,173.0,485.0,49.0,1.0,0.0,2.0
0.0,0.0,10.0,0.0,3.3,2.0,0.0,1.9,15.6,90.0,4.0,0.0,0.0,0.0,1194.0,0.0,125.0,0.0,13293.0,0.0,2.0,0.0,2.0,-307.0,413.0,720.0,49.0,0.0,0.0,2.0
0.0,0.0,16.0,0.0,26.4,2.0,0.0,7.3,19.0,90.0,18.0,0.0,0.0,0.0,1194.0,0.0,126.0,0.0,13331.0,2.0,0.0,28.0,2.0,-77.0,478.0,555.0,49.0,1.0,0.0,2.0
0.0,0.0,13.0,1.0,73.9,0.0,0.0,9.3,14.8,87.0,8.0,0.0,0.0,0.0,1194.0,0.0,127.0,0.0,12800.0,2.0,0.0,4.0,2.0,-578.0,254.0,832.0,49.0,0.0,1.0,2.0
1.0,0.0,12.0,0.0,18.2,2.0,0.0,9.1,28.2,90.0,1.0,0.0,0.0,0.0,1194.0,0.0,128.0,0.0,12687.0,2.0,2.0,45.0,4.0,-188.0,275.0,463.0,49.0,1.0,1.0,4.0
0.0,0.0,13.0,0.0,7.0,2.0,0.0,1.4,6.0,90.0,16.0,0.0,0.0,0.0,1194.0,0.0,129.0,0.0,12834.0,1.0,2.0,1.0,2.0,99.0,359.0,260.0,49.0,0.0,0.0,2.0
0.0,0.0,10.0,0.0,22.2,2.0,0.0,4.1,9.2,90.0,15.0,0.0,0.0,0.0,1194.0,0.0,130.0,0.0,12734.0,2.0,1.0,10.0,2.0,-153.0,239.0,392.0,49.0,1.0,0.0,2.0
0.0,0.0,13.0,0.0,5.7,1.0,0.0,2.2,15.8,90.0,9.0,0.0,0.0,0.0,1194.0,0.0,131.0,0.0,12471.0,1.0,1.0,0.0,2.0,-314.0,185.0,499.0,49.0,0.0,0.0,2.0
0.0,0.0,9.0,0.0,3.4,2.0,0.0,4.8,11.6,90.0,20.0,0.0,0.0,0.0,1194.0,0.0,132.0,0.0,12414.0,2.0,1.0,33.0,2.0,-102.0,249.0,351.0,49.0,1.0,0.0,2.0
0.0,0.0,9.0,0.0,26.8,1.0,0.0,4.1,10.4,90.0,2.0,0.0,0.0,0.0,1194.0,0.0,133.0,0.0,12352.0,0.0,1.0,4.0,2.0,-130.0,167.0,297.0,49.0,0.0,0.0,2.0
