assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,388.0,0.0,1.0,0.0,5834.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,388.0,0.0,2.0,0.0,4768.0,0.0,1.0,0.0,0.0,-1659.0,46.0,1705.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,388.0,0.0,3.0,0.0,3779.0,1.0,1.0,0.0,0.0,-1226.0,31.0,1257.0,48.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,388.0,0.0,4.0,0.0,3805.0,4.0,0.0,0.0,0.0,-412.0,71.0,483.0,48.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,388.0,0.0,5.0,0.0,3595.0,0.0,1.0,0.0,0.0,-268.0,27.0,295.0,48.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,388.0,0.0,6.0,0.0,3521.0,2.0,1.0,0.0,0.0,-208.0,80.0,288.0,47.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,388.0,0.0,7.0,0.0,3424.0,0.0,2.0,0.0,0.0,-142.0,44.0,186.0,47.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,388.0,0.0,8.0,0.0,3371.0,1.0,1.0,0.0,0.0,-121.0,45.0,166.0,47.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,388.0,0.0,9.0,0.0,3433.0,0.0,0.0,0.0,0.0,21.0,135.0,114.0,47.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,388.0,0.0,10.0,0.0,3387.0,1.0,1.0,0.0,0.0,-86.0,53.0,139.0,47.0,1.0,0.0,0.0
0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.5,5.4,90.0,1.0,1.0,0.0,0.0,388.0,0.0,11.0,0.0,3331.0,1.0,1.0,0.0,-1.0,-94.0,57.0,151.0,46.0,0.0,1.0,-1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,388.0,0.0,12.0,0.0,3936.0,2.0,3.0,0.0,0.0,436.0,604.0,168.0,46.0,1.0,0.0,0.0
0.0,0.0,10.0,0.0,12.3,2.0,0.0,2.4,11.6,90.0,4.0,0.0,0.0,0.0,388.0,0.0,13.0,0.0,3912.0,1.0,2.0,0.0,1.0,-96.0,120.0,216.0,46.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,388.0,0.0,14.0,0.0,4302.0,0.0,5.0,0.0,0.0,299.0,437.0,138.0,46.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,388.0,0.0,15.0,0.0,4165.0,0.0,1.0,0.0,0.0,-200.0,100.0,300.0,46.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,388.0,0.0,16.0,0.0,4069.0,0.0,3.0,0.0,0.0,-132.0,46.0,178.0,46.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,388.0,0.0,17.0,0.0,3954.0,1.0,2.0,0.0,0.0,-139.0,26.0,165.0,46.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,388.0,0.0,18.0,0.0,3898.0,4.0,1.0,0.0,0.0,-96.0,49.0,145.0,46.0,0.0,0.0,0.0
0.0,0.0,15.0,0.0,1.7,1.0,0.0,2.1,19.0,90.0,18.0,0.0,0.0,0.0,388.0,0.0,19.0,0.0,3926.0,4.0,1.0,0.0,2.0,2.0,96.0,94.0,46.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,388.0,0.0,20.0,0.0,3950.0,0.0,2.0,0.0,0.0,8.0,100.0,92.0,46.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,388.0,0.0,21.0,0.0,3923.0,0.0,4.0,0.0,0.0,-90.0,109.0,199.0,46.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,10.0,0.0,0.0,0.0,388.0,0.0,22.0,0.0,5305.0,2.0,2.0,0.0,0.0,1336.0,1579.0,243.0,46.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,388.0,0.0,23.0,0.0,8019.0,0.0,0.0,0.0,0.0,2644.0,3020.0,376.0,46.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,388.0,0.0,24.0,0.0,6855.0,0.0,1.0,0.0,0.0,-1181.0,274.0,1455.0,46.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,388.0,0.0,25.0,0.0,5736.0,0.0,2.0,0.0,0.0,-1147.0,90.0,1237.0,46.0,0.0,0.0,0.0
0.0,0.0,-1.0,0.0,0.4,0.0,0.0,0.4,3.4,42.0,14.0,0.0,0.0,0.0,388.0,0.0,26.0,0.0,5109.0,0.0,4.0,0.0,0.0,-658.0,44.0,702.0,46.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,388.0,0.0,27.0,0.0,4824.0,2.0,3.0,0.0,0.0,-301.0,44.0,345.0,46.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,388.0,0.0,29.0,0.0,4548.0,1.0,2.0,0.0,0.0,-108.0,23.0,131.0,46.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,388.0,0.0,30.0,0.0,4480.0,2.0,0.0,0.0,0.0,-88.0,30.0,118.0,46.0,0.0,0.0,0.0
