assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1197.0,0.0,115.0,0.0,49998.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1197.0,0.0,116.0,0.0,37913.0,1.0,2.0,0.0,0.0,-16407.0,1799.0,18206.0,55.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1197.0,0.0,117.0,0.0,30203.0,1.0,3.0,0.0,0.0,-8566.0,392.0,8958.0,55.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1197.0,0.0,118.0,0.0,26201.0,2.0,2.0,0.0,0.0,-4562.0,330.0,4892.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1197.0,0.0,119.0,0.0,24066.0,2.0,2.0,0.0,0.0,-2441.0,831.0,3272.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1197.0,0.0,120.0,0.0,23582.0,2.0,3.0,0.0,0.0,-697.0,758.0,1455.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1197.0,0.0,121.0,0.0,32059.0,1.0,1.0,0.0,0.0,7695.0,8941.0,1246.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1197.0,0.0,122.0,0.0,48724.0,0.0,1.0,0.0,0.0,15389.0,16713.0,1324.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1197.0,0.0,123.0,0.0,64586.0,0.0,1.0,0.0,0.0,15282.0,17914.0,2632.0,54.0,0.0,0.0,0.0
0.0,0.0,12.0,0.0,16.3,2.0,0.0,3.4,12.6,74.0,7.0,0.0,0.0,0.0,1197.0,0.0,124.0,0.0,66653.0,2.0,2.0,5.0,1.0,2166.0,5389.0,3223.0,54.0,1.0,0.0,1.0
