assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1191.0,0.0,115.0,0.0,9790.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1191.0,0.0,116.0,0.0,9456.0,0.0,1.0,0.0,0.0,-1349.0,105.0,1454.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1191.0,0.0,117.0,0.0,8608.0,2.0,1.0,0.0,0.0,-1261.0,304.0,1565.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1191.0,0.0,118.0,0.0,8043.0,2.0,2.0,0.0,0.0,-795.0,229.0,1024.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1191.0,0.0,119.0,0.0,7784.0,1.0,0.0,0.0,0.0,-509.0,322.0,831.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1191.0,0.0,120.0,0.0,7546.0,2.0,0.0,0.0,0.0,-372.0,86.0,458.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1191.0,0.0,121.0,0.0,7277.0,1.0,0.0,0.0,0.0,-402.0,190.0,592.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1191.0,0.0,122.0,0.0,7142.0,0.0,0.0,0.0,0.0,-218.0,168.0,386.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1191.0,0.0,123.0,0.0,7001.0,0.0,1.0,0.0,0.0,-218.0,92.0,310.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1191.0,0.0,124.0,0.0,6951.0,1.0,1.0,0.0,0.0,-109.0,106.0,215.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1191.0,0.0,125.0,0.0,6815.0,0.0,3.0,0.0,0.0,-198.0,105.0,303.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1191.0,0.0,126.0,0.0,6745.0,1.0,1.0,0.0,0.0,-141.0,122.0,263.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1191.0,0.0,127.0,0.0,6742.0,3.0,3.0,0.0,0.0,-87.0,210.0,297.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1191.0,0.0,128.0,0.0,6771.0,1.0,1.0,0.0,0.0,-55.0,169.0,224.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1191.0,0.0,129.0,0.0,6765.0,2.0,0.0,0.0,0.0,-44.0,117.0,161.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1191.0,0.0,130.0,0.0,6809.0,2.0,1.0,0.0,0.0,0.0,179.0,179.0,42.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1191.0,0.0,131.0,0.0,6952.0,0.0,2.0,0.0,0.0,29.0,304.0,275.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1191.0,0.0,132.0,0.0,7039.0,1.0,0.0,0.0,0.0,-20.0,252.0,272.0,42.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1191.0,0.0,133.0,0.0,7113.0,1.0,1.0,0.0,0.0,3.0,240.0,237.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1191.0,0.0,134.0,0.0,7110.0,0.0,2.0,0.0,0.0,-36.0,152.0,188.0,42.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1191.0,0.0,135.0,0.0,7075.0,0.0,2.0,0.0,0.0,-94.0,206.0,300.0,42.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1191.0,0.0,136.0,0.0,7087.0,0.0,1.0,0.0,0.0,-70.0,179.0,249.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1191.0,0.0,137.0,0.0,7080.0,1.0,1.0,0.0,0.0,-58.0,193.0,251.0,42.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1191.0,0.0,138.0,0.0,7071.0,1.0,0.0,0.0,0.0,-38.0,111.0,149.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1191.0,0.0,139.0,0.0,7069.0,1.0,0.0,0.0,0.0,-56.0,142.0,198.0,42.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1191.0,0.0,140.0,0.0,7122.0,1.0,2.0,0.0,0.0,5.0,129.0,124.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1191.0,0.0,141.0,0.0,7198.0,1.0,1.0,0.0,0.0,22.0,170.0,148.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1191.0,0.0,143.0,0.0,7182.0,0.0,1.0,0.0,0.0,-17.0,78.0,95.0,42.0,1.0,0.0,0.0
