assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,393.0,0.0,1.0,0.0,8942.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,55.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,393.0,0.0,2.0,0.0,9652.0,2.0,1.0,0.0,0.0,-1475.0,174.0,1649.0,55.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,393.0,0.0,3.0,0.0,9047.0,0.0,3.0,0.0,0.0,-1200.0,91.0,1291.0,55.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,393.0,0.0,4.0,0.0,8604.0,2.0,2.0,0.0,0.0,-842.0,99.0,941.0,55.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,393.0,0.0,5.0,0.0,8447.0,2.0,1.0,0.0,0.0,-376.0,70.0,446.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,393.0,0.0,6.0,0.0,8269.0,0.0,3.0,0.0,0.0,-347.0,68.0,415.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,393.0,0.0,7.0,0.0,8129.0,2.0,0.0,0.0,0.0,-233.0,68.0,301.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,393.0,0.0,8.0,0.0,8109.0,0.0,3.0,0.0,0.0,-158.0,103.0,261.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,393.0,0.0,9.0,0.0,8038.0,0.0,4.0,0.0,0.0,-130.0,42.0,172.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,393.0,0.0,10.0,0.0,8024.0,2.0,0.0,0.0,0.0,-74.0,78.0,152.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,393.0,0.0,11.0,0.0,7990.0,0.0,5.0,0.0,0.0,-109.0,72.0,181.0,53.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,393.0,0.0,12.0,0.0,7969.0,1.0,0.0,0.0,0.0,-118.0,104.0,222.0,53.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,393.0,0.0,13.0,0.0,7955.0,1.0,2.0,0.0,0.0,-58.0,47.0,105.0,53.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,393.0,0.0,14.0,0.0,7946.0,3.0,1.0,0.0,0.0,-62.0,47.0,109.0,53.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,393.0,0.0,15.0,0.0,7919.0,0.0,1.0,0.0,0.0,-77.0,57.0,134.0,53.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,393.0,0.0,16.0,0.0,7880.0,1.0,0.0,0.0,0.0,-68.0,25.0,93.0,53.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,393.0,0.0,17.0,0.0,7940.0,1.0,0.0,0.0,0.0,8.0,58.0,50.0,53.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,393.0,0.0,18.0,0.0,8126.0,0.0,3.0,0.0,0.0,4.0,82.0,78.0,53.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,393.0,0.0,19.0,0.0,8246.0,2.0,4.0,0.0,0.0,-25.0,71.0,96.0,53.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,393.0,0.0,20.0,0.0,8301.0,0.0,2.0,0.0,0.0,-50.0,56.0,106.0,53.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,393.0,0.0,21.0,0.0,8683.0,3.0,0.0,0.0,0.0,55.0,263.0,208.0,53.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,393.0,0.0,22.0,0.0,8829.0,0.0,2.0,0.0,0.0,-44.0,96.0,140.0,53.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,393.0,0.0,23.0,0.0,8882.0,1.0,1.0,0.0,0.0,-97.0,55.0,152.0,53.0,0.0,0.0,0.0
0.0,0.0,7.0,0.0,0.3,1.0,0.0,0.7,6.4,3.0,1.0,0.0,0.0,0.0,393.0,0.0,24.0,0.0,8917.0,1.0,3.0,0.0,1.0,-33.0,54.0,87.0,53.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,393.0,0.0,25.0,0.0,9131.0,1.0,1.0,0.0,0.0,47.0,140.0,93.0,53.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,0.1,0.0,0.0,0.0,0.2,6.0,16.0,0.0,0.0,0.0,393.0,0.0,26.0,0.0,9398.0,1.0,3.0,0.0,1.0,5.0,109.0,104.0,53.0,1.0,0.0,1.0
0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.2,2.2,15.0,20.0,0.0,0.0,0.0,393.0,0.0,27.0,0.0,9493.0,2.0,1.0,0.0,1.0,-24.0,39.0,63.0,53.0,0.0,0.0,1.0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.2,3.0,14.0,0.0,0.0,0.0,393.0,0.0,29.0,0.0,9670.0,2.0,1.0,0.0,1.0,11.0,48.0,37.0,53.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,393.0,0.0,30.0,0.0,9862.0,2.0,1.0,0.0,0.0,20.0,79.0,59.0,53.0,1.0,0.0,0.0
0.0,0.0,6.0,0.0,0.2,1.0,0.0,0.9,8.4,45.0,10.0,0.0,0.0,0.0,393.0,0.0,31.0,0.0,9881.0,1.0,2.0,0.0,1.0,-17.0,16.0,33.0,53.0,1.0,0.0,1.0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,393.0,0.0,32.0,0.0,10068.0,3.0,1.0,0.0,1.0,128.0,162.0,34.0,53.0,0.0,0.0,1.0
0.0,0.0,8.0,0.0,1.0,2.0,0.0,0.8,6.6,82.0,11.0,0.0,0.0,0.0,393.0,0.0,33.0,0.0,10148.0,0.0,2.0,0.0,1.0,-25.0,65.0,90.0,53.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,393.0,0.0,34.0,0.0,10472.0,2.0,4.0,0.0,0.0,183.0,258.0,75.0,53.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,393.0,0.0,35.0,0.0,10513.0,3.0,0.0,0.0,0.0,-57.0,85.0,142.0,53.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,393.0,0.0,36.0,0.0,10580.0,0.0,3.0,0.0,0.0,-29.0,84.0,113.0,53.0,1.0,0.0,0.0
1.0,3.0,33.0,0.0,11.8,3.0,0.0,5.2,36.4,90.0,18.0,0.0,0.0,0.0,393.0,0.0,37.0,0.0,10610.0,3.0,4.0,4.0,7.0,-31.0,54.0,85.0,53.0,1.0,0.0,7.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,393.0,0.0,38.0,0.0,12382.0,1.0,5.0,0.0,0.0,1663.0,1820.0,157.0,53.0,1.0,0.0,0.0
0.0,0.0,11.0,0.0,1.7,1.0,0.0,2.5,23.0,90.0,7.0,0.0,0.0,0.0,393.0,0.0,39.0,0.0,100008.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,55.0,0.0,0.0,2.0
0.0,1.0,29.0,1.0,0.5,0.0,0.0,2.1,20.4,90.0,1.0,0.0,0.0,0.0,393.0,0.0,40.0,0.0,120592.0,0.0,1.0,0.0,7.0,-4541.0,3163.0,7704.0,55.0,1.0,0.0,7.0
0.0,0.0,17.0,0.0,3.6,1.0,0.0,3.8,20.4,90.0,19.0,0.0,0.0,0.0,393.0,0.0,41.0,0.0,155636.0,1.0,1.0,14.0,2.0,14204.0,19914.0,5710.0,55.0,0.0,0.0,2.0
0.0,0.0,12.0,0.0,0.8,2.0,0.0,3.2,31.4,90.0,12.0,0.0,0.0,0.0,393.0,0.0,42.0,0.0,150057.0,2.0,2.0,0.0,1.0,-13836.0,4615.0,18451.0,55.0,1.0,0.0,1.0
0.0,0.0,19.0,0.0,1.4,2.0,0.0,2.9,26.0,90.0,13.0,0.0,0.0,0.0,393.0,0.0,43.0,0.0,153906.0,1.0,2.0,2.0,1.0,-1473.0,6553.0,8026.0,55.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,393.0,0.0,44.0,0.0,135621.0,4.0,0.0,0.0,0.0,-20344.0,1634.0,21978.0,55.0,1.0,0.0,0.0
0.0,0.0,16.0,0.0,0.0,1.0,0.0,4.5,37.2,90.0,14.0,0.0,0.0,0.0,393.0,0.0,45.0,0.0,133793.0,1.0,2.0,8.0,2.0,-4080.0,3905.0,7985.0,55.0,1.0,0.0,2.0
0.0,0.0,17.0,0.0,0.2,7.0,0.0,2.4,22.6,90.0,11.0,0.0,0.0,0.0,393.0,0.0,46.0,0.0,129044.0,2.0,7.0,1.0,-1.0,-6275.0,1105.0,7380.0,55.0,0.0,0.0,-1.0
0.0,0.0,13.0,0.0,1.2,2.0,0.0,1.5,13.8,90.0,2.0,0.0,0.0,0.0,393.0,0.0,47.0,0.0,127942.0,2.0,1.0,0.0,1.0,-1743.0,2553.0,4296.0,55.0,1.0,0.0,1.0
0.0,2.0,29.0,1.0,0.3,0.0,0.0,4.3,42.4,90.0,18.0,0.0,0.0,0.0,393.0,0.0,48.0,0.0,123449.0,1.0,0.0,0.0,8.0,-5173.0,956.0,6129.0,55.0,0.0,0.0,8.0
0.0,0.0,13.0,0.0,12.0,2.0,0.0,7.2,22.0,90.0,9.0,0.0,0.0,0.0,393.0,0.0,49.0,0.0,126046.0,2.0,2.0,38.0,1.0,1518.0,3868.0,2350.0,55.0,1.0,0.0,1.0
0.0,1.0,27.0,0.0,1.2,2.0,1.0,9.7,55.4,90.0,3.0,0.0,0.0,0.0,393.0,0.0,50.0,0.0,126333.0,2.0,2.0,40.0,8.0,-887.0,2636.0,3523.0,55.0,0.0,0.0,8.0
0.0,0.0,19.0,0.0,1.3,2.0,0.0,4.9,30.2,90.0,6.0,0.0,0.0,0.0,393.0,0.0,51.0,0.0,130473.0,1.0,2.0,17.0,1.0,3010.0,5555.0,2545.0,55.0,0.0,0.0,1.0
0.0,0.0,19.0,0.0,5.0,3.0,0.0,3.1,25.6,90.0,10.0,0.0,0.0,0.0,393.0,0.0,52.0,0.0,128665.0,3.0,0.0,0.0,1.0,-2447.0,1373.0,3820.0,55.0,1.0,0.0,1.0
0.0,0.0,7.0,0.0,1.8,1.0,0.0,1.5,9.4,90.0,16.0,0.0,0.0,0.0,393.0,0.0,53.0,0.0,130695.0,1.0,2.0,4.0,2.0,1172.0,4069.0,2897.0,55.0,1.0,0.0,2.0
0.0,0.0,18.0,0.0,0.3,5.0,0.0,2.4,24.0,90.0,17.0,0.0,0.0,0.0,393.0,0.0,54.0,0.0,128652.0,1.0,5.0,0.0,0.0,-2983.0,1499.0,4482.0,55.0,0.0,0.0,0.0
0.0,0.0,23.0,1.0,0.1,0.0,0.0,3.7,19.6,65.0,4.0,0.0,0.0,0.0,393.0,0.0,55.0,0.0,126894.0,0.0,1.0,17.0,6.0,-2334.0,1152.0,3486.0,55.0,0.0,0.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,393.0,0.0,56.0,0.0,117698.0,3.0,0.0,0.0,0.0,-9328.0,230.0,9558.0,55.0,1.0,0.0,0.0
0.0,0.0,12.0,0.0,4.1,1.0,0.0,3.8,33.4,90.0,19.0,0.0,0.0,0.0,393.0,0.0,57.0,0.0,109997.0,1.0,3.0,0.0,2.0,-7850.0,119.0,7969.0,54.0,1.0,0.0,2.0
0.0,0.0,5.0,0.0,0.0,1.0,0.0,5.4,13.8,90.0,8.0,0.0,0.0,0.0,393.0,0.0,58.0,0.0,109685.0,1.0,1.0,40.0,1.0,-549.0,955.0,1504.0,54.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,393.0,0.0,59.0,0.0,106094.0,0.0,5.0,0.0,0.0,-3823.0,539.0,4362.0,54.0,0.0,0.0,0.0
0.0,0.0,19.0,0.0,21.2,1.0,0.0,5.2,26.4,90.0,13.0,0.0,0.0,0.0,393.0,0.0,60.0,0.0,107075.0,1.0,0.0,4.0,2.0,788.0,2238.0,1450.0,54.0,1.0,0.0,2.0
0.0,0.0,15.0,0.0,10.3,3.0,0.0,3.6,21.2,90.0,12.0,0.0,0.0,0.0,393.0,0.0,61.0,0.0,105670.0,0.0,3.0,4.0,1.0,-1892.0,798.0,2690.0,54.0,0.0,0.0,1.0
0.0,0.0,25.0,1.0,0.0,0.0,0.0,2.1,21.4,90.0,8.0,0.0,0.0,0.0,393.0,0.0,62.0,0.0,106179.0,0.0,2.0,0.0,6.0,-2.0,1654.0,1656.0,54.0,1.0,0.0,6.0
0.0,0.0,22.0,1.0,0.2,0.0,0.0,2.8,24.2,90.0,18.0,0.0,0.0,0.0,393.0,0.0,63.0,0.0,108087.0,0.0,0.0,4.0,6.0,1236.0,2881.0,1645.0,54.0,1.0,0.0,6.0
0.0,0.0,12.0,0.0,0.3,2.0,0.0,2.8,24.0,90.0,2.0,0.0,0.0,0.0,393.0,0.0,64.0,0.0,108877.0,1.0,2.0,4.0,1.0,469.0,1765.0,1296.0,54.0,0.0,0.0,1.0
0.0,0.0,21.0,0.0,10.8,1.0,0.0,6.7,28.0,90.0,3.0,0.0,0.0,0.0,393.0,0.0,65.0,0.0,111808.0,1.0,1.0,28.0,2.0,2267.0,4046.0,1779.0,54.0,1.0,0.0,2.0
0.0,0.0,10.0,0.0,0.2,1.0,0.0,1.6,15.8,90.0,9.0,0.0,0.0,0.0,393.0,0.0,66.0,0.0,110323.0,1.0,1.0,0.0,2.0,-2053.0,714.0,2767.0,54.0,0.0,0.0,2.0
0.0,1.0,29.0,1.0,0.2,0.0,0.0,3.5,35.0,90.0,14.0,0.0,0.0,0.0,393.0,0.0,67.0,0.0,110470.0,0.0,0.0,0.0,7.0,-113.0,914.0,1027.0,54.0,0.0,0.0,7.0
0.0,0.0,7.0,0.0,0.2,2.0,0.0,0.7,6.6,90.0,11.0,0.0,0.0,0.0,393.0,0.0,68.0,0.0,115142.0,2.0,0.0,0.0,1.0,748.0,1885.0,1137.0,54.0,1.0,0.0,1.0
