assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
1.0,1.0,25.0,0.0,41.8,1.0,0.0,8.8,38.4,90.0,6.0,0.0,0.0,0.0,395.0,0.0,1.0,0.0,543814.0,1.0,1.0,8.0,6.0,0.0,0.0,0.0,55.0,0.0,0.0,6.0
0.0,2.0,28.0,1.0,2.7,0.0,0.0,2.5,19.8,90.0,5.0,0.0,0.0,0.0,395.0,0.0,2.0,0.0,757594.0,0.0,1.0,2.0,7.0,67541.0,78450.0,10909.0,55.0,1.0,1.0,7.0
0.0,0.0,3.0,0.0,0.1,0.0,0.0,0.7,7.2,27.0,9.0,0.0,0.0,0.0,395.0,0.0,3.0,0.0,876475.0,1.0,1.0,0.0,1.0,53068.0,75995.0,22927.0,56.0,1.0,0.0,1.0
1.0,2.0,35.0,1.0,13.0,0.0,0.0,4.1,23.6,90.0,14.0,0.0,0.0,0.0,395.0,0.0,4.0,0.0,816775.0,4.0,0.0,4.0,11.0,-72325.0,34989.0,107314.0,56.0,0.0,0.0,11.0
0.0,2.0,33.0,1.0,19.4,0.0,0.0,5.1,22.0,90.0,15.0,0.0,0.0,0.0,395.0,0.0,5.0,0.0,1042817.0,0.0,1.0,10.0,8.0,194751.0,199913.0,5162.0,57.0,1.0,0.0,8.0
0.0,0.0,12.0,0.0,13.3,1.0,0.0,2.4,10.2,90.0,12.0,0.0,0.0,0.0,395.0,0.0,6.0,0.0,1271422.0,2.0,1.0,0.0,1.0,195801.0,208244.0,12443.0,58.0,0.0,1.0,1.0
0.0,0.0,29.0,1.0,11.8,0.0,0.0,2.8,16.2,90.0,10.0,0.0,0.0,0.0,395.0,0.0,7.0,0.0,1347918.0,0.0,2.0,0.0,6.0,57308.0,83784.0,26476.0,59.0,1.0,0.0,6.0
0.0,0.0,18.0,0.0,18.1,1.0,0.0,4.5,22.6,90.0,19.0,0.0,0.0,0.0,395.0,0.0,8.0,0.0,1452008.0,1.0,1.0,4.0,2.0,81366.0,89386.0,8020.0,60.0,0.0,0.0,2.0
0.0,0.0,28.0,1.0,4.3,0.0,0.0,2.4,14.0,90.0,2.0,0.0,0.0,0.0,395.0,0.0,9.0,0.0,1516608.0,0.0,0.0,6.0,6.0,54625.0,65184.0,10559.0,61.0,0.0,0.0,6.0
0.0,1.0,23.0,0.0,37.8,1.0,0.0,7.2,32.6,90.0,8.0,0.0,0.0,0.0,395.0,0.0,10.0,0.0,1564263.0,1.0,1.0,2.0,3.0,38161.0,45842.0,7681.0,61.0,1.0,0.0,3.0
0.0,0.0,3.0,0.0,12.4,1.0,0.0,3.0,11.8,79.0,1.0,0.0,0.0,0.0,395.0,0.0,11.0,0.0,1568587.0,1.0,1.0,6.0,2.0,-4609.0,31217.0,35826.0,61.0,0.0,0.0,2.0
0.0,0.0,7.0,0.0,9.3,2.0,0.0,3.3,13.4,88.0,20.0,0.0,0.0,0.0,395.0,0.0,12.0,0.0,1554019.0,2.0,3.0,10.0,0.0,-23415.0,43563.0,66978.0,61.0,1.0,1.0,0.0
