assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,397.0,0.0,1.0,0.0,136559.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,0.0
0.0,1.0,30.0,1.0,0.3,0.0,0.0,2.7,23.6,90.0,8.0,0.0,0.0,0.0,397.0,0.0,2.0,0.0,130639.0,0.0,0.0,3.0,7.0,-16712.0,1409.0,18121.0,60.0,0.0,0.0,7.0
0.0,0.0,21.0,0.0,0.0,1.0,0.0,4.1,38.6,90.0,18.0,0.0,0.0,0.0,397.0,0.0,3.0,0.0,160761.0,3.0,1.0,2.0,2.0,6932.0,13818.0,6886.0,60.0,0.0,0.0,2.0
0.0,2.0,30.0,0.0,2.3,1.0,1.0,7.3,49.2,90.0,13.0,0.0,0.0,0.0,397.0,0.0,4.0,0.0,189746.0,1.0,2.0,21.0,10.0,11131.0,21166.0,10035.0,60.0,1.0,0.0,10.0
0.0,0.0,17.0,0.0,0.1,1.0,0.0,1.0,9.8,90.0,7.0,0.0,0.0,0.0,397.0,0.0,5.0,0.0,259533.0,4.0,1.0,0.0,2.0,49043.0,55464.0,6421.0,60.0,0.0,0.0,2.0
0.0,0.0,30.0,1.0,0.3,0.0,0.0,3.3,33.0,90.0,4.0,0.0,0.0,0.0,397.0,0.0,6.0,0.0,309243.0,0.0,3.0,0.0,6.0,30831.0,45167.0,14336.0,60.0,1.0,0.0,6.0
0.0,3.0,44.0,1.0,1.3,0.0,1.0,9.5,58.4,90.0,3.0,0.0,0.0,0.0,397.0,0.0,7.0,0.0,394271.0,1.0,0.0,35.0,15.0,70158.0,77854.0,7696.0,61.0,0.0,0.0,15.0
0.0,0.0,21.0,0.0,0.4,2.0,0.0,2.4,24.0,90.0,16.0,0.0,0.0,0.0,397.0,0.0,8.0,0.0,551777.0,2.0,3.0,0.0,1.0,131859.0,136490.0,4631.0,62.0,1.0,0.0,1.0
0.0,2.0,32.0,1.0,1.4,0.0,0.0,4.5,31.2,90.0,12.0,0.0,0.0,0.0,397.0,0.0,9.0,0.0,661968.0,0.0,0.0,12.0,8.0,96758.0,105693.0,8935.0,63.0,1.0,0.0,8.0
0.0,0.0,17.0,0.0,0.5,1.0,0.0,3.2,25.8,90.0,15.0,0.0,0.0,0.0,397.0,0.0,10.0,0.0,755921.0,4.0,1.0,6.0,2.0,80591.0,84243.0,3652.0,64.0,0.0,0.0,2.0
0.0,0.0,12.0,0.0,0.2,1.0,0.0,3.8,15.6,90.0,17.0,0.0,0.0,0.0,397.0,0.0,11.0,0.0,807190.0,1.0,1.0,22.0,1.0,38615.0,58712.0,20097.0,65.0,1.0,1.0,1.0
0.0,0.0,18.0,0.0,0.8,1.0,0.0,2.1,20.4,90.0,11.0,0.0,0.0,0.0,397.0,0.0,12.0,0.0,848823.0,1.0,1.0,0.0,2.0,27416.0,55040.0,27624.0,65.0,0.0,0.0,2.0
0.0,0.0,23.0,0.0,0.7,1.0,0.0,3.0,29.0,90.0,2.0,0.0,0.0,0.0,397.0,0.0,13.0,0.0,890281.0,1.0,3.0,0.0,2.0,34535.0,45012.0,10477.0,66.0,1.0,0.0,2.0
0.0,0.0,15.0,0.0,0.3,1.0,0.0,2.1,20.2,90.0,20.0,0.0,0.0,0.0,397.0,0.0,14.0,0.0,902839.0,5.0,1.0,0.0,1.0,5794.0,22341.0,16547.0,66.0,0.0,1.0,1.0
0.0,0.0,15.0,0.0,0.5,1.0,0.0,2.0,11.0,90.0,14.0,0.0,0.0,0.0,397.0,0.0,15.0,0.0,901201.0,1.0,3.0,8.0,2.0,-8731.0,17971.0,26702.0,66.0,1.0,0.0,2.0
0.0,0.0,15.0,0.0,1.3,2.0,0.0,4.0,30.4,90.0,6.0,0.0,0.0,0.0,397.0,0.0,16.0,0.0,874266.0,1.0,2.0,8.0,0.0,-30832.0,5876.0,36708.0,66.0,0.0,1.0,0.0
0.0,0.0,18.0,0.0,0.3,2.0,0.0,2.4,23.8,90.0,10.0,0.0,0.0,0.0,397.0,0.0,17.0,0.0,807193.0,1.0,2.0,0.0,1.0,-69951.0,2003.0,71954.0,64.0,0.0,0.0,1.0
0.0,3.0,42.0,1.0,1.5,0.0,0.0,3.3,31.2,90.0,19.0,0.0,0.0,0.0,397.0,0.0,18.0,0.0,774985.0,0.0,1.0,0.0,9.0,-37845.0,4110.0,41955.0,64.0,1.0,0.0,9.0
0.0,0.0,31.0,1.0,0.3,0.0,0.0,2.2,22.0,90.0,5.0,0.0,0.0,0.0,397.0,0.0,19.0,0.0,787394.0,0.0,2.0,0.0,6.0,8484.0,18807.0,10323.0,63.0,1.0,0.0,6.0
0.0,0.0,16.0,0.0,0.7,3.0,0.0,1.1,9.8,63.0,2.0,0.0,0.0,0.0,397.0,0.0,20.0,0.0,791614.0,3.0,3.0,0.0,1.0,1660.0,19950.0,18290.0,63.0,0.0,0.0,1.0
