assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,398.0,0.0,1.0,0.0,3362.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,398.0,0.0,2.0,0.0,3250.0,0.0,2.0,0.0,0.0,-648.0,98.0,746.0,55.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,398.0,0.0,3.0,0.0,2899.0,1.0,1.0,0.0,0.0,-558.0,67.0,625.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,398.0,0.0,4.0,0.0,2238.0,1.0,4.0,0.0,0.0,-720.0,41.0,761.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,398.0,0.0,5.0,0.0,1918.0,2.0,1.0,0.0,0.0,-325.0,3.0,328.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,398.0,0.0,6.0,0.0,1712.0,1.0,5.0,0.0,0.0,-216.0,5.0,221.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,398.0,0.0,7.0,0.0,1637.0,2.0,1.0,0.0,0.0,-83.0,4.0,87.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,398.0,0.0,8.0,0.0,1585.0,0.0,0.0,0.0,0.0,-55.0,5.0,60.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,398.0,0.0,9.0,0.0,1558.0,1.0,2.0,0.0,0.0,-31.0,5.0,36.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,398.0,0.0,10.0,0.0,1548.0,4.0,2.0,0.0,0.0,-15.0,5.0,20.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,398.0,0.0,11.0,0.0,1535.0,1.0,6.0,0.0,0.0,-18.0,5.0,23.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,398.0,0.0,12.0,0.0,1515.0,0.0,0.0,0.0,0.0,-23.0,3.0,26.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,398.0,0.0,13.0,0.0,1509.0,0.0,2.0,0.0,0.0,-7.0,7.0,14.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,398.0,0.0,14.0,0.0,1499.0,3.0,4.0,0.0,0.0,-11.0,9.0,20.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,398.0,0.0,15.0,0.0,1499.0,2.0,2.0,0.0,0.0,-4.0,14.0,18.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,398.0,0.0,16.0,0.0,1498.0,3.0,0.0,0.0,0.0,-2.0,20.0,22.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,398.0,0.0,17.0,0.0,1504.0,1.0,0.0,0.0,0.0,2.0,16.0,14.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,398.0,0.0,18.0,0.0,1504.0,1.0,4.0,0.0,0.0,-8.0,18.0,26.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,398.0,0.0,19.0,0.0,1506.0,0.0,1.0,0.0,0.0,-7.0,17.0,24.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,398.0,0.0,20.0,0.0,1506.0,2.0,2.0,0.0,0.0,-13.0,10.0,23.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,398.0,0.0,21.0,0.0,1522.0,1.0,1.0,0.0,0.0,-11.0,22.0,33.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,398.0,0.0,22.0,0.0,1556.0,3.0,2.0,0.0,0.0,-4.0,16.0,20.0,54.0,1.0,0.0,0.0
0.0,0.0,-2.0,1.0,10.5,0.0,0.0,1.7,0.0,90.0,11.0,0.0,0.0,0.0,398.0,0.0,23.0,0.0,2303.0,0.0,0.0,9.0,2.0,663.0,744.0,81.0,54.0,0.0,1.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,398.0,0.0,24.0,0.0,2738.0,0.0,2.0,0.0,0.0,391.0,525.0,134.0,54.0,1.0,0.0,0.0
0.0,0.0,23.0,0.0,29.6,2.0,0.0,8.3,28.0,90.0,1.0,0.0,0.0,0.0,398.0,0.0,25.0,0.0,3348.0,0.0,2.0,25.0,2.0,537.0,685.0,148.0,54.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,398.0,0.0,26.0,0.0,11359.0,1.0,1.0,0.0,0.0,7766.0,8079.0,313.0,54.0,1.0,0.0,0.0
0.0,0.0,10.0,0.0,3.0,2.0,0.0,1.0,4.6,77.0,8.0,0.0,0.0,0.0,398.0,0.0,27.0,0.0,9451.0,1.0,3.0,2.0,2.0,-1934.0,411.0,2345.0,54.0,0.0,0.0,2.0
0.0,0.0,2.0,1.0,12.1,0.0,0.0,1.6,3.8,74.0,16.0,0.0,0.0,0.0,398.0,0.0,28.0,0.0,9857.0,1.0,2.0,0.0,2.0,346.0,879.0,533.0,54.0,1.0,1.0,2.0
0.0,0.0,5.0,0.0,16.0,2.0,0.0,2.7,3.2,85.0,6.0,0.0,0.0,0.0,398.0,0.0,29.0,0.0,7963.0,0.0,4.0,8.0,2.0,-1925.0,151.0,2076.0,53.0,0.0,0.0,2.0
0.0,0.0,8.0,0.0,15.3,1.0,0.0,2.1,3.8,90.0,20.0,0.0,0.0,0.0,398.0,0.0,30.0,0.0,7207.0,1.0,2.0,2.0,2.0,-777.0,165.0,942.0,52.0,1.0,0.0,2.0
0.0,2.0,34.0,0.0,13.3,2.0,1.0,8.8,42.0,90.0,12.0,0.0,0.0,0.0,398.0,0.0,31.0,0.0,6946.0,2.0,4.0,33.0,9.0,-266.0,236.0,502.0,52.0,1.0,0.0,9.0
0.0,0.0,9.0,0.0,4.1,3.0,0.0,0.7,0.6,90.0,10.0,0.0,0.0,0.0,398.0,0.0,32.0,0.0,7779.0,1.0,3.0,2.0,2.0,802.0,1230.0,428.0,52.0,0.0,0.0,2.0
0.0,0.0,-3.0,0.0,32.6,3.0,0.0,7.2,10.4,85.0,14.0,0.0,0.0,0.0,398.0,0.0,33.0,0.0,8042.0,1.0,3.0,29.0,1.0,229.0,909.0,680.0,52.0,0.0,1.0,1.0
0.0,0.0,25.0,1.0,1.7,0.0,1.0,8.0,33.6,81.0,18.0,0.0,0.0,0.0,398.0,0.0,34.0,0.0,7690.0,0.0,2.0,45.0,7.0,-383.0,526.0,909.0,52.0,1.0,1.0,7.0
0.0,0.0,10.0,1.0,4.7,0.0,0.0,1.8,7.4,89.0,13.0,0.0,0.0,0.0,398.0,0.0,35.0,0.0,9873.0,0.0,0.0,6.0,3.0,2115.0,2565.0,450.0,52.0,0.0,0.0,3.0
0.0,0.0,4.0,1.0,17.4,0.0,0.0,4.6,4.8,64.0,15.0,0.0,0.0,0.0,398.0,0.0,36.0,0.0,14340.0,2.0,0.0,24.0,3.0,4366.0,5240.0,874.0,52.0,1.0,0.0,3.0
