assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1192.0,0.0,115.0,0.0,44764.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0
0.0,0.0,20.0,0.0,2.3,1.0,1.0,6.9,31.8,84.0,19.0,0.0,0.0,0.0,1192.0,0.0,116.0,0.0,38093.0,1.0,1.0,35.0,7.0,-7969.0,919.0,8888.0,60.0,1.0,0.0,7.0
0.0,0.0,19.0,0.0,81.0,2.0,0.0,11.5,17.4,90.0,16.0,0.0,0.0,0.0,1192.0,0.0,117.0,0.0,66554.0,2.0,0.0,17.0,2.0,24766.0,34810.0,10044.0,60.0,1.0,0.0,2.0
0.0,0.0,1.0,0.0,3.8,3.0,0.0,7.1,8.6,73.0,11.0,0.0,0.0,0.0,1192.0,0.0,118.0,0.0,52807.0,0.0,4.0,59.0,2.0,-12554.0,3990.0,16544.0,60.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1192.0,0.0,119.0,0.0,30383.0,1.0,1.0,0.0,0.0,-23047.0,3948.0,26995.0,60.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1192.0,0.0,120.0,0.0,19735.0,0.0,0.0,0.0,0.0,-11037.0,37.0,11074.0,59.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1192.0,0.0,121.0,0.0,15238.0,0.0,2.0,0.0,0.0,-4632.0,48.0,4680.0,59.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1192.0,0.0,122.0,0.0,13220.0,0.0,3.0,0.0,0.0,-2113.0,30.0,2143.0,58.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1192.0,0.0,123.0,0.0,12611.0,1.0,2.0,0.0,0.0,-662.0,360.0,1022.0,58.0,0.0,0.0,0.0
1.0,0.0,15.0,0.0,14.3,1.0,0.0,2.8,5.4,25.0,8.0,0.0,0.0,0.0,1192.0,0.0,124.0,0.0,13389.0,2.0,3.0,8.0,4.0,640.0,1033.0,393.0,58.0,1.0,0.0,4.0
1.0,2.0,44.0,0.0,53.7,0.0,1.0,14.6,56.8,31.0,14.0,0.0,0.0,0.0,1192.0,0.0,125.0,0.0,16710.0,0.0,2.0,35.0,11.0,3009.0,3608.0,599.0,58.0,1.0,0.0,11.0
0.0,0.0,8.0,0.0,28.8,2.0,0.0,3.6,7.4,59.0,12.0,0.0,0.0,0.0,1192.0,0.0,126.0,0.0,26861.0,1.0,3.0,0.0,1.0,9401.0,10489.0,1088.0,58.0,0.0,0.0,1.0
0.0,0.0,7.0,0.0,14.3,2.0,0.0,3.3,6.6,90.0,9.0,0.0,0.0,0.0,1192.0,0.0,127.0,0.0,26114.0,2.0,0.0,12.0,2.0,-466.0,2940.0,3406.0,58.0,1.0,0.0,2.0
1.0,0.0,7.0,0.0,12.0,0.0,0.0,2.9,3.0,21.0,10.0,0.0,0.0,0.0,1192.0,0.0,128.0,0.0,24305.0,1.0,2.0,14.0,4.0,-2013.0,1158.0,3171.0,58.0,0.0,0.0,4.0
0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.4,0.0,10.0,1.0,0.0,0.0,0.0,1192.0,0.0,129.0,0.0,24082.0,2.0,1.0,6.0,1.0,-405.0,1216.0,1621.0,58.0,0.0,0.0,1.0
1.0,0.0,20.0,0.0,31.0,2.0,0.0,5.7,20.8,67.0,20.0,0.0,0.0,0.0,1192.0,0.0,130.0,0.0,23168.0,2.0,2.0,5.0,5.0,-985.0,880.0,1865.0,58.0,1.0,0.0,5.0
0.0,0.0,14.0,0.0,17.9,1.0,0.0,5.0,14.6,83.0,7.0,0.0,0.0,0.0,1192.0,0.0,131.0,0.0,23381.0,1.0,1.0,17.0,2.0,21.0,1490.0,1469.0,58.0,0.0,0.0,2.0
0.0,0.0,3.0,0.0,1.2,1.0,0.0,0.1,0.0,45.0,15.0,0.0,0.0,0.0,1192.0,0.0,132.0,0.0,26126.0,1.0,0.0,0.0,1.0,2069.0,3514.0,1445.0,58.0,1.0,0.0,1.0
0.0,0.0,4.0,0.0,10.8,0.0,0.0,1.3,2.6,14.0,17.0,0.0,0.0,0.0,1192.0,0.0,133.0,0.0,23910.0,1.0,2.0,0.0,1.0,-1817.0,816.0,2633.0,58.0,0.0,0.0,1.0
1.0,1.0,28.0,1.0,45.6,0.0,0.0,10.1,31.6,90.0,3.0,0.0,0.0,0.0,1192.0,0.0,134.0,0.0,24599.0,0.0,2.0,24.0,7.0,408.0,1979.0,1571.0,58.0,1.0,0.0,7.0
0.0,0.0,12.0,0.0,42.7,1.0,0.0,10.0,18.2,90.0,6.0,0.0,0.0,0.0,1192.0,0.0,135.0,0.0,25590.0,1.0,1.0,39.0,2.0,830.0,3166.0,2336.0,58.0,1.0,0.0,2.0
0.0,0.0,8.0,0.0,16.7,1.0,0.0,4.2,12.4,90.0,8.0,0.0,0.0,0.0,1192.0,0.0,136.0,0.0,25116.0,0.0,1.0,13.0,2.0,-624.0,2259.0,2883.0,58.0,0.0,0.0,2.0
0.0,3.0,27.0,0.0,16.7,1.0,1.0,9.6,46.0,80.0,2.0,0.0,0.0,0.0,1192.0,0.0,137.0,0.0,30888.0,1.0,1.0,33.0,10.0,5433.0,8126.0,2693.0,58.0,1.0,0.0,10.0
0.0,0.0,3.0,0.0,0.8,1.0,0.0,0.3,0.0,30.0,3.0,0.0,0.0,0.0,1192.0,0.0,138.0,0.0,46840.0,1.0,3.0,3.0,1.0,14584.0,17582.0,2998.0,58.0,0.0,0.0,1.0
0.0,0.0,4.0,0.0,39.1,3.0,0.0,8.4,13.6,90.0,19.0,0.0,0.0,0.0,1192.0,0.0,139.0,0.0,44570.0,3.0,3.0,31.0,2.0,-1343.0,5633.0,6976.0,58.0,0.0,0.0,2.0
0.0,0.0,11.0,0.0,3.3,1.0,0.0,1.5,4.6,90.0,18.0,0.0,0.0,0.0,1192.0,0.0,140.0,0.0,48611.0,1.0,1.0,7.0,2.0,3282.0,8194.0,4912.0,58.0,1.0,0.0,2.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,1192.0,0.0,141.0,0.0,40384.0,1.0,1.0,0.0,1.0,-7803.0,876.0,8679.0,58.0,0.0,0.0,1.0
0.0,0.0,10.0,0.0,12.3,1.0,0.0,2.0,4.4,90.0,7.0,0.0,0.0,0.0,1192.0,0.0,142.0,0.0,37535.0,1.0,0.0,3.0,2.0,-2988.0,1550.0,4538.0,58.0,1.0,0.0,2.0
0.0,0.0,10.0,1.0,40.3,0.0,0.0,5.7,10.4,81.0,20.0,0.0,0.0,0.0,1192.0,0.0,143.0,0.0,31114.0,0.0,0.0,6.0,3.0,-6213.0,487.0,6700.0,58.0,0.0,0.0,3.0
