assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,406.0,0.0,1.0,0.0,24659.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,406.0,0.0,2.0,0.0,16400.0,4.0,1.0,0.0,0.0,-8991.0,328.0,9319.0,80.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,406.0,0.0,3.0,0.0,9887.0,1.0,3.0,0.0,0.0,-6709.0,125.0,6834.0,79.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,14.3,0.0,0.0,2.5,2.6,31.0,11.0,0.0,0.0,0.0,406.0,0.0,4.0,0.0,8815.0,2.0,1.0,8.0,1.0,-1301.0,935.0,2236.0,78.0,0.0,0.0,1.0
0.0,0.0,7.0,0.0,0.9,0.0,0.0,0.7,2.6,19.0,2.0,0.0,0.0,0.0,406.0,0.0,5.0,0.0,9451.0,0.0,4.0,3.0,1.0,284.0,1194.0,910.0,78.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,406.0,0.0,6.0,0.0,8377.0,3.0,1.0,0.0,0.0,-1331.0,546.0,1877.0,78.0,0.0,0.0,0.0
0.0,0.0,4.0,0.0,0.6,0.0,0.0,0.2,1.4,4.0,17.0,0.0,0.0,0.0,406.0,0.0,7.0,0.0,7343.0,0.0,2.0,0.0,1.0,-1235.0,145.0,1380.0,77.0,0.0,0.0,1.0
0.0,0.0,17.0,0.0,21.8,1.0,0.0,6.6,17.2,70.0,6.0,0.0,0.0,0.0,406.0,0.0,8.0,0.0,7049.0,1.0,1.0,27.0,2.0,-526.0,224.0,750.0,77.0,1.0,0.0,2.0
1.0,2.0,24.0,0.0,24.6,1.0,0.0,6.4,23.0,89.0,13.0,0.0,0.0,0.0,406.0,0.0,9.0,0.0,7066.0,1.0,1.0,16.0,7.0,-133.0,289.0,422.0,76.0,1.0,0.0,7.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,406.0,0.0,10.0,0.0,8647.0,4.0,0.0,0.0,0.0,1273.0,1623.0,350.0,76.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,406.0,0.0,11.0,0.0,7875.0,1.0,1.0,0.0,0.0,-965.0,465.0,1430.0,76.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,406.0,0.0,12.0,0.0,7435.0,2.0,1.0,0.0,0.0,-649.0,195.0,844.0,76.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,12.3,0.0,0.0,1.8,0.4,34.0,3.0,0.0,0.0,0.0,406.0,0.0,13.0,0.0,7075.0,2.0,1.0,5.0,1.0,-410.0,41.0,451.0,76.0,0.0,0.0,1.0
0.0,0.0,15.0,0.0,22.0,1.0,0.0,3.3,9.2,68.0,4.0,0.0,0.0,0.0,406.0,0.0,14.0,0.0,6979.0,3.0,1.0,2.0,2.0,-171.0,104.0,275.0,75.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,406.0,0.0,15.0,0.0,7402.0,2.0,4.0,0.0,0.0,278.0,505.0,227.0,75.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,0.0,0.0,0.0,406.0,0.0,16.0,0.0,7192.0,0.0,2.0,0.0,1.0,-258.0,67.0,325.0,75.0,1.0,0.0,1.0
0.0,1.0,21.0,0.0,14.7,1.0,1.0,9.3,41.8,75.0,1.0,0.0,0.0,0.0,406.0,0.0,17.0,0.0,7047.0,1.0,2.0,36.0,8.0,-186.0,52.0,238.0,75.0,1.0,0.0,8.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,406.0,0.0,18.0,0.0,9752.0,3.0,0.0,0.0,0.0,2380.0,2653.0,273.0,75.0,0.0,0.0,0.0
