assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1197.0,0.0,115.0,0.0,5785.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1197.0,0.0,116.0,0.0,6423.0,2.0,1.0,0.0,0.0,-583.0,122.0,705.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1197.0,0.0,117.0,0.0,6381.0,0.0,2.0,0.0,0.0,-444.0,79.0,523.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1197.0,0.0,118.0,0.0,6392.0,0.0,1.0,0.0,0.0,-378.0,80.0,458.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1197.0,0.0,119.0,0.0,6556.0,0.0,0.0,0.0,0.0,-194.0,154.0,348.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1197.0,0.0,120.0,0.0,6627.0,2.0,3.0,0.0,0.0,-92.0,97.0,189.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1197.0,0.0,121.0,0.0,6648.0,2.0,2.0,0.0,0.0,-132.0,97.0,229.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1197.0,0.0,122.0,0.0,6644.0,5.0,1.0,0.0,0.0,-119.0,67.0,186.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1197.0,0.0,123.0,0.0,6672.0,1.0,2.0,0.0,0.0,-134.0,84.0,218.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1197.0,0.0,124.0,0.0,6664.0,0.0,3.0,0.0,0.0,-83.0,39.0,122.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1197.0,0.0,125.0,0.0,6670.0,2.0,1.0,0.0,0.0,-92.0,49.0,141.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1197.0,0.0,126.0,0.0,6677.0,1.0,2.0,0.0,0.0,-78.0,51.0,129.0,44.0,0.0,0.0,0.0
