assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1014.0,0.0,77.0,0.0,3308.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1014.0,0.0,78.0,0.0,3187.0,0.0,0.0,0.0,0.0,-367.0,78.0,445.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1014.0,0.0,79.0,0.0,2913.0,0.0,0.0,0.0,0.0,-343.0,107.0,450.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1014.0,0.0,80.0,0.0,2926.0,3.0,2.0,0.0,0.0,-130.0,288.0,418.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1014.0,0.0,81.0,0.0,3253.0,1.0,4.0,0.0,0.0,86.0,516.0,430.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1014.0,0.0,82.0,0.0,3172.0,5.0,0.0,0.0,0.0,-85.0,186.0,271.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1014.0,0.0,83.0,0.0,3117.0,2.0,1.0,0.0,0.0,-85.0,114.0,199.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1014.0,0.0,84.0,0.0,3086.0,0.0,1.0,0.0,0.0,-45.0,105.0,150.0,44.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,0.7,0.0,0.0,0.9,0.6,4.0,9.0,0.0,0.0,0.0,1014.0,0.0,85.0,0.0,3036.0,2.0,4.0,8.0,1.0,-73.0,114.0,187.0,44.0,1.0,0.0,1.0
0.0,0.0,3.0,0.0,0.3,2.0,0.0,0.0,0.0,17.0,12.0,0.0,0.0,0.0,1014.0,0.0,86.0,0.0,3012.0,1.0,4.0,0.0,1.0,-50.0,74.0,124.0,44.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1014.0,0.0,87.0,0.0,2946.0,1.0,0.0,0.0,0.0,-78.0,56.0,134.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1014.0,0.0,88.0,0.0,2897.0,1.0,2.0,0.0,0.0,-65.0,43.0,108.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1014.0,0.0,89.0,0.0,2848.0,0.0,1.0,0.0,0.0,-50.0,38.0,88.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1014.0,0.0,90.0,0.0,2986.0,1.0,2.0,0.0,0.0,55.0,138.0,83.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1014.0,0.0,91.0,0.0,3102.0,1.0,3.0,0.0,0.0,33.0,161.0,128.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1014.0,0.0,92.0,0.0,3191.0,0.0,1.0,0.0,0.0,-16.0,150.0,166.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1014.0,0.0,93.0,0.0,3510.0,2.0,3.0,0.0,0.0,59.0,242.0,183.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1014.0,0.0,94.0,0.0,3629.0,5.0,1.0,0.0,0.0,-33.0,123.0,156.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1014.0,0.0,95.0,0.0,3606.0,0.0,0.0,0.0,0.0,-48.0,130.0,178.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1014.0,0.0,96.0,0.0,3613.0,1.0,0.0,0.0,0.0,-20.0,146.0,166.0,43.0,0.0,0.0,0.0
