assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,2.0,0.0,0.3,0.0,0.0,0.0,0.0,4.0,20.0,0.0,0.0,0.0,1011.0,0.0,77.0,0.0,141155.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1011.0,0.0,78.0,0.0,132899.0,1.0,2.0,0.0,0.0,-19345.0,3365.0,22710.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1011.0,0.0,79.0,0.0,96530.0,2.0,2.0,0.0,0.0,-37827.0,1200.0,39027.0,49.0,0.0,0.0,0.0
1.0,2.0,29.0,0.0,46.7,1.0,0.0,7.6,29.0,75.0,10.0,0.0,0.0,0.0,1011.0,0.0,80.0,0.0,79186.0,1.0,1.0,0.0,7.0,-19211.0,958.0,20169.0,48.0,1.0,0.0,7.0
0.0,0.0,22.0,0.0,58.2,3.0,0.0,11.0,29.2,90.0,19.0,0.0,0.0,0.0,1011.0,0.0,81.0,0.0,86608.0,3.0,1.0,23.0,1.0,3774.0,9748.0,5974.0,48.0,1.0,0.0,1.0
0.0,0.0,12.0,0.0,15.7,2.0,0.0,5.1,25.8,90.0,1.0,0.0,0.0,0.0,1011.0,0.0,82.0,0.0,84842.0,0.0,2.0,9.0,0.0,-2025.0,3863.0,5888.0,48.0,0.0,1.0,0.0
0.0,0.0,23.0,1.0,9.7,0.0,0.0,2.3,13.6,90.0,9.0,0.0,0.0,0.0,1011.0,0.0,83.0,0.0,87769.0,0.0,3.0,0.0,6.0,1453.0,6419.0,4966.0,48.0,1.0,0.0,6.0
0.0,0.0,14.0,0.0,17.3,1.0,0.0,5.4,21.4,90.0,11.0,0.0,0.0,0.0,1011.0,0.0,84.0,0.0,88966.0,2.0,1.0,15.0,2.0,1004.0,3818.0,2814.0,48.0,0.0,0.0,2.0
0.0,0.0,21.0,1.0,51.4,0.0,0.0,8.9,16.4,90.0,7.0,0.0,0.0,0.0,1011.0,0.0,85.0,0.0,92698.0,0.0,2.0,21.0,6.0,2430.0,6776.0,4346.0,48.0,1.0,0.0,6.0
0.0,0.0,13.0,0.0,26.2,2.0,0.0,4.3,15.8,90.0,14.0,0.0,0.0,0.0,1011.0,0.0,86.0,0.0,92085.0,1.0,2.0,1.0,1.0,-580.0,2886.0,3466.0,48.0,0.0,0.0,1.0
