assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,819.0,0.0,64.0,0.0,4409.0,2.0,2.0,0.0,0.0,4318.0,5719.0,1401.0,80.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,819.0,0.0,65.0,0.0,3327.0,0.0,1.0,0.0,0.0,-1113.0,928.0,2041.0,80.0,1.0,0.0,0.0
0.0,0.0,3.0,0.0,1.8,0.0,0.0,0.6,4.0,24.0,6.0,0.0,0.0,0.0,819.0,0.0,66.0,0.0,6268.0,1.0,0.0,0.0,1.0,2780.0,3628.0,848.0,80.0,0.0,0.0,1.0
0.0,0.0,2.0,0.0,12.3,0.0,0.0,1.5,2.6,7.0,8.0,0.0,0.0,0.0,819.0,0.0,67.0,0.0,6406.0,0.0,2.0,0.0,1.0,105.0,1484.0,1379.0,80.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,819.0,0.0,68.0,0.0,4006.0,4.0,1.0,0.0,0.0,-2273.0,184.0,2457.0,80.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,819.0,0.0,70.0,0.0,2745.0,3.0,1.0,0.0,0.0,-554.0,106.0,660.0,79.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,819.0,0.0,71.0,0.0,2386.0,2.0,1.0,0.0,0.0,-387.0,123.0,510.0,78.0,0.0,0.0,0.0
0.0,0.0,8.0,0.0,19.2,1.0,0.0,4.2,11.6,73.0,3.0,0.0,0.0,0.0,819.0,0.0,72.0,0.0,2129.0,1.0,1.0,11.0,2.0,-268.0,78.0,346.0,78.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,819.0,0.0,74.0,0.0,2162.0,0.0,2.0,0.0,0.0,35.0,146.0,111.0,77.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,819.0,0.0,75.0,0.0,2101.0,0.0,1.0,0.0,0.0,-71.0,61.0,132.0,77.0,1.0,0.0,0.0
1.0,0.0,14.0,0.0,37.4,4.0,0.0,6.9,18.2,73.0,9.0,0.0,0.0,0.0,819.0,0.0,76.0,0.0,2171.0,4.0,5.0,13.0,5.0,26.0,138.0,112.0,77.0,1.0,0.0,5.0
0.0,0.0,8.0,0.0,3.2,1.0,0.0,2.8,5.0,67.0,15.0,0.0,0.0,0.0,819.0,0.0,77.0,0.0,108496.0,2.0,1.0,20.0,2.0,0.0,0.0,0.0,70.0,0.0,0.0,2.0
0.0,0.0,17.0,0.0,11.1,1.0,1.0,8.6,42.6,90.0,9.0,0.0,0.0,0.0,819.0,0.0,78.0,0.0,111296.0,1.0,3.0,32.0,7.0,-6020.0,11455.0,17475.0,70.0,1.0,0.0,7.0
0.0,3.0,41.0,1.0,12.3,0.0,2.0,12.9,74.4,90.0,14.0,0.0,0.0,0.0,819.0,0.0,79.0,0.0,119592.0,3.0,0.0,42.0,15.0,826.0,30878.0,30052.0,70.0,0.0,1.0,15.0
1.0,0.0,15.0,0.0,25.3,2.0,0.0,4.9,10.2,90.0,18.0,0.0,0.0,0.0,819.0,0.0,80.0,0.0,734301.0,1.0,2.0,13.0,5.0,558760.0,585664.0,26904.0,72.0,0.0,0.0,5.0
0.0,0.0,-2.0,0.0,15.1,2.0,0.0,2.7,8.0,90.0,12.0,0.0,0.0,0.0,819.0,0.0,81.0,0.0,1116102.0,2.0,1.0,4.0,2.0,354920.0,433660.0,78740.0,73.0,1.0,0.0,2.0
0.0,0.0,3.0,1.0,15.9,0.0,0.0,4.3,2.8,77.0,3.0,0.0,0.0,0.0,819.0,0.0,82.0,0.0,1286400.0,2.0,1.0,24.0,3.0,159711.0,251037.0,91326.0,74.0,0.0,0.0,3.0
0.0,0.0,-3.0,1.0,6.0,0.0,0.0,6.6,13.4,90.0,10.0,0.0,0.0,0.0,819.0,0.0,83.0,0.0,1312694.0,2.0,0.0,47.0,3.0,19961.0,127833.0,107872.0,74.0,0.0,0.0,3.0
0.0,0.0,13.0,1.0,36.2,0.0,0.0,11.1,10.6,90.0,5.0,0.0,0.0,0.0,819.0,0.0,84.0,0.0,1305055.0,0.0,1.0,64.0,3.0,-12387.0,97805.0,110192.0,74.0,1.0,0.0,3.0
0.0,0.0,8.0,1.0,44.9,0.0,0.0,7.5,22.2,90.0,19.0,0.0,0.0,0.0,819.0,0.0,85.0,0.0,1174016.0,1.0,0.0,8.0,3.0,-131320.0,60651.0,191971.0,74.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,6.3,1.0,0.0,0.9,2.8,80.0,13.0,0.0,0.0,0.0,819.0,0.0,86.0,0.0,946173.0,1.0,0.0,0.0,1.0,-223014.0,15561.0,238575.0,73.0,1.0,1.0,1.0
