assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,7.0,0.0,0.9,1.0,0.0,0.7,3.4,69.0,1.0,0.0,0.0,0.0,423.0,0.0,23.0,0.0,678.0,2.0,1.0,3.0,2.0,645.0,682.0,37.0,60.0,0.0,0.0,2.0
1.0,3.0,52.0,0.0,37.8,1.0,1.0,15.5,66.0,80.0,3.0,0.0,0.0,0.0,423.0,0.0,24.0,0.0,3854.0,1.0,2.0,51.0,11.0,3090.0,3318.0,228.0,60.0,1.0,1.0,11.0
0.0,0.0,9.0,0.0,22.2,2.0,0.0,3.1,3.4,90.0,11.0,0.0,0.0,0.0,423.0,0.0,25.0,0.0,21879.0,0.0,2.0,5.0,2.0,17334.0,18889.0,1555.0,60.0,0.0,0.0,2.0
0.0,0.0,2.0,0.0,1.8,1.0,0.0,1.6,0.0,81.0,20.0,0.0,0.0,0.0,423.0,0.0,26.0,0.0,40604.0,1.0,1.0,19.0,2.0,17642.0,20557.0,2915.0,60.0,1.0,0.0,2.0
0.0,0.0,8.0,0.0,4.8,4.0,0.0,4.3,10.8,90.0,13.0,0.0,0.0,0.0,423.0,0.0,27.0,0.0,33350.0,4.0,3.0,27.0,2.0,-7449.0,2951.0,10400.0,60.0,1.0,0.0,2.0
0.0,0.0,7.0,0.0,4.5,1.0,0.0,3.0,4.8,90.0,5.0,0.0,0.0,0.0,423.0,0.0,29.0,0.0,21322.0,0.0,1.0,21.0,2.0,-2438.0,926.0,3364.0,60.0,0.0,0.0,2.0
0.0,0.0,15.0,1.0,21.8,0.0,0.0,11.6,14.2,86.0,15.0,0.0,0.0,0.0,423.0,0.0,30.0,0.0,20494.0,0.0,1.0,80.0,2.0,-939.0,1632.0,2571.0,59.0,1.0,0.0,2.0
1.0,3.0,46.0,1.0,34.0,0.0,1.0,11.7,53.4,78.0,19.0,0.0,0.0,0.0,423.0,0.0,31.0,0.0,19471.0,0.0,2.0,30.0,11.0,-1060.0,909.0,1969.0,59.0,1.0,1.0,11.0
0.0,0.0,6.0,0.0,26.2,4.0,0.0,4.8,11.2,90.0,17.0,0.0,0.0,0.0,423.0,0.0,32.0,0.0,25530.0,0.0,4.0,11.0,2.0,5871.0,7066.0,1195.0,59.0,0.0,0.0,2.0
0.0,0.0,4.0,1.0,2.5,0.0,0.0,3.0,6.4,77.0,16.0,0.0,0.0,0.0,423.0,0.0,33.0,0.0,31156.0,0.0,1.0,21.0,2.0,5432.0,7610.0,2178.0,59.0,1.0,0.0,2.0
0.0,0.0,6.0,0.0,7.5,2.0,0.0,2.4,0.0,90.0,7.0,0.0,0.0,0.0,423.0,0.0,34.0,0.0,25184.0,0.0,2.0,17.0,2.0,-6084.0,1380.0,7464.0,59.0,0.0,0.0,2.0
0.0,0.0,2.0,0.0,3.9,1.0,0.0,1.8,1.0,90.0,9.0,0.0,0.0,0.0,423.0,0.0,35.0,0.0,22108.0,1.0,0.0,13.0,2.0,-3164.0,1026.0,4190.0,59.0,1.0,0.0,2.0
0.0,0.0,11.0,0.0,5.1,2.0,0.0,3.0,11.2,82.0,8.0,0.0,0.0,0.0,423.0,0.0,36.0,0.0,21485.0,0.0,3.0,14.0,2.0,-703.0,1864.0,2567.0,59.0,0.0,0.0,2.0
0.0,0.0,3.0,0.0,1.5,3.0,0.0,1.1,0.0,70.0,4.0,0.0,0.0,0.0,423.0,0.0,37.0,0.0,21731.0,3.0,4.0,10.0,2.0,208.0,2104.0,1896.0,59.0,0.0,0.0,2.0
0.0,0.0,1.0,0.0,11.3,5.0,0.0,3.9,4.0,73.0,10.0,0.0,0.0,0.0,423.0,0.0,38.0,0.0,19395.0,5.0,0.0,24.0,2.0,-2384.0,317.0,2701.0,58.0,1.0,0.0,2.0
