assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,15.0,0.0,0.0,1.0,0.0,2.2,21.8,90.0,17.0,0.0,0.0,0.0,424.0,0.0,1.0,3.0,31420.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,50.0,1.0,0.0,3.0
0.0,0.0,12.0,0.0,0.0,1.0,0.0,2.4,24.0,90.0,19.0,0.0,0.0,0.0,424.0,0.0,2.0,3.0,63946.0,2.0,1.0,0.0,2.0,14695.0,17040.0,2345.0,50.0,0.0,1.0,2.0
0.0,0.0,24.0,1.0,0.0,0.0,0.0,1.1,10.6,90.0,14.0,0.0,0.0,0.0,424.0,0.0,3.0,1.0,73101.0,0.0,1.0,0.0,6.0,4114.0,9005.0,4891.0,50.0,1.0,0.0,6.0
0.0,0.0,24.0,1.0,0.0,0.0,0.0,1.6,15.8,90.0,15.0,0.0,0.0,0.0,424.0,0.0,4.0,2.0,87464.0,3.0,0.0,0.0,6.0,10100.0,16583.0,6483.0,50.0,0.0,0.0,6.0
0.0,0.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,12.0,1.0,0.0,0.0,424.0,0.0,5.0,0.0,107939.0,1.0,3.0,0.0,-1.0,16691.0,19919.0,3228.0,50.0,1.0,1.0,-1.0
0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.2,2.4,90.0,2.0,0.0,0.0,0.0,424.0,0.0,6.0,0.0,129968.0,0.0,1.0,0.0,2.0,18231.0,26263.0,8032.0,50.0,0.0,0.0,2.0
0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.9,9.4,90.0,5.0,0.0,0.0,0.0,424.0,0.0,7.0,1.0,133092.0,1.0,1.0,0.0,2.0,1567.0,7231.0,5664.0,50.0,1.0,0.0,2.0
0.0,3.0,53.0,0.0,0.0,1.0,0.0,9.1,90.8,90.0,10.0,0.0,0.0,2.0,424.0,0.0,8.0,7.0,125999.0,1.0,1.0,0.0,17.0,-8157.0,1970.0,10127.0,50.0,0.0,0.0,17.0
0.0,0.0,9.0,0.0,0.0,2.0,0.0,0.4,4.0,90.0,3.0,0.0,0.0,0.0,424.0,0.0,9.0,1.0,194556.0,1.0,2.0,0.0,1.0,59835.0,61618.0,1783.0,51.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,424.0,0.0,10.0,0.0,203625.0,0.0,2.0,0.0,0.0,4667.0,12067.0,7400.0,51.0,1.0,0.0,0.0
0.0,0.0,15.0,0.0,0.0,5.0,0.0,3.0,30.2,90.0,4.0,0.0,0.0,0.0,424.0,0.0,11.0,4.0,180279.0,0.0,5.0,0.0,1.0,-24478.0,3649.0,28127.0,51.0,0.0,0.0,1.0
0.0,0.0,12.0,0.0,0.0,1.0,0.0,1.3,13.4,90.0,16.0,0.0,0.0,0.0,424.0,0.0,12.0,2.0,181363.0,1.0,1.0,0.0,2.0,-609.0,7602.0,8211.0,51.0,1.0,0.0,2.0
0.0,0.0,18.0,0.0,0.0,1.0,0.0,3.9,38.6,90.0,13.0,0.0,0.0,0.0,424.0,0.0,13.0,6.0,177127.0,0.0,1.0,0.0,4.0,-4820.0,2617.0,7437.0,51.0,0.0,0.0,4.0
0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.3,2.6,90.0,11.0,0.0,0.0,0.0,424.0,0.0,14.0,1.0,178013.0,1.0,1.0,0.0,2.0,0.0,6180.0,6180.0,51.0,1.0,0.0,2.0
0.0,0.0,16.0,0.0,0.0,3.0,0.0,2.5,24.8,90.0,18.0,0.0,0.0,0.0,424.0,0.0,15.0,3.0,177341.0,2.0,3.0,0.0,2.0,-1503.0,4201.0,5704.0,51.0,0.0,0.0,2.0
0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.5,5.0,90.0,1.0,0.0,0.0,0.0,424.0,0.0,16.0,0.0,168314.0,1.0,2.0,0.0,2.0,-9400.0,700.0,10100.0,50.0,1.0,0.0,2.0
0.0,0.0,22.0,1.0,0.0,0.0,0.0,0.8,8.0,63.0,9.0,0.0,0.0,0.0,424.0,0.0,17.0,1.0,160892.0,1.0,0.0,0.0,6.0,-7752.0,722.0,8474.0,50.0,1.0,0.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,424.0,0.0,18.0,0.0,146818.0,2.0,0.0,0.0,0.0,-14352.0,561.0,14913.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,424.0,0.0,19.0,0.0,125802.0,2.0,2.0,0.0,0.0,-21128.0,269.0,21397.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,424.0,0.0,20.0,0.0,112906.0,0.0,3.0,0.0,0.0,-12941.0,181.0,13122.0,48.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,424.0,0.0,21.0,0.0,100697.0,0.0,4.0,0.0,0.0,-12420.0,857.0,13277.0,48.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,424.0,0.0,22.0,0.0,98389.0,1.0,0.0,0.0,0.0,-2715.0,1473.0,4188.0,48.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,424.0,0.0,23.0,0.0,95620.0,1.0,1.0,0.0,0.0,-3137.0,695.0,3832.0,48.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,424.0,0.0,24.0,0.0,93775.0,3.0,6.0,0.0,0.0,-1985.0,926.0,2911.0,48.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,424.0,0.0,25.0,0.0,90932.0,0.0,0.0,0.0,0.0,-3099.0,642.0,3741.0,48.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,424.0,0.0,26.0,0.0,89181.0,0.0,2.0,0.0,0.0,-2037.0,1142.0,3179.0,48.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,424.0,0.0,27.0,0.0,87178.0,2.0,3.0,0.0,0.0,-2090.0,152.0,2242.0,47.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,424.0,0.0,28.0,0.0,85950.0,0.0,3.0,0.0,0.0,-1356.0,666.0,2022.0,47.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,424.0,0.0,29.0,0.0,84709.0,0.0,4.0,0.0,0.0,-1315.0,134.0,1449.0,47.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,424.0,0.0,30.0,0.0,83471.0,1.0,3.0,0.0,0.0,-1323.0,95.0,1418.0,47.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,424.0,0.0,31.0,0.0,82916.0,1.0,1.0,0.0,0.0,-578.0,24.0,602.0,47.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,424.0,0.0,32.0,0.0,82259.0,2.0,4.0,0.0,0.0,-690.0,58.0,748.0,47.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,424.0,0.0,33.0,0.0,81386.0,1.0,3.0,0.0,0.0,-927.0,187.0,1114.0,47.0,1.0,0.0,0.0
0.0,0.0,28.0,1.0,0.1,0.0,0.0,1.9,19.2,90.0,20.0,0.0,0.0,0.0,424.0,0.0,34.0,3.0,80564.0,0.0,0.0,0.0,7.0,-878.0,69.0,947.0,47.0,0.0,0.0,7.0
0.0,0.0,11.0,0.0,0.0,3.0,0.0,0.7,6.8,90.0,4.0,0.0,0.0,0.0,424.0,0.0,35.0,2.0,80685.0,3.0,0.0,0.0,1.0,46.0,372.0,326.0,47.0,1.0,0.0,1.0
0.0,0.0,15.0,0.0,0.0,1.0,0.0,2.3,23.0,90.0,16.0,0.0,0.0,0.0,424.0,0.0,36.0,3.0,80714.0,0.0,1.0,0.0,3.0,-27.0,346.0,373.0,47.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,424.0,0.0,37.0,0.0,79847.0,0.0,1.0,0.0,0.0,-901.0,293.0,1194.0,47.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,424.0,0.0,38.0,0.0,78643.0,1.0,3.0,0.0,0.0,-1215.0,63.0,1278.0,47.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,424.0,0.0,39.0,0.0,28828.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,424.0,0.0,40.0,0.0,30007.0,1.0,1.0,0.0,0.0,-3118.0,334.0,3452.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,424.0,0.0,41.0,0.0,28452.0,0.0,2.0,0.0,0.0,-2642.0,256.0,2898.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,424.0,0.0,42.0,0.0,27431.0,3.0,0.0,0.0,0.0,-1882.0,246.0,2128.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,424.0,0.0,43.0,0.0,26649.0,0.0,4.0,0.0,0.0,-1212.0,165.0,1377.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,424.0,0.0,44.0,0.0,25608.0,1.0,2.0,0.0,0.0,-1358.0,189.0,1547.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,424.0,0.0,45.0,0.0,24785.0,1.0,0.0,0.0,0.0,-1100.0,183.0,1283.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,424.0,0.0,46.0,0.0,24132.0,1.0,1.0,0.0,0.0,-888.0,118.0,1006.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,424.0,0.0,47.0,0.0,23661.0,5.0,2.0,0.0,0.0,-550.0,69.0,619.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,424.0,0.0,48.0,0.0,23046.0,0.0,2.0,0.0,0.0,-705.0,61.0,766.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,424.0,0.0,49.0,0.0,22566.0,2.0,3.0,0.0,0.0,-581.0,65.0,646.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,424.0,0.0,50.0,0.0,22153.0,2.0,2.0,0.0,0.0,-529.0,68.0,597.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,424.0,0.0,51.0,0.0,21866.0,1.0,4.0,0.0,0.0,-346.0,47.0,393.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,424.0,0.0,52.0,0.0,21602.0,0.0,4.0,0.0,0.0,-287.0,24.0,311.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,424.0,0.0,53.0,0.0,21356.0,0.0,2.0,0.0,0.0,-290.0,71.0,361.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,424.0,0.0,54.0,0.0,21090.0,1.0,1.0,0.0,0.0,-331.0,50.0,381.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,424.0,0.0,55.0,0.0,20931.0,1.0,0.0,0.0,0.0,-200.0,32.0,232.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,424.0,0.0,56.0,0.0,20736.0,1.0,3.0,0.0,0.0,-224.0,30.0,254.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,424.0,0.0,57.0,0.0,20503.0,0.0,0.0,0.0,0.0,-288.0,39.0,327.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,424.0,0.0,58.0,0.0,20334.0,0.0,0.0,0.0,0.0,-213.0,33.0,246.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,424.0,0.0,59.0,0.0,20072.0,1.0,2.0,0.0,0.0,-306.0,54.0,360.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,424.0,0.0,60.0,0.0,19948.0,2.0,0.0,0.0,0.0,-147.0,74.0,221.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,424.0,0.0,61.0,0.0,19276.0,0.0,4.0,0.0,0.0,-694.0,72.0,766.0,42.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,424.0,0.0,62.0,0.0,18851.0,1.0,1.0,0.0,0.0,-446.0,30.0,476.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,424.0,0.0,63.0,0.0,18427.0,1.0,2.0,0.0,0.0,-454.0,39.0,493.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,424.0,0.0,64.0,0.0,18214.0,1.0,5.0,0.0,0.0,-236.0,30.0,266.0,42.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,424.0,0.0,65.0,0.0,17958.0,1.0,3.0,0.0,0.0,-302.0,44.0,346.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,424.0,0.0,66.0,0.0,17734.0,0.0,1.0,0.0,0.0,-272.0,23.0,295.0,42.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,424.0,0.0,67.0,0.0,17610.0,1.0,2.0,0.0,0.0,-128.0,12.0,140.0,42.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,424.0,0.0,68.0,0.0,18969.0,0.0,2.0,0.0,0.0,-135.0,10.0,145.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,424.0,0.0,69.0,0.0,18777.0,2.0,1.0,0.0,0.0,-134.0,16.0,150.0,42.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,424.0,0.0,70.0,0.0,18731.0,3.0,1.0,0.0,0.0,-120.0,21.0,141.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,424.0,0.0,71.0,0.0,18645.0,0.0,0.0,0.0,0.0,-94.0,16.0,110.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,424.0,0.0,72.0,0.0,18561.0,1.0,1.0,0.0,0.0,-85.0,24.0,109.0,42.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,424.0,0.0,73.0,0.0,18456.0,0.0,1.0,0.0,0.0,-100.0,30.0,130.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,424.0,0.0,74.0,0.0,18431.0,2.0,0.0,0.0,0.0,-53.0,37.0,90.0,42.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,424.0,0.0,75.0,0.0,18355.0,1.0,1.0,0.0,0.0,-69.0,43.0,112.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,424.0,0.0,76.0,0.0,18338.0,1.0,3.0,0.0,0.0,-27.0,108.0,135.0,42.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,424.0,0.0,77.0,0.0,219323.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,424.0,0.0,78.0,0.0,236986.0,1.0,2.0,0.0,0.0,-3656.0,3955.0,7611.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,424.0,0.0,79.0,0.0,234167.0,2.0,2.0,0.0,0.0,-8534.0,4886.0,13420.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,424.0,0.0,80.0,0.0,236099.0,1.0,1.0,0.0,0.0,-3135.0,7014.0,10149.0,40.0,1.0,0.0,0.0
