assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,440.0,0.0,1.0,0.0,2916.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,440.0,0.0,2.0,0.0,2770.0,0.0,1.0,0.0,0.0,-379.0,35.0,414.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,440.0,0.0,3.0,0.0,2635.0,1.0,1.0,0.0,0.0,-381.0,37.0,418.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,440.0,0.0,4.0,0.0,2546.0,0.0,1.0,0.0,0.0,-364.0,22.0,386.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,440.0,0.0,5.0,0.0,2425.0,0.0,4.0,0.0,0.0,-215.0,15.0,230.0,48.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,440.0,0.0,6.0,0.0,2277.0,0.0,1.0,0.0,0.0,-232.0,18.0,250.0,48.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,440.0,0.0,7.0,0.0,2202.0,2.0,2.0,0.0,0.0,-141.0,15.0,156.0,48.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,440.0,0.0,8.0,0.0,2095.0,1.0,6.0,0.0,0.0,-182.0,14.0,196.0,48.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,440.0,0.0,9.0,0.0,2039.0,0.0,0.0,0.0,0.0,-99.0,9.0,108.0,48.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,440.0,0.0,10.0,0.0,1999.0,0.0,2.0,0.0,0.0,-81.0,7.0,88.0,47.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,440.0,0.0,11.0,0.0,1990.0,2.0,1.0,0.0,0.0,-65.0,6.0,71.0,47.0,1.0,0.0,0.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,0.0,0.0,0.0,440.0,0.0,12.0,0.0,2035.0,1.0,0.0,0.0,1.0,-39.0,31.0,70.0,47.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,440.0,0.0,13.0,0.0,2080.0,1.0,3.0,0.0,0.0,-8.0,22.0,30.0,47.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,440.0,0.0,14.0,0.0,2130.0,3.0,4.0,0.0,0.0,-21.0,22.0,43.0,47.0,1.0,0.0,0.0
1.0,0.0,12.0,0.0,11.3,0.0,0.0,3.1,17.4,10.0,3.0,0.0,0.0,0.0,440.0,0.0,15.0,0.0,2188.0,2.0,3.0,2.0,4.0,-15.0,17.0,32.0,47.0,0.0,0.0,4.0
0.0,3.0,39.0,1.0,5.8,0.0,1.0,7.4,47.2,90.0,8.0,0.0,0.0,0.0,440.0,0.0,16.0,0.0,2266.0,0.0,1.0,21.0,11.0,22.0,41.0,19.0,47.0,1.0,0.0,11.0
0.0,0.0,7.0,0.0,30.7,2.0,0.0,6.7,9.6,54.0,13.0,0.0,0.0,0.0,440.0,0.0,17.0,0.0,5780.0,3.0,1.0,27.0,1.0,3346.0,3526.0,180.0,47.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,440.0,0.0,18.0,0.0,5327.0,0.0,3.0,0.0,0.0,-560.0,370.0,930.0,47.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,440.0,0.0,19.0,0.0,4932.0,3.0,0.0,0.0,0.0,-469.0,269.0,738.0,47.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,440.0,0.0,20.0,0.0,4194.0,3.0,3.0,0.0,0.0,-771.0,82.0,853.0,47.0,1.0,0.0,0.0
0.0,0.0,7.0,0.0,15.2,0.0,0.0,2.8,9.2,22.0,7.0,0.0,0.0,0.0,440.0,0.0,21.0,0.0,3769.0,1.0,3.0,4.0,1.0,-520.0,127.0,647.0,47.0,0.0,0.0,1.0
0.0,0.0,3.0,0.0,0.5,0.0,0.0,0.5,0.2,10.0,18.0,0.0,0.0,0.0,440.0,0.0,22.0,0.0,3640.0,2.0,2.0,4.0,1.0,-206.0,40.0,246.0,47.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,440.0,0.0,23.0,0.0,3556.0,2.0,0.0,0.0,0.0,-156.0,22.0,178.0,47.0,1.0,0.0,0.0
0.0,0.0,13.0,0.0,18.6,4.0,0.0,2.9,4.6,82.0,6.0,0.0,0.0,0.0,440.0,0.0,24.0,0.0,3464.0,3.0,6.0,6.0,2.0,-111.0,7.0,118.0,46.0,0.0,0.0,2.0
0.0,0.0,4.0,0.0,0.3,0.0,0.0,0.2,1.4,15.0,10.0,0.0,0.0,0.0,440.0,0.0,25.0,0.0,3434.0,2.0,0.0,0.0,1.0,-98.0,24.0,122.0,46.0,1.0,0.0,1.0
0.0,0.0,8.0,0.0,17.7,2.0,0.0,3.7,2.8,78.0,19.0,0.0,0.0,0.0,440.0,0.0,26.0,0.0,3426.0,1.0,2.0,16.0,2.0,-78.0,13.0,91.0,46.0,0.0,0.0,2.0
1.0,0.0,12.0,0.0,2.7,1.0,0.0,0.5,1.8,45.0,11.0,0.0,0.0,0.0,440.0,0.0,27.0,0.0,3426.0,1.0,1.0,0.0,4.0,-33.0,39.0,72.0,46.0,0.0,0.0,4.0
0.0,0.0,5.0,0.0,28.4,2.0,0.0,4.4,7.6,90.0,20.0,0.0,0.0,0.0,440.0,0.0,28.0,0.0,3641.0,2.0,3.0,8.0,1.0,169.0,231.0,62.0,46.0,1.0,1.0,1.0
0.0,0.0,4.0,1.0,14.3,0.0,0.0,2.6,10.0,90.0,16.0,0.0,0.0,0.0,440.0,0.0,29.0,0.0,3629.0,0.0,2.0,2.0,3.0,-42.0,55.0,97.0,46.0,1.0,0.0,3.0
0.0,0.0,3.0,1.0,5.8,0.0,0.0,7.0,9.2,90.0,13.0,0.0,0.0,0.0,440.0,0.0,30.0,0.0,3733.0,0.0,0.0,55.0,3.0,53.0,139.0,86.0,46.0,0.0,0.0,3.0
0.0,0.0,11.0,0.0,2.7,2.0,0.0,1.1,4.0,82.0,9.0,0.0,0.0,0.0,440.0,0.0,31.0,0.0,3763.0,2.0,2.0,4.0,2.0,14.0,79.0,65.0,46.0,0.0,0.0,2.0
0.0,0.0,2.0,0.0,17.4,3.0,0.0,2.9,2.0,70.0,4.0,0.0,0.0,0.0,440.0,0.0,32.0,0.0,3782.0,3.0,1.0,10.0,2.0,4.0,66.0,62.0,46.0,1.0,0.0,2.0
0.0,0.0,7.0,0.0,22.8,4.0,0.0,3.1,6.6,90.0,17.0,0.0,0.0,0.0,440.0,0.0,33.0,0.0,3840.0,0.0,4.0,2.0,2.0,10.0,102.0,92.0,46.0,0.0,0.0,2.0
1.0,3.0,47.0,1.0,32.4,0.0,1.0,12.4,64.6,90.0,12.0,0.0,0.0,0.0,440.0,0.0,34.0,0.0,3888.0,0.0,4.0,27.0,14.0,9.0,95.0,86.0,46.0,1.0,0.0,14.0
0.0,0.0,7.0,1.0,15.8,0.0,0.0,8.2,9.4,81.0,15.0,0.0,0.0,0.0,440.0,0.0,35.0,0.0,10987.0,1.0,0.0,57.0,3.0,6947.0,7391.0,444.0,46.0,0.0,0.0,3.0
0.0,0.0,12.0,0.0,3.8,2.0,0.0,1.3,7.2,78.0,14.0,0.0,0.0,0.0,440.0,0.0,36.0,0.0,14993.0,2.0,2.0,2.0,2.0,3871.0,5406.0,1535.0,46.0,1.0,0.0,2.0
0.0,0.0,14.0,0.0,44.2,1.0,0.0,10.3,19.8,90.0,3.0,0.0,0.0,0.0,440.0,0.0,37.0,0.0,17784.0,1.0,2.0,39.0,2.0,2668.0,5250.0,2582.0,46.0,1.0,0.0,2.0
0.0,0.0,5.0,0.0,14.2,1.0,0.0,2.2,4.0,62.0,8.0,0.0,0.0,0.0,440.0,0.0,38.0,0.0,19461.0,1.0,1.0,4.0,2.0,1308.0,3489.0,2181.0,46.0,0.0,0.0,2.0
0.0,0.0,2.0,0.0,15.3,1.0,0.0,1.9,1.8,45.0,19.0,0.0,0.0,0.0,440.0,0.0,39.0,0.0,4459.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,50.0,0.0,0.0,1.0
0.0,0.0,6.0,0.0,5.4,2.0,0.0,2.1,13.4,30.0,18.0,0.0,0.0,0.0,440.0,0.0,40.0,0.0,4909.0,2.0,0.0,2.0,1.0,-278.0,240.0,518.0,50.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,440.0,0.0,41.0,0.0,4332.0,2.0,1.0,0.0,0.0,-706.0,78.0,784.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,440.0,0.0,42.0,0.0,4434.0,0.0,3.0,0.0,0.0,-557.0,111.0,668.0,49.0,0.0,0.0,0.0
