assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,443.0,0.0,1.0,0.0,8711.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,443.0,0.0,2.0,0.0,7492.0,2.0,1.0,0.0,0.0,-1926.0,113.0,2039.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,443.0,0.0,3.0,0.0,5547.0,3.0,1.0,0.0,0.0,-1982.0,23.0,2005.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,443.0,0.0,4.0,0.0,4530.0,4.0,2.0,0.0,0.0,-1034.0,9.0,1043.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,443.0,0.0,5.0,0.0,4137.0,1.0,3.0,0.0,0.0,-400.0,9.0,409.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,443.0,0.0,6.0,0.0,3779.0,0.0,2.0,0.0,0.0,-367.0,15.0,382.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,443.0,0.0,7.0,0.0,3570.0,2.0,2.0,0.0,0.0,-216.0,13.0,229.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,443.0,0.0,8.0,0.0,3425.0,1.0,0.0,0.0,0.0,-153.0,6.0,159.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,443.0,0.0,9.0,0.0,3309.0,0.0,0.0,0.0,0.0,-118.0,5.0,123.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,443.0,0.0,10.0,0.0,3220.0,0.0,1.0,0.0,0.0,-94.0,5.0,99.0,45.0,1.0,0.0,0.0
