assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,826.0,0.0,39.0,0.0,22798.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,826.0,0.0,40.0,0.0,18392.0,0.0,1.0,0.0,0.0,-4655.0,180.0,4835.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,826.0,0.0,41.0,0.0,15484.0,0.0,0.0,0.0,0.0,-2986.0,196.0,3182.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,826.0,0.0,42.0,0.0,13454.0,0.0,2.0,0.0,0.0,-2087.0,117.0,2204.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,826.0,0.0,43.0,0.0,12292.0,1.0,1.0,0.0,0.0,-1192.0,64.0,1256.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,826.0,0.0,44.0,0.0,11171.0,0.0,0.0,0.0,0.0,-1141.0,105.0,1246.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,826.0,0.0,45.0,0.0,10387.0,4.0,0.0,0.0,0.0,-807.0,98.0,905.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,826.0,0.0,46.0,0.0,9707.0,0.0,2.0,0.0,0.0,-706.0,57.0,763.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,826.0,0.0,47.0,0.0,9360.0,1.0,2.0,0.0,0.0,-354.0,24.0,378.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,826.0,0.0,48.0,0.0,8940.0,0.0,3.0,0.0,0.0,-428.0,44.0,472.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,826.0,0.0,49.0,0.0,8681.0,0.0,1.0,0.0,0.0,-270.0,32.0,302.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,826.0,0.0,50.0,0.0,8359.0,0.0,4.0,0.0,0.0,-327.0,29.0,356.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,826.0,0.0,51.0,0.0,8174.0,2.0,1.0,0.0,0.0,-191.0,18.0,209.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,826.0,0.0,52.0,0.0,8005.0,0.0,5.0,0.0,0.0,-175.0,19.0,194.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,826.0,0.0,53.0,0.0,7852.0,0.0,2.0,0.0,0.0,-161.0,15.0,176.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,826.0,0.0,54.0,0.0,7687.0,0.0,2.0,0.0,0.0,-170.0,18.0,188.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,826.0,0.0,55.0,0.0,7599.0,3.0,1.0,0.0,0.0,-90.0,20.0,110.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,826.0,0.0,56.0,0.0,7478.0,4.0,1.0,0.0,0.0,-124.0,15.0,139.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,826.0,0.0,57.0,0.0,7305.0,1.0,1.0,0.0,0.0,-176.0,9.0,185.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,826.0,0.0,58.0,0.0,7187.0,1.0,1.0,0.0,0.0,-122.0,13.0,135.0,40.0,1.0,0.0,0.0
