assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,9.0,0.0,4.8,2.0,0.0,0.7,1.4,90.0,4.0,0.0,0.0,0.0,447.0,0.0,1.0,0.0,152971.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,65.0,0.0,0.0,2.0
0.0,0.0,17.0,1.0,38.7,0.0,0.0,5.5,13.8,90.0,2.0,0.0,0.0,0.0,447.0,0.0,2.0,0.0,150857.0,0.0,1.0,2.0,3.0,-7073.0,3600.0,10673.0,65.0,1.0,0.0,3.0
0.0,0.0,6.0,0.0,13.5,3.0,0.0,1.8,0.0,90.0,10.0,0.0,0.0,0.0,447.0,0.0,3.0,0.0,134125.0,1.0,3.0,5.0,1.0,-18574.0,2790.0,21364.0,65.0,0.0,1.0,1.0
0.0,0.0,14.0,0.0,13.2,4.0,0.0,1.9,5.0,68.0,18.0,0.0,0.0,0.0,447.0,0.0,4.0,0.0,120590.0,4.0,2.0,1.0,2.0,-14181.0,1743.0,15924.0,65.0,1.0,0.0,2.0
0.0,0.0,12.0,0.0,25.4,3.0,0.0,3.5,8.0,45.0,19.0,0.0,0.0,0.0,447.0,0.0,5.0,0.0,107944.0,2.0,4.0,2.0,1.0,-12841.0,336.0,13177.0,65.0,0.0,0.0,1.0
0.0,0.0,10.0,0.0,14.4,2.0,0.0,3.2,9.8,81.0,13.0,0.0,0.0,0.0,447.0,0.0,6.0,0.0,91496.0,3.0,0.0,8.0,1.0,-16578.0,171.0,16749.0,64.0,1.0,1.0,1.0
0.0,0.0,11.0,0.0,3.8,1.0,0.0,1.1,2.4,72.0,12.0,0.0,0.0,0.0,447.0,0.0,7.0,0.0,82580.0,1.0,1.0,5.0,2.0,-8982.0,122.0,9104.0,64.0,1.0,0.0,2.0
0.0,0.0,14.0,1.0,2.7,0.0,0.0,1.7,14.0,90.0,5.0,0.0,0.0,0.0,447.0,0.0,8.0,0.0,76267.0,1.0,0.0,0.0,2.0,-6410.0,129.0,6539.0,63.0,0.0,1.0,2.0
0.0,0.0,21.0,1.0,30.9,0.0,0.0,7.8,24.6,90.0,15.0,0.0,0.0,0.0,447.0,0.0,9.0,0.0,72662.0,0.0,1.0,22.0,3.0,-3645.0,125.0,3770.0,63.0,1.0,0.0,3.0
0.0,0.0,15.0,0.0,2.9,2.0,0.0,2.3,12.6,90.0,6.0,0.0,0.0,0.0,447.0,0.0,10.0,0.0,69991.0,0.0,2.0,7.0,2.0,-2730.0,92.0,2822.0,63.0,0.0,0.0,2.0
0.0,0.0,8.0,0.0,3.4,1.0,0.0,0.6,1.6,90.0,14.0,0.0,0.0,0.0,447.0,0.0,11.0,0.0,67316.0,1.0,1.0,1.0,1.0,-2750.0,212.0,2962.0,62.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,447.0,0.0,12.0,0.0,60643.0,2.0,3.0,0.0,0.0,-6706.0,48.0,6754.0,62.0,0.0,0.0,0.0
0.0,0.0,8.0,0.0,6.6,1.0,0.0,0.8,0.0,90.0,11.0,0.0,0.0,0.0,447.0,0.0,13.0,0.0,59455.0,1.0,1.0,2.0,2.0,-1209.0,28.0,1237.0,62.0,0.0,0.0,2.0
0.0,0.0,8.0,0.0,6.4,2.0,0.0,1.0,0.0,72.0,1.0,0.0,0.0,0.0,447.0,0.0,14.0,0.0,58768.0,5.0,1.0,4.0,2.0,-725.0,97.0,822.0,62.0,1.0,0.0,2.0
0.0,0.0,9.0,0.0,2.2,2.0,0.0,1.7,12.8,90.0,9.0,0.0,0.0,0.0,447.0,0.0,15.0,0.0,57902.0,2.0,2.0,2.0,2.0,-905.0,70.0,975.0,62.0,0.0,0.0,2.0
0.0,0.0,26.0,1.0,23.6,0.0,1.0,11.8,39.0,88.0,3.0,0.0,1.0,0.0,447.0,0.0,16.0,0.0,57513.0,0.0,1.0,55.0,6.0,-419.0,131.0,550.0,62.0,1.0,0.0,6.0
0.0,3.0,33.0,1.0,29.2,0.0,1.0,9.8,52.0,90.0,7.0,0.0,0.0,0.0,447.0,0.0,17.0,0.0,58456.0,0.0,1.0,17.0,10.0,884.0,1330.0,446.0,62.0,1.0,1.0,10.0
0.0,0.0,15.0,0.0,13.3,1.0,0.0,4.2,8.6,90.0,16.0,0.0,0.0,0.0,447.0,0.0,18.0,0.0,62733.0,4.0,1.0,20.0,2.0,3710.0,4490.0,780.0,62.0,0.0,0.0,2.0
0.0,0.0,8.0,0.0,11.3,1.0,0.0,1.8,6.6,56.0,8.0,0.0,0.0,0.0,447.0,0.0,19.0,0.0,63881.0,0.0,1.0,0.0,1.0,871.0,2336.0,1465.0,62.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,447.0,0.0,20.0,0.0,60794.0,2.0,0.0,0.0,0.0,-3129.0,309.0,3438.0,62.0,1.0,0.0,0.0
0.0,0.0,9.0,1.0,32.8,0.0,0.0,4.6,11.8,90.0,5.0,0.0,0.0,0.0,447.0,0.0,21.0,0.0,59069.0,0.0,3.0,1.0,2.0,-1928.0,954.0,2882.0,62.0,1.0,1.0,2.0
0.0,0.0,10.0,0.0,1.5,1.0,0.0,1.1,3.8,53.0,12.0,0.0,0.0,0.0,447.0,0.0,22.0,0.0,58163.0,3.0,1.0,6.0,1.0,-1033.0,222.0,1255.0,62.0,0.0,0.0,1.0
