assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,15.0,0.0,0.9,2.0,0.0,1.6,15.4,90.0,11.0,0.0,0.0,0.0,823.0,0.0,39.0,0.0,39852.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,1.0,0.0,1.0
0.0,0.0,10.0,0.0,2.3,2.0,0.0,1.0,7.4,90.0,9.0,0.0,0.0,0.0,823.0,0.0,40.0,0.0,39767.0,0.0,2.0,0.0,1.0,-1300.0,943.0,2243.0,45.0,0.0,0.0,1.0
0.0,1.0,26.0,1.0,17.0,0.0,0.0,3.7,12.4,90.0,18.0,0.0,0.0,0.0,823.0,0.0,41.0,0.0,35874.0,0.0,0.0,8.0,7.0,-4120.0,481.0,4601.0,45.0,0.0,0.0,7.0
0.0,0.0,11.0,0.0,0.8,1.0,0.0,1.5,14.2,90.0,19.0,0.0,0.0,0.0,823.0,0.0,42.0,0.0,34113.0,1.0,3.0,0.0,2.0,-2432.0,2270.0,4702.0,45.0,1.0,0.0,2.0
0.0,0.0,7.0,0.0,1.1,2.0,0.0,0.6,5.2,90.0,2.0,0.0,0.0,0.0,823.0,0.0,43.0,0.0,31972.0,1.0,2.0,0.0,1.0,-2455.0,1398.0,3853.0,45.0,0.0,0.0,1.0
0.0,0.0,23.0,1.0,2.3,0.0,0.0,2.1,19.0,90.0,13.0,0.0,0.0,0.0,823.0,0.0,44.0,0.0,28639.0,0.0,1.0,0.0,6.0,-3536.0,1454.0,4990.0,44.0,1.0,0.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,823.0,0.0,45.0,0.0,37005.0,0.0,2.0,0.0,0.0,7379.0,11941.0,4562.0,44.0,0.0,0.0,0.0
0.0,0.0,12.0,0.0,4.9,1.0,0.0,2.3,18.2,90.0,7.0,0.0,0.0,0.0,823.0,0.0,46.0,0.0,36279.0,1.0,1.0,0.0,2.0,-1146.0,4802.0,5948.0,44.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,823.0,0.0,47.0,0.0,39277.0,3.0,0.0,0.0,0.0,2659.0,5346.0,2687.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,823.0,0.0,48.0,0.0,35121.0,1.0,1.0,0.0,0.0,-4303.0,886.0,5189.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,823.0,0.0,49.0,0.0,31474.0,1.0,0.0,0.0,0.0,-3715.0,391.0,4106.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,823.0,0.0,50.0,0.0,27062.0,2.0,2.0,0.0,0.0,-4505.0,286.0,4791.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,823.0,0.0,51.0,0.0,25795.0,0.0,1.0,0.0,0.0,-1352.0,1047.0,2399.0,43.0,0.0,0.0,0.0
0.0,0.0,25.0,1.0,16.5,0.0,0.0,3.3,16.6,90.0,6.0,0.0,0.0,0.0,823.0,0.0,52.0,0.0,24608.0,0.0,0.0,0.0,6.0,-1279.0,945.0,2224.0,43.0,1.0,0.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,823.0,0.0,53.0,0.0,27770.0,5.0,1.0,0.0,0.0,2941.0,3997.0,1056.0,43.0,1.0,0.0,0.0
0.0,0.0,10.0,0.0,10.7,2.0,0.0,3.4,23.0,90.0,8.0,0.0,0.0,0.0,823.0,0.0,54.0,0.0,28912.0,0.0,2.0,0.0,1.0,856.0,2785.0,1929.0,43.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,823.0,0.0,55.0,0.0,28771.0,0.0,2.0,0.0,0.0,-246.0,1209.0,1455.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,823.0,0.0,56.0,0.0,27410.0,0.0,0.0,0.0,0.0,-1411.0,316.0,1727.0,43.0,1.0,0.0,0.0
0.0,2.0,31.0,1.0,5.7,0.0,0.0,2.2,16.2,90.0,18.0,0.0,0.0,0.0,823.0,0.0,57.0,0.0,26313.0,0.0,1.0,0.0,8.0,-1201.0,890.0,2091.0,43.0,1.0,0.0,8.0
0.0,0.0,14.0,0.0,25.5,2.0,0.0,5.1,17.8,90.0,5.0,0.0,0.0,0.0,823.0,0.0,58.0,0.0,28652.0,0.0,2.0,8.0,1.0,2095.0,3103.0,1008.0,43.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,823.0,0.0,59.0,0.0,29659.0,0.0,0.0,0.0,0.0,867.0,2468.0,1601.0,43.0,0.0,0.0,0.0
0.0,0.0,9.0,0.0,1.7,2.0,0.0,1.7,14.8,90.0,2.0,0.0,0.0,0.0,823.0,0.0,60.0,0.0,29968.0,2.0,2.0,0.0,1.0,249.0,2817.0,2568.0,43.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,823.0,0.0,61.0,0.0,30904.0,0.0,2.0,0.0,0.0,709.0,3792.0,3083.0,43.0,0.0,0.0,0.0
0.0,0.0,9.0,0.0,16.1,4.0,0.0,2.3,7.2,90.0,5.0,0.0,0.0,0.0,823.0,0.0,62.0,0.0,29953.0,4.0,0.0,0.0,0.0,-1068.0,1465.0,2533.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,823.0,0.0,63.0,0.0,30748.0,1.0,1.0,0.0,0.0,562.0,2502.0,1940.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,823.0,0.0,64.0,0.0,29640.0,1.0,3.0,0.0,0.0,-1137.0,327.0,1464.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,823.0,0.0,65.0,0.0,28144.0,1.0,1.0,0.0,0.0,-1528.0,226.0,1754.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,823.0,0.0,66.0,0.0,27008.0,1.0,4.0,0.0,0.0,-1173.0,137.0,1310.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,823.0,0.0,67.0,0.0,26189.0,1.0,2.0,0.0,0.0,-820.0,27.0,847.0,43.0,1.0,0.0,0.0
0.0,0.0,2.0,0.0,0.1,0.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,823.0,0.0,68.0,0.0,24860.0,0.0,2.0,1.0,1.0,-575.0,267.0,842.0,42.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,823.0,0.0,70.0,0.0,24165.0,2.0,0.0,0.0,0.0,-222.0,419.0,641.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,823.0,0.0,71.0,0.0,24029.0,1.0,1.0,0.0,0.0,-166.0,360.0,526.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,823.0,0.0,72.0,0.0,24118.0,1.0,1.0,0.0,0.0,-161.0,577.0,738.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,823.0,0.0,74.0,0.0,23004.0,0.0,0.0,0.0,0.0,-345.0,47.0,392.0,42.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,823.0,0.0,75.0,0.0,22538.0,1.0,3.0,0.0,0.0,-439.0,50.0,489.0,42.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,823.0,0.0,76.0,0.0,22141.0,0.0,4.0,0.0,0.0,-389.0,27.0,416.0,42.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,823.0,0.0,77.0,0.0,413157.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,823.0,0.0,78.0,0.0,400236.0,2.0,3.0,0.0,0.0,-33193.0,5947.0,39140.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,823.0,0.0,79.0,0.0,369588.0,0.0,1.0,0.0,0.0,-37412.0,5835.0,43247.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,823.0,0.0,80.0,0.0,345355.0,2.0,2.0,0.0,0.0,-28126.0,2036.0,30162.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,823.0,0.0,81.0,0.0,329106.0,2.0,2.0,0.0,0.0,-20599.0,7038.0,27637.0,39.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,823.0,0.0,82.0,0.0,319822.0,2.0,1.0,0.0,0.0,-12285.0,5380.0,17665.0,39.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,823.0,0.0,83.0,0.0,310958.0,0.0,2.0,0.0,0.0,-10375.0,2000.0,12375.0,39.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,823.0,0.0,84.0,0.0,305657.0,0.0,1.0,0.0,0.0,-6969.0,2034.0,9003.0,39.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,823.0,0.0,85.0,0.0,297500.0,1.0,0.0,0.0,0.0,-9882.0,2319.0,12201.0,39.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,823.0,0.0,86.0,0.0,292703.0,0.0,1.0,0.0,0.0,-5891.0,1259.0,7150.0,39.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,823.0,0.0,87.0,0.0,287226.0,1.0,3.0,0.0,0.0,-6195.0,1344.0,7539.0,39.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,823.0,0.0,88.0,0.0,284586.0,1.0,2.0,0.0,0.0,-3507.0,1585.0,5092.0,39.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,823.0,0.0,89.0,0.0,288541.0,1.0,1.0,0.0,0.0,245.0,6125.0,5880.0,38.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,823.0,0.0,90.0,0.0,294125.0,2.0,1.0,0.0,0.0,4636.0,8375.0,3739.0,38.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,823.0,0.0,91.0,0.0,296239.0,1.0,3.0,0.0,0.0,990.0,6130.0,5140.0,38.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,823.0,0.0,92.0,0.0,297457.0,0.0,1.0,0.0,0.0,-500.0,4905.0,5405.0,38.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,823.0,0.0,93.0,0.0,300964.0,2.0,1.0,0.0,0.0,1289.0,7012.0,5723.0,38.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,823.0,0.0,94.0,0.0,301491.0,0.0,2.0,0.0,0.0,-732.0,4287.0,5019.0,38.0,0.0,0.0,0.0
