assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,3.0,0.0,0.1,0.0,0.0,0.0,0.0,21.0,14.0,0.0,0.0,0.0,449.0,0.0,1.0,0.0,8056.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,45.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,449.0,0.0,2.0,0.0,6485.0,2.0,1.0,0.0,0.0,-1702.0,47.0,1749.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,449.0,0.0,3.0,0.0,5605.0,0.0,0.0,0.0,0.0,-967.0,392.0,1359.0,44.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,2.7,0.0,0.0,1.4,3.0,34.0,5.0,0.0,0.0,0.0,449.0,0.0,4.0,0.0,6601.0,2.0,1.0,8.0,1.0,672.0,2247.0,1575.0,44.0,1.0,0.0,1.0
0.0,0.0,17.0,0.0,14.2,3.0,0.0,3.3,10.4,90.0,6.0,0.0,0.0,0.0,449.0,0.0,5.0,0.0,6633.0,1.0,3.0,8.0,2.0,-90.0,436.0,526.0,44.0,0.0,0.0,2.0
0.0,0.0,9.0,0.0,4.1,2.0,0.0,0.8,4.2,90.0,17.0,0.0,0.0,0.0,449.0,0.0,6.0,0.0,6696.0,2.0,1.0,0.0,2.0,-10.0,722.0,732.0,44.0,1.0,0.0,2.0
0.0,0.0,9.0,0.0,8.0,1.0,0.0,1.5,0.0,90.0,20.0,0.0,0.0,0.0,449.0,0.0,7.0,0.0,6597.0,1.0,1.0,8.0,1.0,-158.0,275.0,433.0,44.0,0.0,1.0,1.0
0.0,0.0,13.0,0.0,3.8,1.0,0.0,1.4,5.8,87.0,18.0,0.0,0.0,0.0,449.0,0.0,8.0,0.0,6455.0,1.0,0.0,4.0,1.0,-198.0,219.0,417.0,44.0,1.0,1.0,1.0
0.0,0.0,6.0,1.0,2.2,0.0,0.0,0.5,2.6,90.0,1.0,0.0,0.0,0.0,449.0,0.0,9.0,0.0,6165.0,0.0,0.0,0.0,3.0,-316.0,78.0,394.0,44.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,449.0,0.0,10.0,0.0,7742.0,0.0,2.0,0.0,0.0,1371.0,1723.0,352.0,43.0,1.0,0.0,0.0
0.0,0.0,21.0,0.0,1.8,1.0,1.0,6.1,40.2,90.0,10.0,0.0,0.0,0.0,449.0,0.0,11.0,0.0,7595.0,1.0,1.0,19.0,6.0,-217.0,523.0,740.0,43.0,0.0,1.0,6.0
0.0,0.0,13.0,0.0,3.0,1.0,0.0,1.8,7.0,90.0,4.0,0.0,0.0,0.0,449.0,0.0,12.0,0.0,17265.0,1.0,0.0,8.0,2.0,8907.0,10398.0,1491.0,43.0,1.0,0.0,2.0
