assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,828.0,0.0,64.0,0.0,330.0,1.0,1.0,0.0,0.0,312.0,346.0,34.0,45.0,0.0,0.0,0.0
0.0,2.0,27.0,1.0,0.0,0.0,0.0,2.7,26.8,90.0,12.0,0.0,0.0,0.0,828.0,0.0,65.0,3.0,515.0,0.0,1.0,0.0,9.0,148.0,191.0,43.0,45.0,1.0,0.0,9.0
0.0,0.0,13.0,0.0,0.0,2.0,0.0,2.1,21.2,90.0,2.0,0.0,0.0,0.0,828.0,0.0,66.0,3.0,12356.0,2.0,2.0,0.0,2.0,11126.0,11985.0,859.0,45.0,0.0,0.0,2.0
0.0,0.0,11.0,0.0,0.0,2.0,0.0,1.1,11.4,90.0,10.0,0.0,0.0,0.0,828.0,0.0,67.0,1.0,13747.0,0.0,2.0,0.0,1.0,1254.0,1982.0,728.0,45.0,0.0,0.0,1.0
0.0,0.0,26.0,1.0,0.0,0.0,0.0,1.4,14.4,90.0,14.0,0.0,0.0,0.0,828.0,0.0,68.0,2.0,19654.0,0.0,3.0,0.0,6.0,5759.0,6431.0,672.0,45.0,1.0,0.0,6.0
0.0,0.0,19.0,1.0,0.0,0.0,0.0,0.3,3.0,90.0,8.0,0.0,0.0,0.0,828.0,0.0,70.0,0.0,26438.0,0.0,1.0,0.0,6.0,6808.0,9464.0,2656.0,45.0,1.0,0.0,6.0
0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.2,1.8,90.0,9.0,0.0,0.0,0.0,828.0,0.0,71.0,0.0,29399.0,2.0,1.0,0.0,2.0,2829.0,5096.0,2267.0,45.0,0.0,0.0,2.0
0.0,0.0,12.0,0.0,0.0,1.0,0.0,1.2,11.6,90.0,1.0,0.0,0.0,0.0,828.0,0.0,72.0,2.0,29728.0,1.0,2.0,0.0,2.0,1013.0,2941.0,1928.0,45.0,1.0,0.0,2.0
0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.1,1.4,90.0,7.0,0.0,0.0,0.0,828.0,0.0,73.0,0.0,48868.0,0.0,1.0,0.0,2.0,13233.0,14305.0,1072.0,45.0,0.0,0.0,2.0
0.0,0.0,9.0,0.0,0.0,1.0,0.0,1.2,12.4,90.0,19.0,0.0,0.0,0.0,828.0,0.0,74.0,1.0,56551.0,1.0,0.0,0.0,2.0,12420.0,14380.0,1960.0,45.0,1.0,0.0,2.0
0.0,0.0,20.0,0.0,0.0,1.0,0.0,4.3,43.4,90.0,17.0,0.0,0.0,0.0,828.0,0.0,75.0,6.0,57891.0,0.0,1.0,0.0,4.0,1564.0,4499.0,2935.0,45.0,0.0,0.0,4.0
0.0,0.0,23.0,1.0,0.0,0.0,0.0,1.9,19.0,90.0,5.0,0.0,0.0,0.0,828.0,0.0,76.0,2.0,57451.0,0.0,3.0,0.0,6.0,-370.0,1484.0,1854.0,45.0,1.0,0.0,6.0
0.0,0.0,15.0,0.0,0.0,2.0,0.0,3.3,33.0,90.0,17.0,0.0,0.0,0.0,828.0,0.0,77.0,3.0,18497.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,50.0,1.0,0.0,2.0
0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,90.0,5.0,0.0,0.0,0.0,828.0,0.0,78.0,0.0,22684.0,0.0,0.0,0.0,6.0,693.0,1501.0,808.0,50.0,0.0,0.0,6.0
0.0,0.0,12.0,0.0,0.0,2.0,0.0,1.8,17.6,90.0,6.0,0.0,0.0,0.0,828.0,0.0,79.0,2.0,23717.0,2.0,1.0,0.0,1.0,-76.0,1376.0,1452.0,50.0,1.0,0.0,1.0
