assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,3.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,450.0,0.0,1.0,0.0,13032.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,450.0,0.0,2.0,0.0,13588.0,0.0,1.0,0.0,0.0,-736.0,202.0,938.0,45.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,0.8,0.0,0.0,0.2,0.8,3.0,2.0,0.0,0.0,0.0,450.0,0.0,3.0,0.0,12800.0,1.0,1.0,0.0,1.0,-1213.0,204.0,1417.0,45.0,1.0,0.0,1.0
0.0,0.0,12.0,0.0,4.1,1.0,0.0,2.3,17.2,90.0,12.0,0.0,0.0,0.0,450.0,0.0,4.0,0.0,12027.0,2.0,1.0,2.0,2.0,-1026.0,189.0,1215.0,44.0,0.0,0.0,2.0
1.0,0.0,24.0,0.0,13.0,1.0,0.0,4.3,30.0,90.0,14.0,0.0,0.0,0.0,450.0,0.0,5.0,0.0,15482.0,1.0,4.0,0.0,5.0,3006.0,3885.0,879.0,44.0,1.0,0.0,5.0
0.0,0.0,10.0,0.0,11.5,2.0,0.0,3.0,16.2,74.0,15.0,0.0,0.0,0.0,450.0,0.0,6.0,0.0,27717.0,3.0,2.0,2.0,1.0,11344.0,14485.0,3141.0,44.0,0.0,0.0,1.0
0.0,0.0,7.0,0.0,1.2,1.0,0.0,1.4,13.2,90.0,6.0,0.0,0.0,0.0,450.0,0.0,7.0,0.0,31856.0,1.0,1.0,0.0,2.0,3462.0,5303.0,1841.0,44.0,0.0,0.0,2.0
0.0,0.0,3.0,0.0,0.3,1.0,0.0,0.1,0.6,45.0,20.0,0.0,0.0,0.0,450.0,0.0,8.0,0.0,37241.0,1.0,0.0,0.0,1.0,4552.0,6192.0,1640.0,44.0,1.0,0.0,1.0
0.0,0.0,10.0,0.0,15.4,2.0,0.0,3.2,16.6,76.0,8.0,0.0,0.0,0.0,450.0,0.0,9.0,0.0,36842.0,1.0,3.0,0.0,1.0,-659.0,1330.0,1989.0,44.0,0.0,0.0,1.0
0.0,0.0,10.0,0.0,1.7,4.0,0.0,1.5,13.4,90.0,9.0,0.0,0.0,0.0,450.0,0.0,10.0,0.0,34922.0,4.0,2.0,0.0,0.0,-2011.0,268.0,2279.0,44.0,1.0,0.0,0.0
