assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,18.0,0.0,0.3,1.0,0.0,2.4,23.2,90.0,17.0,0.0,0.0,0.0,454.0,0.0,1.0,0.0,2607.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,45.0,1.0,0.0,2.0
1.0,2.0,28.0,0.0,12.4,1.0,0.0,6.1,26.8,90.0,19.0,0.0,0.0,0.0,454.0,0.0,2.0,0.0,7849.0,2.0,1.0,22.0,7.0,2147.0,2890.0,743.0,45.0,0.0,0.0,7.0
0.0,1.0,32.0,1.0,13.2,0.0,0.0,3.8,20.4,90.0,14.0,0.0,0.0,0.0,454.0,0.0,3.0,0.0,80004.0,0.0,1.0,4.0,7.0,59347.0,66110.0,6763.0,45.0,1.0,0.0,7.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,454.0,0.0,4.0,0.0,259115.0,3.0,0.0,0.0,0.0,150677.0,180005.0,29328.0,46.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,454.0,0.0,5.0,0.0,250998.0,1.0,3.0,0.0,0.0,-12441.0,22231.0,34672.0,46.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,454.0,0.0,6.0,0.0,222999.0,0.0,1.0,0.0,0.0,-30320.0,15373.0,45693.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,454.0,0.0,7.0,0.0,198507.0,1.0,1.0,0.0,0.0,-25185.0,3864.0,29049.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,454.0,0.0,8.0,0.0,173979.0,1.0,1.0,0.0,0.0,-25075.0,2472.0,27547.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,454.0,0.0,9.0,0.0,157829.0,1.0,2.0,0.0,0.0,-16415.0,2411.0,18826.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,454.0,0.0,10.0,0.0,144208.0,0.0,2.0,0.0,0.0,-13762.0,845.0,14607.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,454.0,0.0,11.0,0.0,136496.0,0.0,5.0,0.0,0.0,-7985.0,2592.0,10577.0,42.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,454.0,0.0,12.0,0.0,132962.0,1.0,1.0,0.0,0.0,-3965.0,4142.0,8107.0,41.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,454.0,0.0,13.0,0.0,129481.0,0.0,1.0,0.0,0.0,-3709.0,2239.0,5948.0,41.0,0.0,0.0,0.0
0.0,0.0,12.0,0.0,14.2,0.0,0.0,4.9,18.2,24.0,11.0,0.0,0.0,0.0,454.0,0.0,14.0,0.0,127390.0,1.0,1.0,17.0,1.0,-2427.0,2686.0,5113.0,41.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,454.0,0.0,15.0,0.0,129009.0,2.0,3.0,0.0,0.0,1142.0,4939.0,3797.0,41.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,454.0,0.0,16.0,0.0,127070.0,1.0,2.0,0.0,0.0,-2132.0,1356.0,3488.0,41.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,454.0,0.0,17.0,0.0,129477.0,1.0,0.0,0.0,0.0,1919.0,5771.0,3852.0,40.0,1.0,0.0,0.0
0.0,0.0,22.0,1.0,0.5,0.0,0.0,1.5,14.4,90.0,8.0,0.0,0.0,0.0,454.0,0.0,18.0,0.0,130463.0,2.0,0.0,0.0,6.0,441.0,4748.0,4307.0,40.0,0.0,0.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,454.0,0.0,19.0,0.0,165328.0,2.0,2.0,0.0,0.0,33432.0,35497.0,2065.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,454.0,0.0,20.0,0.0,184767.0,0.0,3.0,0.0,0.0,18544.0,28747.0,10203.0,40.0,1.0,0.0,0.0
