assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1026.0,0.0,77.0,0.0,56369.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0
0.0,0.0,7.0,0.0,7.7,0.0,0.0,1.9,11.6,30.0,1.0,0.0,0.0,0.0,1026.0,0.0,78.0,0.0,56613.0,2.0,3.0,0.0,1.0,-12214.0,4155.0,16369.0,60.0,1.0,0.0,1.0
0.0,0.0,10.0,1.0,46.0,0.0,0.0,6.8,16.0,78.0,15.0,0.0,0.0,0.0,1026.0,0.0,79.0,0.0,53872.0,2.0,1.0,6.0,2.0,-7042.0,5505.0,12547.0,60.0,0.0,1.0,2.0
0.0,0.0,15.0,1.0,29.6,0.0,0.0,10.6,18.0,78.0,2.0,0.0,0.0,0.0,1026.0,0.0,80.0,0.0,55153.0,0.0,2.0,58.0,3.0,-2389.0,5996.0,8385.0,60.0,1.0,0.0,3.0
0.0,0.0,7.0,0.0,4.9,1.0,0.0,6.7,8.6,49.0,5.0,0.0,0.0,0.0,1026.0,0.0,81.0,0.0,57818.0,1.0,4.0,53.0,1.0,-378.0,7038.0,7416.0,60.0,1.0,0.0,1.0
0.0,0.0,12.0,1.0,19.3,0.0,0.0,4.5,7.2,78.0,19.0,0.0,0.0,0.0,1026.0,0.0,82.0,0.0,46394.0,0.0,0.0,18.0,3.0,-11583.0,847.0,12430.0,59.0,0.0,0.0,3.0
1.0,1.0,23.0,1.0,17.2,0.0,0.0,6.8,25.4,80.0,12.0,0.0,0.0,0.0,1026.0,0.0,83.0,0.0,45032.0,1.0,1.0,25.0,7.0,-2442.0,1678.0,4120.0,59.0,1.0,0.0,7.0
0.0,0.0,4.0,0.0,2.1,0.0,0.0,1.2,1.4,9.0,16.0,0.0,0.0,0.0,1026.0,0.0,84.0,0.0,61282.0,3.0,0.0,8.0,1.0,13545.0,16249.0,2704.0,59.0,0.0,0.0,1.0
0.0,0.0,12.0,0.0,21.5,1.0,0.0,3.5,7.8,68.0,14.0,0.0,0.0,0.0,1026.0,0.0,85.0,0.0,57306.0,2.0,2.0,6.0,2.0,-4353.0,4343.0,8696.0,59.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1026.0,0.0,86.0,0.0,57065.0,4.0,0.0,0.0,0.0,-1270.0,3116.0,4386.0,59.0,0.0,0.0,0.0
