assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
1.0,1.0,29.0,1.0,0.2,0.0,0.0,2.6,14.4,90.0,6.0,0.0,0.0,0.0,832.0,0.0,39.0,0.0,5958.0,3.0,0.0,11.0,10.0,0.0,0.0,0.0,45.0,0.0,0.0,10.0
0.0,0.0,21.0,1.0,0.1,0.0,0.0,1.6,15.8,90.0,13.0,0.0,0.0,0.0,832.0,0.0,40.0,0.0,219013.0,0.0,1.0,0.0,6.0,115493.0,127290.0,11797.0,45.0,1.0,0.0,6.0
0.0,0.0,23.0,1.0,0.4,0.0,0.0,3.6,16.8,90.0,14.0,0.0,0.0,0.0,832.0,0.0,41.0,0.0,360014.0,0.0,0.0,19.0,6.0,105153.0,126700.0,21547.0,46.0,1.0,0.0,6.0
0.0,0.0,16.0,0.0,0.4,2.0,0.0,3.9,38.4,90.0,20.0,0.0,0.0,0.0,832.0,0.0,42.0,0.0,500573.0,0.0,2.0,0.0,0.0,98297.0,123654.0,25357.0,46.0,0.0,1.0,0.0
0.0,0.0,10.0,0.0,0.1,1.0,0.0,3.6,17.0,90.0,9.0,0.0,0.0,0.0,832.0,0.0,43.0,0.0,494787.0,1.0,1.0,19.0,2.0,-11378.0,25730.0,37108.0,46.0,1.0,0.0,2.0
0.0,2.0,28.0,1.0,0.0,0.0,0.0,1.8,18.4,90.0,4.0,0.0,0.0,0.0,832.0,0.0,44.0,0.0,468775.0,0.0,0.0,0.0,8.0,-28159.0,8689.0,36848.0,46.0,0.0,0.0,8.0
0.0,0.0,20.0,0.0,10.3,4.0,0.0,3.8,27.8,90.0,17.0,0.0,0.0,0.0,832.0,0.0,45.0,0.0,470918.0,4.0,0.0,0.0,0.0,-1269.0,21131.0,22400.0,46.0,1.0,0.0,0.0
0.0,0.0,13.0,0.0,0.4,2.0,0.0,1.4,13.2,90.0,16.0,0.0,0.0,0.0,832.0,0.0,46.0,0.0,443773.0,0.0,2.0,0.0,0.0,-28270.0,4961.0,33231.0,46.0,0.0,1.0,0.0
0.0,0.0,12.0,0.0,0.1,1.0,0.0,2.6,25.4,90.0,12.0,0.0,0.0,0.0,832.0,0.0,47.0,0.0,414994.0,1.0,2.0,0.0,2.0,-29078.0,1046.0,30124.0,46.0,1.0,0.0,2.0
0.0,0.0,11.0,0.0,0.2,3.0,0.0,1.5,15.0,90.0,10.0,0.0,0.0,0.0,832.0,0.0,48.0,0.0,396507.0,0.0,3.0,0.0,1.0,-19059.0,3648.0,22707.0,46.0,0.0,0.0,1.0
0.0,0.0,27.0,1.0,3.3,0.0,0.0,2.8,25.0,90.0,19.0,0.0,0.0,0.0,832.0,0.0,49.0,0.0,388062.0,0.0,1.0,0.0,6.0,-9127.0,4943.0,14070.0,46.0,1.0,0.0,6.0
0.0,0.0,13.0,0.0,14.3,4.0,0.0,3.1,9.4,90.0,2.0,0.0,0.0,0.0,832.0,0.0,50.0,0.0,408142.0,0.0,4.0,7.0,0.0,17724.0,26798.0,9074.0,46.0,0.0,0.0,0.0
0.0,0.0,5.0,0.0,0.2,2.0,0.0,1.2,8.2,90.0,11.0,0.0,0.0,0.0,832.0,0.0,51.0,0.0,386997.0,2.0,1.0,4.0,1.0,-21684.0,3845.0,25529.0,46.0,1.0,0.0,1.0
0.0,0.0,14.0,0.0,0.4,5.0,0.0,2.9,24.4,90.0,1.0,0.0,0.0,0.0,832.0,0.0,52.0,0.0,374320.0,0.0,5.0,4.0,0.0,-13027.0,2365.0,15392.0,46.0,0.0,0.0,0.0
0.0,0.0,17.0,0.0,1.0,2.0,0.0,2.7,26.4,90.0,7.0,0.0,0.0,0.0,832.0,0.0,53.0,0.0,362546.0,0.0,2.0,0.0,1.0,-12087.0,2794.0,14881.0,45.0,0.0,0.0,1.0
1.0,1.0,34.0,1.0,11.2,0.0,0.0,4.5,30.0,90.0,3.0,0.0,0.0,0.0,832.0,0.0,54.0,0.0,358080.0,0.0,2.0,4.0,10.0,-5312.0,6857.0,12169.0,45.0,1.0,0.0,10.0
0.0,0.0,14.0,0.0,1.0,3.0,0.0,2.0,18.0,90.0,5.0,0.0,0.0,0.0,832.0,0.0,55.0,0.0,378138.0,3.0,1.0,1.0,1.0,18490.0,25008.0,6518.0,45.0,1.0,0.0,1.0
0.0,0.0,5.0,0.0,0.3,1.0,0.0,1.2,12.0,90.0,18.0,0.0,0.0,0.0,832.0,0.0,56.0,0.0,387657.0,4.0,1.0,0.0,2.0,8400.0,17642.0,9242.0,45.0,0.0,0.0,2.0
0.0,0.0,15.0,0.0,1.0,1.0,0.0,2.0,19.2,90.0,14.0,0.0,0.0,0.0,832.0,0.0,57.0,0.0,422440.0,1.0,1.0,0.0,2.0,32400.0,43710.0,11310.0,45.0,0.0,0.0,2.0
0.0,0.0,10.0,0.0,0.9,1.0,0.0,1.6,12.8,90.0,15.0,0.0,0.0,0.0,832.0,0.0,58.0,0.0,467189.0,1.0,1.0,2.0,1.0,42234.0,51199.0,8965.0,46.0,1.0,1.0,1.0
0.0,0.0,22.0,1.0,10.3,0.0,0.0,3.7,26.6,90.0,4.0,0.0,0.0,0.0,832.0,0.0,59.0,0.0,471405.0,0.0,0.0,0.0,5.0,2975.0,21893.0,18918.0,46.0,1.0,1.0,5.0
0.0,0.0,13.0,0.0,0.4,3.0,0.0,3.9,21.0,90.0,9.0,0.0,0.0,0.0,832.0,0.0,60.0,0.0,453223.0,0.0,3.0,18.0,1.0,-18495.0,8967.0,27462.0,46.0,0.0,0.0,1.0
0.0,0.0,16.0,0.0,12.7,4.0,0.0,3.2,14.8,90.0,20.0,0.0,0.0,0.0,832.0,0.0,61.0,0.0,439203.0,4.0,1.0,4.0,0.0,-14979.0,13962.0,28941.0,46.0,1.0,0.0,0.0
0.0,0.0,16.0,0.0,0.2,2.0,0.0,2.1,18.4,90.0,15.0,0.0,0.0,0.0,832.0,0.0,62.0,0.0,414520.0,0.0,2.0,2.0,1.0,-25103.0,4786.0,29889.0,46.0,0.0,0.0,1.0
0.0,0.0,17.0,0.0,0.3,3.0,0.0,2.7,26.6,90.0,10.0,0.0,0.0,0.0,832.0,0.0,63.0,0.0,387646.0,3.0,0.0,0.0,1.0,-27220.0,1872.0,29092.0,46.0,1.0,0.0,1.0
0.0,0.0,8.0,0.0,0.0,2.0,0.0,1.0,9.6,90.0,12.0,0.0,0.0,0.0,832.0,0.0,64.0,0.0,368145.0,0.0,2.0,0.0,1.0,-19584.0,968.0,20552.0,45.0,0.0,0.0,1.0
0.0,0.0,8.0,0.0,0.8,1.0,0.0,5.3,17.2,90.0,2.0,0.0,0.0,0.0,832.0,0.0,65.0,0.0,361853.0,1.0,4.0,35.0,2.0,-6675.0,8197.0,14872.0,45.0,1.0,0.0,2.0
0.0,0.0,13.0,0.0,0.2,1.0,0.0,3.0,27.6,90.0,19.0,0.0,0.0,0.0,832.0,0.0,66.0,0.0,358869.0,2.0,1.0,2.0,2.0,-3553.0,8726.0,12279.0,45.0,0.0,0.0,2.0
0.0,0.0,16.0,0.0,13.3,2.0,0.0,4.2,28.6,90.0,17.0,0.0,0.0,0.0,832.0,0.0,67.0,0.0,357007.0,0.0,2.0,0.0,1.0,-1910.0,6527.0,8437.0,45.0,0.0,0.0,1.0
0.0,1.0,27.0,1.0,4.2,0.0,0.0,2.4,19.6,90.0,16.0,0.0,0.0,0.0,832.0,0.0,68.0,0.0,386653.0,0.0,0.0,0.0,7.0,19921.0,26003.0,6082.0,45.0,1.0,0.0,7.0
0.0,0.0,7.0,0.0,10.9,2.0,0.0,1.9,6.0,90.0,6.0,0.0,0.0,0.0,832.0,0.0,69.0,0.0,521547.0,2.0,0.0,2.0,1.0,39715.0,43305.0,3590.0,45.0,1.0,0.0,1.0
0.0,0.0,10.0,0.0,0.0,1.0,0.0,3.7,19.4,90.0,13.0,0.0,0.0,0.0,832.0,0.0,70.0,0.0,410794.0,0.0,1.0,18.0,2.0,-16048.0,5719.0,21767.0,45.0,0.0,0.0,2.0
0.0,0.0,15.0,0.0,11.6,1.0,0.0,5.1,24.8,90.0,3.0,0.0,0.0,0.0,832.0,0.0,71.0,0.0,398647.0,1.0,1.0,15.0,2.0,-12341.0,2660.0,15001.0,45.0,0.0,0.0,2.0
1.0,3.0,33.0,1.0,11.1,0.0,0.0,4.7,33.6,90.0,18.0,0.0,0.0,0.0,832.0,0.0,72.0,0.0,379176.0,0.0,1.0,2.0,11.0,-13850.0,5794.0,19644.0,45.0,1.0,1.0,11.0
0.0,0.0,13.0,0.0,0.7,2.0,0.0,1.5,14.2,90.0,7.0,0.0,0.0,0.0,832.0,0.0,74.0,0.0,396665.0,2.0,0.0,0.0,1.0,11211.0,19104.0,7893.0,45.0,1.0,0.0,1.0
0.0,0.0,11.0,0.0,0.2,1.0,0.0,3.5,35.2,90.0,5.0,0.0,0.0,0.0,832.0,0.0,75.0,0.0,386876.0,1.0,1.0,0.0,2.0,-8376.0,7202.0,15578.0,45.0,0.0,0.0,2.0
0.0,0.0,14.0,0.0,0.8,1.0,0.0,2.3,21.8,90.0,1.0,0.0,0.0,0.0,832.0,0.0,76.0,0.0,390905.0,1.0,0.0,0.0,1.0,2491.0,9177.0,6686.0,45.0,1.0,1.0,1.0
0.0,0.0,23.0,0.0,11.8,3.0,0.0,3.5,21.0,90.0,6.0,0.0,0.0,0.0,832.0,0.0,77.0,0.0,479775.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,45.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,832.0,0.0,78.0,0.0,415020.0,1.0,6.0,0.0,0.0,-65709.0,1576.0,67285.0,45.0,0.0,0.0,0.0
0.0,0.0,23.0,1.0,0.4,0.0,0.0,1.5,14.4,90.0,5.0,0.0,0.0,0.0,832.0,0.0,79.0,0.0,308572.0,0.0,0.0,0.0,6.0,-106900.0,539.0,107439.0,45.0,1.0,0.0,6.0
0.0,0.0,5.0,0.0,0.3,1.0,0.0,2.1,19.0,90.0,8.0,0.0,0.0,0.0,832.0,0.0,80.0,0.0,296504.0,1.0,1.0,2.0,1.0,-16787.0,1946.0,18733.0,45.0,0.0,1.0,1.0
0.0,0.0,7.0,0.0,0.9,1.0,0.0,0.7,3.6,77.0,7.0,0.0,0.0,0.0,832.0,0.0,81.0,0.0,272628.0,1.0,0.0,2.0,1.0,-24082.0,811.0,24893.0,45.0,1.0,1.0,1.0
0.0,0.0,21.0,0.0,0.5,3.0,1.0,6.2,44.2,90.0,11.0,0.0,0.0,0.0,832.0,0.0,82.0,0.0,254037.0,1.0,3.0,17.0,7.0,-18952.0,314.0,19266.0,45.0,0.0,0.0,7.0
0.0,0.0,19.0,0.0,10.4,2.0,0.0,2.4,13.6,90.0,17.0,0.0,0.0,0.0,832.0,0.0,83.0,0.0,248919.0,2.0,0.0,0.0,0.0,-5990.0,2053.0,8043.0,45.0,1.0,1.0,0.0
