assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,832.0,0.0,60.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,832.0,0.0,61.0,0.0,56.0,1.0,2.0,0.0,0.0,19.0,46.0,27.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,832.0,0.0,62.0,0.0,90.0,1.0,1.0,0.0,0.0,11.0,34.0,23.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,832.0,0.0,63.0,0.0,117.0,3.0,0.0,0.0,0.0,0.0,22.0,22.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,832.0,0.0,64.0,0.0,138.0,1.0,2.0,0.0,0.0,11.0,20.0,9.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,832.0,0.0,65.0,0.0,140.0,1.0,4.0,0.0,0.0,-8.0,10.0,18.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,832.0,0.0,66.0,0.0,151.0,2.0,2.0,0.0,0.0,-4.0,14.0,18.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,832.0,0.0,67.0,0.0,157.0,1.0,1.0,0.0,0.0,2.0,11.0,9.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,832.0,0.0,68.0,0.0,174.0,4.0,1.0,0.0,0.0,7.0,14.0,7.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,832.0,0.0,69.0,0.0,179.0,1.0,2.0,0.0,0.0,-2.0,11.0,13.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,832.0,0.0,70.0,0.0,184.0,2.0,2.0,0.0,0.0,0.0,9.0,9.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,832.0,0.0,71.0,0.0,189.0,2.0,2.0,0.0,0.0,-1.0,6.0,7.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,832.0,0.0,72.0,0.0,201.0,2.0,0.0,0.0,0.0,-3.0,9.0,12.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,832.0,0.0,74.0,0.0,206.0,1.0,2.0,0.0,0.0,2.0,7.0,5.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,832.0,0.0,75.0,0.0,212.0,0.0,1.0,0.0,0.0,1.0,4.0,3.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,832.0,0.0,76.0,0.0,224.0,2.0,1.0,0.0,0.0,4.0,14.0,10.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,832.0,0.0,114.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0
