assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,466.0,0.0,1.0,0.0,4195.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,466.0,0.0,2.0,0.0,4761.0,2.0,1.0,0.0,0.0,-443.0,150.0,593.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,466.0,0.0,3.0,0.0,4654.0,0.0,3.0,0.0,0.0,-491.0,106.0,597.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,466.0,0.0,4.0,0.0,3895.0,2.0,2.0,0.0,0.0,-917.0,76.0,993.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,466.0,0.0,5.0,0.0,3480.0,2.0,1.0,0.0,0.0,-432.0,8.0,440.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,466.0,0.0,6.0,0.0,3181.0,0.0,3.0,0.0,0.0,-307.0,9.0,316.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,466.0,0.0,7.0,0.0,3029.0,2.0,0.0,0.0,0.0,-165.0,11.0,176.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,466.0,0.0,8.0,0.0,2899.0,0.0,3.0,0.0,0.0,-143.0,4.0,147.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,466.0,0.0,9.0,0.0,2830.0,0.0,4.0,0.0,0.0,-75.0,4.0,79.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,466.0,0.0,10.0,0.0,2787.0,2.0,0.0,0.0,0.0,-50.0,5.0,55.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,466.0,0.0,11.0,0.0,2740.0,0.0,5.0,0.0,0.0,-56.0,5.0,61.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,466.0,0.0,12.0,0.0,2684.0,1.0,0.0,0.0,0.0,-63.0,7.0,70.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,466.0,0.0,13.0,0.0,2659.0,1.0,2.0,0.0,0.0,-30.0,3.0,33.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,466.0,0.0,14.0,0.0,2629.0,3.0,1.0,0.0,0.0,-34.0,5.0,39.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,466.0,0.0,15.0,0.0,2601.0,0.0,1.0,0.0,0.0,-31.0,5.0,36.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,466.0,0.0,16.0,0.0,2578.0,1.0,0.0,0.0,0.0,-24.0,5.0,29.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,466.0,0.0,17.0,0.0,2559.0,1.0,0.0,0.0,0.0,-20.0,4.0,24.0,44.0,0.0,0.0,0.0
