assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,7.0,0.0,29.2,1.0,0.0,5.1,15.4,90.0,16.0,0.0,0.0,0.0,461.0,0.0,1.0,0.0,11806.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,45.0,1.0,1.0,1.0
0.0,1.0,29.0,1.0,13.8,0.0,0.0,3.7,23.6,90.0,9.0,0.0,0.0,0.0,461.0,0.0,2.0,0.0,11790.0,0.0,2.0,0.0,7.0,-689.0,135.0,824.0,45.0,1.0,0.0,7.0
0.0,0.0,16.0,0.0,3.0,3.0,0.0,3.1,28.4,90.0,4.0,0.0,0.0,0.0,461.0,0.0,3.0,0.0,16848.0,0.0,3.0,0.0,1.0,3031.0,4497.0,1466.0,45.0,0.0,0.0,1.0
0.0,0.0,16.0,0.0,34.9,1.0,0.0,5.8,22.8,90.0,7.0,0.0,0.0,0.0,461.0,0.0,4.0,0.0,18677.0,1.0,1.0,0.0,2.0,1050.0,3052.0,2002.0,45.0,1.0,0.0,2.0
0.0,0.0,9.0,0.0,11.3,3.0,0.0,2.8,12.8,90.0,8.0,0.0,0.0,0.0,461.0,0.0,5.0,0.0,19129.0,0.0,3.0,4.0,0.0,92.0,1162.0,1070.0,45.0,0.0,1.0,0.0
0.0,1.0,32.0,1.0,22.3,0.0,0.0,4.9,24.6,90.0,18.0,0.0,0.0,0.0,461.0,0.0,6.0,0.0,18877.0,0.0,2.0,2.0,6.0,-432.0,1230.0,1662.0,45.0,1.0,1.0,6.0
0.0,0.0,15.0,0.0,21.8,1.0,0.0,3.0,8.6,90.0,1.0,0.0,0.0,0.0,461.0,0.0,7.0,0.0,21171.0,1.0,0.0,0.0,2.0,1953.0,2974.0,1021.0,45.0,1.0,0.0,2.0
0.0,0.0,8.0,0.0,2.4,3.0,0.0,1.7,14.0,90.0,13.0,0.0,0.0,0.0,461.0,0.0,8.0,0.0,28179.0,1.0,3.0,1.0,1.0,6059.0,7304.0,1245.0,45.0,0.0,0.0,1.0
0.0,0.0,11.0,0.0,0.4,1.0,0.0,1.8,17.8,90.0,6.0,0.0,0.0,0.0,461.0,0.0,9.0,0.0,28923.0,1.0,2.0,0.0,2.0,525.0,1679.0,1154.0,45.0,1.0,0.0,2.0
0.0,0.0,28.0,1.0,5.8,0.0,0.0,3.3,26.8,90.0,11.0,0.0,0.0,0.0,461.0,0.0,10.0,0.0,28142.0,0.0,0.0,0.0,6.0,-864.0,301.0,1165.0,45.0,0.0,0.0,6.0
0.0,0.0,17.0,0.0,18.9,2.0,0.0,5.9,22.4,90.0,5.0,0.0,0.0,0.0,461.0,0.0,11.0,0.0,32469.0,2.0,3.0,18.0,1.0,3876.0,4593.0,717.0,45.0,1.0,0.0,1.0
0.0,0.0,13.0,0.0,16.3,4.0,0.0,3.4,17.8,90.0,19.0,0.0,0.0,0.0,461.0,0.0,12.0,0.0,35256.0,0.0,4.0,0.0,0.0,2276.0,3397.0,1121.0,45.0,0.0,0.0,0.0
0.0,0.0,13.0,0.0,28.2,2.0,0.0,4.9,20.6,90.0,10.0,0.0,0.0,0.0,461.0,0.0,13.0,0.0,34408.0,2.0,1.0,0.0,0.0,-956.0,541.0,1497.0,45.0,1.0,1.0,0.0
