assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,462.0,0.0,1.0,0.0,4227.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,462.0,0.0,2.0,0.0,4704.0,2.0,1.0,0.0,0.0,-526.0,90.0,616.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,462.0,0.0,3.0,0.0,4937.0,0.0,1.0,0.0,0.0,-486.0,104.0,590.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,462.0,0.0,4.0,0.0,5219.0,3.0,0.0,0.0,0.0,-430.0,115.0,545.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,462.0,0.0,5.0,0.0,5377.0,1.0,3.0,0.0,0.0,-160.0,95.0,255.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,462.0,0.0,6.0,0.0,5498.0,0.0,1.0,0.0,0.0,-188.0,178.0,366.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,462.0,0.0,7.0,0.0,5530.0,1.0,1.0,0.0,0.0,-124.0,138.0,262.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,462.0,0.0,8.0,0.0,5586.0,1.0,1.0,0.0,0.0,-125.0,99.0,224.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,462.0,0.0,9.0,0.0,7927.0,1.0,2.0,0.0,0.0,1784.0,2157.0,373.0,39.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,462.0,0.0,10.0,0.0,9841.0,0.0,2.0,0.0,0.0,1203.0,1704.0,501.0,39.0,1.0,0.0,0.0
