assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,5.0,0.0,1.2,0.0,0.0,2.7,5.0,10.0,11.0,0.0,0.0,0.0,470.0,0.0,1.0,0.0,14418.0,3.0,1.0,21.0,1.0,0.0,0.0,0.0,55.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,470.0,0.0,2.0,0.0,13625.0,0.0,1.0,0.0,0.0,-1532.0,271.0,1803.0,55.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,470.0,0.0,3.0,0.0,11290.0,1.0,1.0,0.0,0.0,-2642.0,313.0,2955.0,54.0,0.0,0.0,0.0
0.0,0.0,5.0,0.0,2.7,0.0,0.0,1.5,8.2,17.0,19.0,0.0,0.0,0.0,470.0,0.0,4.0,0.0,8556.0,0.0,1.0,4.0,1.0,-2963.0,113.0,3076.0,53.0,1.0,0.0,1.0
0.0,0.0,2.0,0.0,0.3,0.0,0.0,0.1,0.2,17.0,10.0,0.0,0.0,0.0,470.0,0.0,5.0,0.0,7379.0,0.0,4.0,0.0,1.0,-1309.0,26.0,1335.0,53.0,0.0,0.0,1.0
0.0,0.0,7.0,0.0,0.8,0.0,0.0,0.5,4.6,20.0,6.0,0.0,0.0,0.0,470.0,0.0,6.0,0.0,6429.0,0.0,1.0,0.0,1.0,-1093.0,38.0,1131.0,52.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,470.0,0.0,7.0,0.0,6050.0,2.0,2.0,0.0,0.0,-485.0,40.0,525.0,52.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,470.0,0.0,8.0,0.0,5786.0,1.0,6.0,0.0,0.0,-415.0,48.0,463.0,51.0,1.0,0.0,0.0
0.0,0.0,-5.0,0.0,0.8,0.0,0.0,2.5,0.0,31.0,17.0,0.0,0.0,0.0,470.0,0.0,9.0,0.0,5303.0,0.0,0.0,28.0,0.0,-522.0,7.0,529.0,51.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,470.0,0.0,10.0,0.0,5204.0,0.0,2.0,0.0,0.0,-170.0,35.0,205.0,51.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,470.0,0.0,11.0,0.0,5128.0,2.0,1.0,0.0,0.0,-173.0,28.0,201.0,51.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,470.0,0.0,12.0,0.0,5079.0,1.0,0.0,0.0,0.0,-166.0,22.0,188.0,51.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,470.0,0.0,13.0,0.0,5054.0,1.0,3.0,0.0,0.0,-88.0,14.0,102.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,470.0,0.0,14.0,0.0,4995.0,3.0,4.0,0.0,0.0,-77.0,7.0,84.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,470.0,0.0,15.0,0.0,4927.0,2.0,3.0,0.0,0.0,-86.0,17.0,103.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,470.0,0.0,16.0,0.0,4887.0,0.0,1.0,0.0,0.0,-47.0,11.0,58.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,470.0,0.0,17.0,0.0,4859.0,3.0,1.0,0.0,0.0,-33.0,10.0,43.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,470.0,0.0,18.0,0.0,4816.0,0.0,3.0,0.0,0.0,-65.0,9.0,74.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,470.0,0.0,19.0,0.0,4784.0,3.0,0.0,0.0,0.0,-38.0,8.0,46.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,470.0,0.0,20.0,0.0,4759.0,3.0,3.0,0.0,0.0,-27.0,9.0,36.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,470.0,0.0,21.0,0.0,4657.0,1.0,3.0,0.0,0.0,-116.0,15.0,131.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,470.0,0.0,22.0,0.0,4614.0,2.0,2.0,0.0,0.0,-51.0,7.0,58.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,470.0,0.0,23.0,0.0,4585.0,2.0,0.0,0.0,0.0,-35.0,8.0,43.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,470.0,0.0,24.0,0.0,4564.0,3.0,6.0,0.0,0.0,-23.0,8.0,31.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,470.0,0.0,25.0,0.0,4553.0,2.0,0.0,0.0,0.0,-21.0,16.0,37.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,470.0,0.0,26.0,0.0,4550.0,1.0,2.0,0.0,0.0,-21.0,7.0,28.0,50.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,470.0,0.0,27.0,0.0,4539.0,1.0,1.0,0.0,1.0,-16.0,3.0,19.0,50.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,470.0,0.0,28.0,0.0,4557.0,2.0,3.0,0.0,0.0,7.0,21.0,14.0,50.0,1.0,0.0,0.0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,470.0,0.0,29.0,0.0,4549.0,0.0,2.0,0.0,1.0,-14.0,5.0,19.0,50.0,1.0,0.0,1.0
